,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2014-11-27,33300,                   8.40,                   1.66,                   5.66,                   0.76,
2014-11-28,31050,                   7.84,                   1.55,                   5.28,                   0.71,
2014-12-01,29550,                   7.46,                   1.47,                   5.03,                   0.68,
2014-12-02,29450,                   7.43,                   1.47,                   5.01,                   0.67,
2014-12-03,29750,                   7.51,                   1.48,                   5.06,                   0.68,
2014-12-04,27000,                   6.81,                   1.34,                   4.59,                   0.62,
2014-12-05,26300,                   6.64,                   1.31,                   4.47,                   0.60,
2014-12-08,28000,                   7.07,                   1.39,                   4.76,                   0.64,
2014-12-09,28250,                   7.13,                   1.41,                   4.80,                   0.65,
2014-12-10,28500,                   7.19,                   1.42,                   4.85,                   0.65,
2014-12-11,27650,                   6.98,                   1.38,                   4.70,                   0.63,
2014-12-12,25700,                   6.49,                   1.28,                   4.37,                   0.59,
2014-12-15,25800,                   6.51,                   1.28,                   4.39,                   0.59,
2014-12-16,24100,                   6.08,                   1.20,                   4.10,                   0.55,
2014-12-17,25150,                   6.35,                   1.25,                   4.28,                   0.57,
2014-12-18,25400,                   6.41,                   1.26,                   4.32,                   0.58,
2014-12-19,25950,                   6.55,                   1.29,                   4.41,                   0.59,
2014-12-22,27250,                   6.88,                   1.36,                   4.64,                   0.62,
2014-12-23,26750,                   6.75,                   1.33,                   4.55,                   0.61,
2014-12-24,27750,                   7.00,                   1.38,                   4.72,                   0.63,
2014-12-26,28150,                   7.10,                   1.40,                   4.79,                   0.64,
2014-12-29,26550,                   6.70,                   1.32,                   4.52,                   0.61,
2014-12-30,26450,                   6.67,                   1.32,                   4.50,                   0.60,
2015-01-02,26450,                   3.20,                   0.67,                   2.63,                   0.56,                   5.58
2015-01-05,27700,                   3.36,                   0.70,                   2.75,                   0.58,                   5.33
2015-01-06,27900,                   3.38,                   0.71,                   2.77,                   0.59,                   5.29
2015-01-07,27200,                   3.30,                   0.69,                   2.70,                   0.57,                   5.42
2015-01-08,26850,                   3.25,                   0.68,                   2.67,                   0.56,                   5.49
2015-01-09,26750,                   3.24,                   0.68,                   2.66,                   0.56,                   5.51
2015-01-12,25950,                   3.14,                   0.66,                   2.58,                   0.55,                   5.69
2015-01-13,25050,                   3.03,                   0.63,                   2.49,                   0.53,                   5.89
2015-01-14,25200,                   3.05,                   0.64,                   2.50,                   0.53,                   5.85
2015-01-15,26000,                   3.15,                   0.66,                   2.58,                   0.55,                   5.67
2015-01-16,26950,                   3.27,                   0.68,                   2.68,                   0.57,                   5.47
2015-01-19,26550,                   3.22,                   0.67,                   2.64,                   0.56,                   5.56
2015-01-20,26400,                   3.20,                   0.67,                   2.62,                   0.56,                   5.59
2015-01-21,25150,                   3.05,                   0.64,                   2.50,                   0.53,                   5.87
2015-01-22,25900,                   3.14,                   0.66,                   2.57,                   0.54,                   5.70
2015-01-23,25350,                   3.07,                   0.64,                   2.52,                   0.53,                   5.82
2015-01-26,27500,                   3.33,                   0.70,                   2.73,                   0.58,                   5.36
2015-01-27,27100,                   3.28,                   0.69,                   2.69,                   0.57,                   5.44
2015-01-28,26950,                   3.27,                   0.68,                   2.68,                   0.57,                   5.47
2015-01-29,27400,                   3.32,                   0.69,                   2.72,                   0.58,                   5.38
2015-01-30,26650,                   3.23,                   0.67,                   2.65,                   0.56,                   5.54
2015-02-02,27450,                   3.33,                   0.69,                   2.73,                   0.58,                   5.37
2015-02-03,27450,                   3.33,                   0.69,                   2.73,                   0.58,                   5.37
2015-02-04,28200,                   3.42,                   0.71,                   2.80,                   0.59,                   5.23
2015-02-05,27850,                   3.37,                   0.70,                   2.77,                   0.59,                   5.30
2015-02-06,27650,                   3.35,                   0.70,                   2.75,                   0.58,                   5.34
2015-02-09,26450,                   3.20,                   0.67,                   2.63,                   0.56,                   5.58
2015-02-10,26100,                   3.16,                   0.66,                   2.59,                   0.55,                   5.65
2015-02-11,26500,                   3.21,                   0.67,                   2.63,                   0.56,                   5.57
2015-02-12,26400,                   3.20,                   0.67,                   2.62,                   0.56,                   5.59
2015-02-13,27250,                   3.30,                   0.69,                   2.71,                   0.57,                   5.41
2015-02-16,27850,                   3.37,                   0.70,                   2.77,                   0.59,                   5.30
2015-02-17,27500,                   3.33,                   0.70,                   2.73,                   0.58,                   5.36
2015-02-23,26950,                   3.27,                   0.68,                   2.68,                   0.57,                   5.47
2015-02-24,27450,                   3.33,                   0.69,                   2.73,                   0.58,                   5.37
2015-02-25,26850,                   3.25,                   0.68,                   2.67,                   0.56,                   5.49
2015-02-26,27100,                   3.28,                   0.69,                   2.69,                   0.57,                   5.44
2015-02-27,27650,                   3.35,                   0.70,                   2.75,                   0.58,                   5.34
2015-03-02,29000,                   3.51,                   0.73,                   2.88,                   0.61,                   5.09
2015-03-03,29400,                   3.56,                   0.74,                   2.92,                   0.62,                   5.02
2015-03-04,31900,                   3.86,                   0.81,                   3.17,                   0.67,                   4.62
2015-03-05,30550,                   3.70,                   0.77,                   3.03,                   0.64,                   4.83
2015-03-06,32150,                   3.89,                   0.81,                   3.19,                   0.68,                   4.59
2015-03-09,31350,                   3.80,                   0.79,                   3.11,                   0.66,                   4.71
2015-03-10,32700,                   3.96,                   0.83,                   3.25,                   0.69,                   4.51
2015-03-11,34000,                   4.12,                   0.86,                   3.38,                   0.71,                   4.34
2015-03-12,33450,                   4.05,                   0.85,                   3.32,                   0.70,                   4.41
2015-03-13,36000,                   4.36,                   0.91,                   3.58,                   0.76,                   4.10
2015-03-16,37350,                   4.52,                   0.95,                   3.71,                   0.79,                   3.95
2015-03-17,37550,                   4.55,                   0.95,                   3.73,                   0.79,                   3.93
2015-03-18,36200,                   4.39,                   0.92,                   3.60,                   0.76,                   4.08
2015-03-19,35300,                   4.28,                   0.89,                   3.51,                   0.74,                   4.18
2015-03-20,34850,                   4.22,                   0.88,                   3.46,                   0.73,                   4.23
2015-03-23,35200,                   4.26,                   0.89,                   3.50,                   0.74,                   4.19
2015-03-24,36350,                   4.40,                   0.92,                   3.61,                   0.76,                   4.06
2015-03-25,36250,                   4.39,                   0.92,                   3.60,                   0.76,                   4.07
2015-03-26,35150,                   4.26,                   0.89,                   3.49,                   0.74,                   4.20
2015-03-27,34400,                   4.17,                   0.87,                   3.42,                   0.72,                   4.29
2015-03-30,34500,                   4.18,                   0.87,                   3.43,                   0.73,                   4.28
2015-03-31,35300,                   4.28,                   0.89,                   3.51,                   0.74,                   4.18
2015-04-01,34450,                   4.17,                   0.87,                   3.42,                   0.72,                   4.28
2015-04-02,34900,                   4.23,                   0.88,                   3.47,                   0.73,                   4.23
2015-04-03,35250,                   4.27,                   0.89,                   3.50,                   0.74,                   4.19
2015-04-06,34800,                   4.22,                   0.88,                   3.46,                   0.73,                   4.24
2015-04-07,34500,                   4.18,                   0.87,                   3.43,                   0.73,                   4.28
2015-04-08,32850,                   3.98,                   0.83,                   3.26,                   0.69,                   4.49
2015-04-09,33400,                   4.05,                   0.85,                   3.32,                   0.70,                   4.42
2015-04-10,33700,                   4.08,                   0.85,                   3.35,                   0.71,                   4.38
2015-04-13,33350,                   4.04,                   0.84,                   3.31,                   0.70,                   4.42
2015-04-14,33950,                   4.11,                   0.86,                   3.37,                   0.71,                   4.35
2015-04-15,35750,                   4.33,                   0.90,                   3.55,                   0.75,                   4.13
2015-04-16,36550,                   4.43,                   0.92,                   3.63,                   0.77,                   4.04
2015-04-17,36100,                   4.37,                   0.91,                   3.59,                   0.76,                   4.09
2015-04-20,35900,                   4.35,                   0.91,                   3.57,                   0.75,                   4.11
2015-04-21,35300,                   4.28,                   0.89,                   3.51,                   0.74,                   4.18
2015-04-22,36950,                   4.48,                   0.93,                   3.67,                   0.78,                   3.99
2015-04-23,37950,                   4.60,                   0.96,                   3.77,                   0.80,                   3.89
2015-04-24,36950,                   4.48,                   0.93,                   3.67,                   0.78,                   3.99
2015-04-27,37200,                   4.51,                   0.94,                   3.69,                   0.78,                   3.97
2015-04-28,37700,                   4.57,                   0.95,                   3.74,                   0.79,                   3.91
2015-04-29,36600,                   4.43,                   0.93,                   3.64,                   0.77,                   4.03
2015-04-30,35500,                   4.30,                   0.90,                   3.53,                   0.75,                   4.16
2015-05-04,35850,                   4.34,                   0.91,                   3.56,                   0.75,                   4.11
2015-05-06,35650,                   4.32,                   0.90,                   3.54,                   0.75,                   4.14
2015-05-07,36050,                   4.37,                   0.91,                   3.58,                   0.76,                   4.09
2015-05-08,35950,                   4.36,                   0.91,                   3.57,                   0.76,                   4.10
