,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,12050,                  15.69,                   1.97,                   8.22,                   0.81,                   2.49
2007-01-03,11550,                  15.04,                   1.88,                   7.88,                   0.78,                   2.60
2007-01-04,11450,                  14.91,                   1.87,                   7.81,                   0.77,                   2.62
2007-01-05,11100,                  14.46,                   1.81,                   7.57,                   0.75,                   2.70
2007-01-08,10950,                  14.26,                   1.79,                   7.47,                   0.74,                   2.74
2007-01-09,10950,                  14.26,                   1.79,                   7.47,                   0.74,                   2.74
2007-01-10,10750,                  14.00,                   1.75,                   7.33,                   0.72,                   2.79
2007-01-11,10800,                  14.07,                   1.76,                   7.37,                   0.73,                   2.78
2007-01-12,10900,                  14.20,                   1.78,                   7.44,                   0.73,                   2.75
2007-01-15,11650,                  15.17,                   1.90,                   7.95,                   0.78,                   2.58
2007-01-16,11600,                  15.11,                   1.89,                   7.91,                   0.78,                   2.59
2007-01-17,11250,                  14.65,                   1.84,                   7.67,                   0.76,                   2.67
2007-01-18,11150,                  14.52,                   1.82,                   7.61,                   0.75,                   2.69
2007-01-19,10900,                  14.20,                   1.78,                   7.44,                   0.73,                   2.75
2007-01-22,10950,                  14.26,                   1.79,                   7.47,                   0.74,                   2.74
2007-01-23,10900,                  14.20,                   1.78,                   7.44,                   0.73,                   2.75
2007-01-24,11200,                  14.59,                   1.83,                   7.64,                   0.75,                   2.68
2007-01-25,11250,                  14.65,                   1.84,                   7.67,                   0.76,                   2.67
2007-01-26,10850,                  14.13,                   1.77,                   7.40,                   0.73,                   2.76
2007-01-29,10700,                  13.94,                   1.75,                   7.30,                   0.72,                   2.80
2007-01-30,10650,                  13.87,                   1.74,                   7.27,                   0.72,                   2.82
2007-01-31,10500,                  13.68,                   1.71,                   7.16,                   0.71,                   2.86
2007-02-01,10550,                  13.74,                   1.72,                   7.20,                   0.71,                   2.84
2007-02-02,10800,                  14.07,                   1.76,                   7.37,                   0.73,                   2.78
2007-02-05,10700,                  13.94,                   1.75,                   7.30,                   0.72,                   2.80
2007-02-06,10850,                  14.13,                   1.77,                   7.40,                   0.73,                   2.76
2007-02-07,10600,                  13.81,                   1.73,                   7.23,                   0.71,                   2.83
2007-02-08,10500,                  13.68,                   1.71,                   7.16,                   0.71,                   2.86
2007-02-09,10450,                  13.61,                   1.71,                   7.13,                   0.70,                   2.87
2007-02-12,10250,                  13.35,                   1.67,                   6.99,                   0.69,                   2.93
2007-02-13,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-02-14,10350,                  13.48,                   1.69,                   7.06,                   0.70,                   2.90
2007-02-15,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-02-16,9860,                  12.84,                   1.61,                   6.73,                   0.66,                   3.04
2007-02-20,10000,                  13.02,                   1.63,                   6.82,                   0.67,                   3.00
2007-02-21,10550,                  13.74,                   1.72,                   7.20,                   0.71,                   2.84
2007-02-22,10650,                  13.87,                   1.74,                   7.27,                   0.72,                   2.82
2007-02-23,10700,                  13.94,                   1.75,                   7.30,                   0.72,                   2.80
2007-02-26,10700,                  13.94,                   1.75,                   7.30,                   0.72,                   2.80
2007-02-27,10650,                  13.87,                   1.74,                   7.27,                   0.72,                   2.82
2007-02-28,10250,                  13.35,                   1.67,                   6.99,                   0.69,                   2.93
2007-03-02,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-03-05,10150,                  13.22,                   1.66,                   6.92,                   0.68,                   2.96
2007-03-06,10550,                  13.74,                   1.72,                   7.20,                   0.71,                   2.84
2007-03-07,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-03-08,9950,                  12.96,                   1.62,                   6.79,                   0.67,                   3.02
2007-03-09,9930,                  12.93,                   1.62,                   6.77,                   0.67,                   3.02
2007-03-12,9900,                  12.89,                   1.62,                   6.75,                   0.67,                   3.03
2007-03-13,9850,                  12.83,                   1.61,                   6.72,                   0.66,                   3.05
2007-03-14,9720,                  12.66,                   1.59,                   6.63,                   0.65,                   3.09
2007-03-15,9900,                  12.89,                   1.62,                   6.75,                   0.67,                   3.03
2007-03-16,9840,                  12.82,                   1.61,                   6.71,                   0.66,                   3.05
2007-03-19,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-03-20,10200,                  13.28,                   1.66,                   6.96,                   0.69,                   2.94
2007-03-21,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-03-22,10000,                  13.02,                   1.63,                   6.82,                   0.67,                   3.00
2007-03-23,9880,                  12.87,                   1.61,                   6.74,                   0.66,                   3.04
2007-03-26,9600,                  12.50,                   1.57,                   6.55,                   0.65,                   3.13
2007-03-27,9650,                  12.57,                   1.57,                   6.58,                   0.65,                   3.11
2007-03-28,9550,                  12.44,                   1.56,                   6.52,                   0.64,                   3.14
2007-03-29,9780,                  12.74,                   1.60,                   6.67,                   0.66,                   3.07
2007-03-30,9870,                  12.85,                   1.61,                   6.73,                   0.66,                   3.04
2007-04-02,11000,                  14.33,                   1.79,                   7.50,                   0.74,                   2.73
2007-04-03,10600,                  13.81,                   1.73,                   7.23,                   0.71,                   2.83
2007-04-04,10700,                  13.94,                   1.75,                   7.30,                   0.72,                   2.80
2007-04-05,10500,                  13.68,                   1.71,                   7.16,                   0.71,                   2.86
2007-04-06,10400,                  13.55,                   1.70,                   7.10,                   0.70,                   2.88
2007-04-09,10200,                  13.28,                   1.66,                   6.96,                   0.69,                   2.94
2007-04-10,10650,                  13.87,                   1.74,                   7.27,                   0.72,                   2.82
2007-04-11,10800,                  14.07,                   1.76,                   7.37,                   0.73,                   2.78
2007-04-12,11000,                  14.33,                   1.79,                   7.50,                   0.74,                   2.73
2007-04-13,10750,                  14.00,                   1.75,                   7.33,                   0.72,                   2.79
2007-04-16,10750,                  14.00,                   1.75,                   7.33,                   0.72,                   2.79
2007-04-17,10500,                  13.68,                   1.71,                   7.16,                   0.71,                   2.86
2007-04-18,10900,                  14.20,                   1.78,                   7.44,                   0.73,                   2.75
2007-04-19,10550,                  13.74,                   1.72,                   7.20,                   0.71,                   2.84
2007-04-20,10650,                  13.87,                   1.74,                   7.27,                   0.72,                   2.82
2007-04-23,10500,                  13.68,                   1.71,                   7.16,                   0.71,                   2.86
2007-04-24,10050,                  13.09,                   1.64,                   6.86,                   0.68,                   2.99
2007-04-25,9730,                  12.67,                   1.59,                   6.64,                   0.65,                   3.08
2007-04-26,9900,                  12.89,                   1.62,                   6.75,                   0.67,                   3.03
2007-04-27,9690,                  12.62,                   1.58,                   6.61,                   0.65,                   3.10
2007-04-30,9650,                  12.57,                   1.57,                   6.58,                   0.65,                   3.11
2007-05-02,9950,                  12.96,                   1.62,                   6.79,                   0.67,                   3.02
2007-05-03,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-05-04,9950,                  12.96,                   1.62,                   6.79,                   0.67,                   3.02
2007-05-07,10000,                  13.02,                   1.63,                   6.82,                   0.67,                   3.00
2007-05-08,9870,                  12.85,                   1.61,                   6.73,                   0.66,                   3.04
2007-05-09,9820,                  12.79,                   1.60,                   6.70,                   0.66,                   3.05
2007-05-10,9700,                  12.63,                   1.58,                   6.62,                   0.65,                   3.09
2007-05-11,9700,                  12.63,                   1.58,                   6.62,                   0.65,                   3.09
2007-05-14,10200,                  13.28,                   1.66,                   6.96,                   0.69,                   2.94
2007-05-15,10100,                  13.15,                   1.65,                   6.89,                   0.68,                   2.97
2007-05-16,10200,                  13.28,                   1.66,                   6.96,                   0.69,                   2.94
2007-05-17,9940,                  12.95,                   1.62,                   6.78,                   0.67,                   3.02
2007-05-18,9810,                  12.78,                   1.60,                   6.69,                   0.66,                   3.06
2007-05-21,10000,                  13.02,                   1.63,                   6.82,                   0.67,                   3.00
2007-05-22,9870,                  12.85,                   1.61,                   6.73,                   0.66,                   3.04
2007-05-23,9900,                  12.89,                   1.62,                   6.75,                   0.67,                   3.03
2007-05-25,9830,                  12.80,                   1.60,                   6.71,                   0.66,                   3.05
2007-05-28,9920,                  12.92,                   1.62,                   6.77,                   0.67,                   3.02
2007-05-29,9820,                  12.79,                   1.60,                   6.70,                   0.66,                   3.05
2007-05-30,9710,                  12.65,                   1.58,                   6.62,                   0.65,                   3.09
2007-05-31,9930,                  12.93,                   1.62,                   6.77,                   0.67,                   3.02
2007-06-01,9990,                  13.01,                   1.63,                   6.82,                   0.67,                   3.00
2007-06-04,9850,                  12.83,                   1.61,                   6.72,                   0.66,                   3.05
2007-06-05,10400,                  13.55,                   1.70,                   7.10,                   0.70,                   2.88
2007-06-07,10900,                  14.20,                   1.78,                   7.44,                   0.73,                   2.75
2007-06-08,11000,                  14.33,                   1.79,                   7.50,                   0.74,                   2.73
2007-06-11,11000,                  14.33,                   1.79,                   7.50,                   0.74,                   2.73
2007-06-12,11150,                  14.52,                   1.82,                   7.61,                   0.75,                   2.69
2007-06-13,11050,                  14.39,                   1.80,                   7.54,                   0.74,                   2.71
2007-06-14,11100,                  14.46,                   1.81,                   7.57,                   0.75,                   2.70
2007-06-15,11550,                  15.04,                   1.88,                   7.88,                   0.78,                   2.60
2007-06-18,11900,                  15.50,                   1.94,                   8.12,                   0.80,                   2.52
2007-06-19,11700,                  15.24,                   1.91,                   7.98,                   0.79,                   2.56
2007-06-20,11000,                  14.33,                   1.79,                   7.50,                   0.74,                   2.73
2007-06-21,11400,                  14.85,                   1.86,                   7.78,                   0.77,                   2.63
2007-06-22,11100,                  14.46,                   1.81,                   7.57,                   0.75,                   2.70
2007-06-25,11250,                  14.65,                   1.84,                   7.67,                   0.76,                   2.67
2007-06-26,11200,                  14.59,                   1.83,                   7.64,                   0.75,                   2.68
2007-06-27,11300,                  14.72,                   1.84,                   7.71,                   0.76,                   2.65
2007-06-28,11300,                  14.72,                   1.84,                   7.71,                   0.76,                   2.65
2007-06-29,11200,                  14.59,                   1.83,                   7.64,                   0.75,                   2.68
2007-07-02,11200,                  14.59,                   1.83,                   7.64,                   0.75,                   2.68
2007-07-03,11600,                  15.11,                   1.89,                   7.91,                   0.78,                   2.59
2007-07-04,11450,                  14.91,                   1.87,                   7.81,                   0.77,                   2.62
2007-07-05,11450,                  14.91,                   1.87,                   7.81,                   0.77,                   2.62
2007-07-06,11450,                  14.91,                   1.87,                   7.81,                   0.77,                   2.62
2007-07-09,11300,                  14.72,                   1.84,                   7.71,                   0.76,                   2.65
2007-07-10,11250,                  14.65,                   1.84,                   7.67,                   0.76,                   2.67
2007-07-11,11300,                  14.72,                   1.84,                   7.71,                   0.76,                   2.65
2007-07-12,11150,                  14.52,                   1.82,                   7.61,                   0.75,                   2.69
2007-07-13,11200,                  14.59,                   1.83,                   7.64,                   0.75,                   2.68
2007-07-16,11600,                  15.11,                   1.89,                   7.91,                   0.78,                   2.59
2007-07-18,11250,                  14.65,                   1.84,                   7.67,                   0.76,                   2.67
2007-07-19,11100,                  14.46,                   1.81,                   7.57,                   0.75,                   2.70
2007-07-20,11200,                  14.59,                   1.83,                   7.64,                   0.75,                   2.68
2007-07-23,10900,                  14.20,                   1.78,                   7.44,                   0.73,                   2.75
2007-07-24,10800,                  14.07,                   1.76,                   7.37,                   0.73,                   2.78
2007-07-25,11150,                  14.52,                   1.82,                   7.61,                   0.75,                   2.69
2007-07-26,11400,                  14.85,                   1.86,                   7.78,                   0.77,                   2.63
