,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,35500,                   6.20,                   0.51,                   1.98,                   0.27,                   0.32
2007-01-03,34850,                   6.08,                   0.50,                   1.94,                   0.27,                   0.33
2007-01-04,36250,                   6.33,                   0.52,                   2.02,                   0.28,                   0.32
2007-01-05,37000,                   6.46,                   0.53,                   2.06,                   0.28,                   0.31
2007-01-08,38050,                   6.64,                   0.54,                   2.12,                   0.29,                   0.30
2007-01-09,38500,                   6.72,                   0.55,                   2.15,                   0.29,                   0.30
2007-01-10,38150,                   6.66,                   0.55,                   2.13,                   0.29,                   0.30
2007-01-11,38050,                   6.64,                   0.54,                   2.12,                   0.29,                   0.30
2007-01-12,38050,                   6.64,                   0.54,                   2.12,                   0.29,                   0.30
2007-01-15,37150,                   6.48,                   0.53,                   2.07,                   0.28,                   0.31
2007-01-16,35450,                   6.19,                   0.51,                   1.98,                   0.27,                   0.32
2007-01-17,35500,                   6.20,                   0.51,                   1.98,                   0.27,                   0.32
2007-01-18,34600,                   6.04,                   0.49,                   1.93,                   0.26,                   0.33
2007-01-19,34050,                   5.94,                   0.49,                   1.90,                   0.26,                   0.34
2007-01-22,34650,                   6.05,                   0.50,                   1.93,                   0.26,                   0.33
2007-01-23,34600,                   6.04,                   0.49,                   1.93,                   0.26,                   0.33
2007-01-24,35100,                   6.13,                   0.50,                   1.96,                   0.27,                   0.33
2007-01-25,34900,                   6.09,                   0.50,                   1.94,                   0.27,                   0.33
2007-01-26,34700,                   6.06,                   0.50,                   1.93,                   0.26,                   0.33
2007-01-29,34050,                   5.94,                   0.49,                   1.90,                   0.26,                   0.34
2007-01-30,34600,                   6.04,                   0.49,                   1.93,                   0.26,                   0.33
2007-01-31,33600,                   5.86,                   0.48,                   1.87,                   0.26,                   0.34
2007-02-01,32950,                   5.75,                   0.47,                   1.84,                   0.25,                   0.35
2007-02-02,33600,                   5.86,                   0.48,                   1.87,                   0.26,                   0.34
2007-02-05,33300,                   5.81,                   0.48,                   1.86,                   0.25,                   0.34
2007-02-06,32550,                   5.68,                   0.47,                   1.81,                   0.25,                   0.35
2007-02-07,33150,                   5.79,                   0.47,                   1.85,                   0.25,                   0.35
2007-02-08,34000,                   5.93,                   0.49,                   1.89,                   0.26,                   0.34
2007-02-09,34000,                   5.93,                   0.49,                   1.89,                   0.26,                   0.34
2007-02-12,33700,                   5.88,                   0.48,                   1.88,                   0.26,                   0.34
2007-02-13,34000,                   5.93,                   0.49,                   1.89,                   0.26,                   0.34
2007-02-14,34400,                   6.00,                   0.49,                   1.92,                   0.26,                   0.33
