,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2017-05-12,162000,                  59.59,                   9.03,                  50.68,                   6.91,
2017-05-15,160000,                  58.86,                   8.91,                  50.05,                   6.83,
2017-05-16,156000,                  57.39,                   8.69,                  48.80,                   6.66,
2017-05-17,144000,                  52.97,                   8.02,                  45.05,                   6.14,
2017-05-18,148000,                  54.44,                   8.25,                  46.30,                   6.31,
2017-05-19,143500,                  52.79,                   7.99,                  44.89,                   6.12,
2017-05-22,140000,                  51.50,                   7.80,                  43.80,                   5.97,
2017-05-23,143500,                  52.79,                   7.99,                  44.89,                   6.12,
2017-05-24,145000,                  53.34,                   8.08,                  45.36,                   6.19,
2017-05-25,144000,                  52.97,                   8.02,                  45.05,                   6.14,
2017-05-26,142000,                  52.24,                   7.91,                  44.42,                   6.06,
2017-05-29,147000,                  54.08,                   8.19,                  45.99,                   6.27,
2017-05-30,149500,                  54.99,                   8.33,                  46.77,                   6.38,
2017-05-31,152000,                  55.91,                   8.47,                  47.55,                   6.49,
2017-06-01,151500,                  55.73,                   8.44,                  47.40,                   6.46,
2017-06-02,158500,                  58.31,                   8.83,                  49.59,                   6.76,
2017-06-05,161000,                  59.23,                   8.97,                  50.37,                   6.87,
2017-06-07,160500,                  59.04,                   8.94,                  50.21,                   6.85,
2017-06-08,153500,                  56.47,                   8.55,                  48.02,                   6.55,
2017-06-09,149000,                  54.81,                   8.30,                  46.61,                   6.36,
2017-06-12,141500,                  52.05,                   7.88,                  44.27,                   6.04,
2017-06-13,145500,                  53.52,                   8.11,                  45.52,                   6.21,
2017-06-14,143000,                  52.60,                   7.97,                  44.74,                   6.10,
2017-06-15,147500,                  54.26,                   8.22,                  46.14,                   6.29,
2017-06-16,152000,                  55.91,                   8.47,                  47.55,                   6.49,
2017-06-19,150500,                  55.36,                   8.38,                  47.08,                   6.42,
2017-06-20,153500,                  56.47,                   8.55,                  48.02,                   6.55,
2017-06-21,153000,                  56.28,                   8.52,                  47.86,                   6.53,
2017-06-22,151500,                  55.73,                   8.44,                  47.40,                   6.46,
2017-06-23,153500,                  56.47,                   8.55,                  48.02,                   6.55,
2017-06-26,152500,                  56.10,                   8.50,                  47.71,                   6.51,
2017-06-27,150000,                  55.18,                   8.36,                  46.93,                   6.40,
2017-06-28,149000,                  54.81,                   8.30,                  46.61,                   6.36,
2017-06-29,155000,                  57.02,                   8.64,                  48.49,                   6.61,
2017-06-30,155000,                  57.02,                   8.64,                  48.49,                   6.61,
2017-07-03,152500,                  56.10,                   8.50,                  47.71,                   6.51,
2017-07-04,152500,                  56.10,                   8.50,                  47.71,                   6.51,
2017-07-05,149500,                  54.99,                   8.33,                  46.77,                   6.38,
2017-07-06,148000,                  54.44,                   8.25,                  46.30,                   6.31,
2017-07-07,155000,                  57.02,                   8.64,                  48.49,                   6.61,
2017-07-10,151000,                  55.55,                   8.41,                  47.24,                   6.44,
2017-07-11,148500,                  54.63,                   8.27,                  46.46,                   6.34,
2017-07-12,145000,                  53.34,                   8.08,                  45.36,                   6.19,
2017-07-13,145000,                  53.34,                   8.08,                  45.36,                   6.19,
2017-07-14,145500,                  53.52,                   8.11,                  45.52,                   6.21,
2017-07-17,145500,                  53.52,                   8.11,                  45.52,                   6.21,
2017-07-18,145000,                  53.34,                   8.08,                  45.36,                   6.19,
2017-07-19,145000,                  53.34,                   8.08,                  45.36,                   6.19,
2017-07-20,148500,                  54.63,                   8.27,                  46.46,                   6.34,
2017-07-21,148000,                  54.44,                   8.25,                  46.30,                   6.31,
2017-07-24,149000,                  54.81,                   8.30,                  46.61,                   6.36,
2017-07-25,146500,                  53.89,                   8.16,                  45.83,                   6.25,
2017-07-26,146000,                  53.71,                   8.13,                  45.67,                   6.23,
2017-07-27,146000,                  53.71,                   8.13,                  45.67,                   6.23,
2017-07-28,144500,                  53.16,                   8.05,                  45.21,                   6.17,
2017-07-31,143000,                  52.60,                   7.97,                  44.74,                   6.10,
2017-08-01,141500,                  52.05,                   7.88,                  44.27,                   6.04,
2017-08-02,141500,                  52.05,                   7.88,                  44.27,                   6.04,
2017-08-03,136500,                  50.21,                   7.60,                  42.70,                   5.82,
2017-08-04,130500,                  48.01,                   7.27,                  40.83,                   5.57,
2017-08-07,134500,                  49.48,                   7.49,                  42.08,                   5.74,
2017-08-08,135500,                  49.84,                   7.55,                  42.39,                   5.78,
2017-08-09,134500,                  49.48,                   7.49,                  42.08,                   5.74,
2017-08-10,130500,                  48.01,                   7.27,                  40.83,                   5.57,
2017-08-11,127500,                  46.90,                   7.10,                  39.89,                   5.44,
2017-08-14,131000,                  48.19,                   7.30,                  40.98,                   5.59,
2017-08-16,136500,                  50.21,                   7.60,                  42.70,                   5.82,
2017-08-17,135500,                  49.84,                   7.55,                  42.39,                   5.78,
2017-08-18,138500,                  50.95,                   7.72,                  43.33,                   5.91,
2017-08-21,142500,                  52.42,                   7.94,                  44.58,                   6.08,
2017-08-22,144500,                  53.16,                   8.05,                  45.21,                   6.17,
2017-08-23,143500,                  52.79,                   7.99,                  44.89,                   6.12,
2017-08-24,155500,                  57.20,                   8.66,                  48.65,                   6.63,
2017-08-25,150000,                  55.18,                   8.36,                  46.93,                   6.40,
2017-08-28,148500,                  54.63,                   8.27,                  46.46,                   6.34,
2017-08-29,145500,                  53.52,                   8.11,                  45.52,                   6.21,
2017-08-30,152500,                  56.10,                   8.50,                  47.71,                   6.51,
2017-08-31,154500,                  56.83,                   8.61,                  48.33,                   6.59,
2017-09-01,154500,                  56.83,                   8.61,                  48.33,                   6.59,
2017-09-04,150000,                  55.18,                   8.36,                  46.93,                   6.40,
2017-09-05,150500,                  55.36,                   8.38,                  47.08,                   6.42,
2017-09-06,157000,                  57.75,                   8.75,                  49.12,                   6.70,
2017-09-07,158000,                  58.12,                   8.80,                  49.43,                   6.74,
2017-09-08,150500,                  55.36,                   8.38,                  47.08,                   6.42,
2017-09-11,150000,                  55.18,                   8.36,                  46.93,                   6.40,
2017-09-12,147000,                  54.08,                   8.19,                  45.99,                   6.27,
2017-09-13,149000,                  54.81,                   8.30,                  46.61,                   6.36,
2017-09-14,149500,                  54.99,                   8.33,                  46.77,                   6.38,
2017-09-15,150500,                  55.36,                   8.38,                  47.08,                   6.42,
2017-09-18,154500,                  56.83,                   8.61,                  48.33,                   6.59,
2017-09-19,154500,                  56.83,                   8.61,                  48.33,                   6.59,
2017-09-20,156500,                  57.57,                   8.72,                  48.96,                   6.68,
2017-09-21,156000,                  57.39,                   8.69,                  48.80,                   6.66,
2017-09-22,151500,                  55.73,                   8.44,                  47.40,                   6.46,
2017-09-25,150000,                  55.18,                   8.36,                  46.93,                   6.40,
2017-09-26,150000,                  55.18,                   8.36,                  46.93,                   6.40,
2017-09-27,149500,                  54.99,                   8.33,                  46.77,                   6.38,
2017-09-28,148000,                  54.44,                   8.25,                  46.30,                   6.31,
2017-09-29,151500,                  55.73,                   8.44,                  47.40,                   6.46,
2017-10-10,151500,                  55.73,                   8.44,                  47.40,                   6.46,
2017-10-11,152500,                  56.10,                   8.50,                  47.71,                   6.51,
2017-10-12,149000,                  54.81,                   8.30,                  46.61,                   6.36,
2017-10-13,162000,                  59.59,                   9.03,                  50.68,                   6.91,
2017-10-16,161000,                  59.23,                   8.97,                  50.37,                   6.87,
2017-10-17,169500,                  62.35,                   9.44,                  53.03,                   7.23,
2017-10-18,176500,                  64.93,                   9.83,                  55.22,                   7.53,
2017-10-19,173000,                  63.64,                   9.64,                  54.12,                   7.38,
2017-10-20,173500,                  63.82,                   9.67,                  54.28,                   7.40,
2017-10-23,171000,                  62.90,                   9.53,                  53.50,                   7.30,
2017-10-24,177000,                  65.11,                   9.86,                  55.37,                   7.55,
2017-10-25,175000,                  64.38,                   9.75,                  54.75,                   7.47,
2017-10-26,175500,                  64.56,                   9.78,                  54.90,                   7.49,
2017-10-27,177500,                  65.29,                   9.89,                  55.53,                   7.57,
2017-10-30,170500,                  62.72,                   9.50,                  53.34,                   7.27,
2017-10-31,174000,                  64.01,                   9.69,                  54.43,                   7.42,
2017-11-01,172000,                  63.27,                   9.58,                  53.81,                   7.34,
2017-11-02,177500,                  65.29,                   9.89,                  55.53,                   7.57,
2017-11-03,175000,                  64.38,                   9.75,                  54.75,                   7.47,
2017-11-06,186500,                  68.61,                  10.39,                  58.34,                   7.96,
2017-11-07,185500,                  68.24,                  10.33,                  58.03,                   7.91,
2017-11-08,184500,                  67.87,                  10.28,                  57.72,                   7.87,
2017-11-09,186000,                  68.42,                  10.36,                  58.19,                   7.94,
