,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,851000,,                   0.65,                  10.38,                   0.41,                   0.21
2007-01-03,812000,,                   0.62,                   9.91,                   0.39,                   0.22
2007-01-04,792000,,                   0.60,                   9.66,                   0.38,                   0.22
2007-01-05,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-01-08,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-01-09,803000,,                   0.61,                   9.80,                   0.38,                   0.22
2007-01-10,776000,,                   0.59,                   9.47,                   0.37,                   0.23
2007-01-11,774000,,                   0.59,                   9.44,                   0.37,                   0.23
2007-01-12,779000,,                   0.59,                   9.51,                   0.37,                   0.22
2007-01-15,789000,,                   0.60,                   9.63,                   0.38,                   0.22
2007-01-16,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-01-17,784000,,                   0.60,                   9.57,                   0.38,                   0.22
2007-01-18,798000,,                   0.61,                   9.74,                   0.38,                   0.22
2007-01-19,766000,,                   0.58,                   9.35,                   0.37,                   0.23
2007-01-22,781000,,                   0.59,                   9.53,                   0.37,                   0.22
2007-01-23,782000,,                   0.59,                   9.54,                   0.37,                   0.22
2007-01-24,794000,,                   0.60,                   9.69,                   0.38,                   0.22
2007-01-25,798000,,                   0.61,                   9.74,                   0.38,                   0.22
2007-01-26,784000,,                   0.60,                   9.57,                   0.38,                   0.22
2007-01-29,782000,,                   0.59,                   9.54,                   0.37,                   0.22
2007-01-30,789000,,                   0.60,                   9.63,                   0.38,                   0.22
2007-01-31,790000,,                   0.60,                   9.64,                   0.38,                   0.22
2007-02-01,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-02-02,802000,,                   0.61,                   9.79,                   0.38,                   0.22
2007-02-05,790000,,                   0.60,                   9.64,                   0.38,                   0.22
2007-02-06,797000,,                   0.61,                   9.72,                   0.38,                   0.22
2007-02-07,797000,,                   0.61,                   9.72,                   0.38,                   0.22
2007-02-08,815000,,                   0.62,                   9.94,                   0.39,                   0.21
2007-02-09,796000,,                   0.60,                   9.71,                   0.38,                   0.22
2007-02-12,790000,,                   0.60,                   9.64,                   0.38,                   0.22
2007-02-13,792000,,                   0.60,                   9.66,                   0.38,                   0.22
2007-02-14,791000,,                   0.60,                   9.65,                   0.38,                   0.22
2007-02-15,792000,,                   0.60,                   9.66,                   0.38,                   0.22
2007-02-16,797000,,                   0.61,                   9.72,                   0.38,                   0.22
2007-02-20,791000,,                   0.60,                   9.65,                   0.38,                   0.22
2007-02-21,785000,,                   0.60,                   9.58,                   0.38,                   0.22
2007-02-22,804000,,                   0.61,                   9.81,                   0.38,                   0.22
2007-02-23,792000,,                   0.60,                   9.66,                   0.38,                   0.22
2007-02-26,787000,,                   0.60,                   9.60,                   0.38,                   0.22
2007-02-27,780000,,                   0.59,                   9.52,                   0.37,                   0.22
2007-02-28,790000,,                   0.60,                   9.64,                   0.38,                   0.22
2007-03-02,771000,,                   0.59,                   9.41,                   0.37,                   0.23
2007-03-05,750000,,                   0.57,                   9.15,                   0.36,                   0.23
2007-03-06,769000,,                   0.58,                   9.38,                   0.37,                   0.23
2007-03-07,748000,,                   0.57,                   9.13,                   0.36,                   0.23
2007-03-08,755000,,                   0.57,                   9.21,                   0.36,                   0.23
2007-03-09,742000,,                   0.56,                   9.05,                   0.36,                   0.24
2007-03-12,738000,,                   0.56,                   9.00,                   0.35,                   0.24
2007-03-13,726000,,                   0.55,                   8.86,                   0.35,                   0.24
2007-03-14,712000,,                   0.54,                   8.69,                   0.34,                   0.25
2007-03-15,733000,,                   0.56,                   8.94,                   0.35,                   0.24
2007-03-16,725000,,                   0.55,                   8.85,                   0.35,                   0.24
2007-03-19,743000,,                   0.56,                   9.07,                   0.36,                   0.24
2007-03-20,752000,,                   0.57,                   9.18,                   0.36,                   0.23
2007-03-21,745000,,                   0.57,                   9.09,                   0.36,                   0.23
2007-03-22,739000,,                   0.56,                   9.02,                   0.35,                   0.24
2007-03-23,733000,,                   0.56,                   8.94,                   0.35,                   0.24
2007-03-26,743000,,                   0.56,                   9.07,                   0.36,                   0.24
2007-03-27,750000,,                   0.57,                   9.15,                   0.36,                   0.23
2007-03-28,729000,,                   0.55,                   8.90,                   0.35,                   0.24
2007-03-29,750000,,                   0.57,                   9.15,                   0.36,                   0.23
2007-03-30,775000,,                   0.59,                   9.46,                   0.37,                   0.23
2007-04-02,767000,,                   0.58,                   9.36,                   0.37,                   0.23
2007-04-03,740000,,                   0.56,                   9.03,                   0.35,                   0.24
2007-04-04,733000,,                   0.56,                   8.94,                   0.35,                   0.24
2007-04-05,737000,,                   0.56,                   8.99,                   0.35,                   0.24
2007-04-06,741000,,                   0.56,                   9.04,                   0.35,                   0.24
2007-04-09,761000,,                   0.58,                   9.29,                   0.36,                   0.23
2007-04-10,773000,,                   0.59,                   9.43,                   0.37,                   0.23
2007-04-11,779000,,                   0.59,                   9.51,                   0.37,                   0.22
2007-04-12,828000,,                   0.63,                  10.10,                   0.40,                   0.21
2007-04-13,778000,,                   0.59,                   9.49,                   0.37,                   0.22
2007-04-16,783000,,                   0.59,                   9.55,                   0.37,                   0.22
2007-04-17,765000,,                   0.58,                   9.33,                   0.37,                   0.23
2007-04-18,782000,,                   0.59,                   9.54,                   0.37,                   0.22
2007-04-19,770000,,                   0.58,                   9.40,                   0.37,                   0.23
2007-04-20,779000,,                   0.59,                   9.51,                   0.37,                   0.22
2007-04-23,791000,,                   0.60,                   9.65,                   0.38,                   0.22
2007-04-24,793000,,                   0.60,                   9.68,                   0.38,                   0.22
2007-04-25,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-04-26,810000,,                   0.62,                   9.88,                   0.39,                   0.22
2007-04-27,795000,,                   0.60,                   9.70,                   0.38,                   0.22
2007-04-30,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-05-02,815000,,                   0.62,                   9.94,                   0.39,                   0.21
2007-05-03,815000,,                   0.62,                   9.94,                   0.39,                   0.21
2007-05-04,805000,,                   0.61,                   9.82,                   0.39,                   0.22
2007-05-07,812000,,                   0.62,                   9.91,                   0.39,                   0.22
2007-05-08,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-05-09,805000,,                   0.61,                   9.82,                   0.39,                   0.22
2007-05-10,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-05-11,800000,,                   0.61,                   9.76,                   0.38,                   0.22
2007-05-14,810000,,                   0.62,                   9.88,                   0.39,                   0.22
2007-05-15,820000,,                   0.62,                  10.01,                   0.39,                   0.21
2007-05-16,840000,,                   0.64,                  10.25,                   0.40,                   0.21
2007-05-17,844000,,                   0.64,                  10.30,                   0.40,                   0.21
2007-05-18,863000,,                   0.66,                  10.53,                   0.41,                   0.20
2007-05-21,888000,,                   0.67,                  10.84,                   0.42,                   0.20
2007-05-22,854000,,                   0.65,                  10.42,                   0.41,                   0.20
2007-05-23,861000,,                   0.65,                  10.51,                   0.41,                   0.20
2007-05-25,860000,,                   0.65,                  10.49,                   0.41,                   0.20
2007-05-28,856000,,                   0.65,                  10.44,                   0.41,                   0.20
2007-05-29,839000,,                   0.64,                  10.24,                   0.40,                   0.21
2007-05-30,840000,,                   0.64,                  10.25,                   0.40,                   0.21
2007-05-31,929000,,                   0.71,                  11.34,                   0.44,                   0.19
2007-06-01,890000,,                   0.68,                  10.86,                   0.43,                   0.20
2007-06-04,846000,,                   0.64,                  10.32,                   0.40,                   0.21
2007-06-05,854000,,                   0.65,                  10.42,                   0.41,                   0.20
2007-06-07,887000,,                   0.67,                  10.82,                   0.42,                   0.20
2007-06-08,881000,,                   0.67,                  10.75,                   0.42,                   0.20
2007-06-11,885000,,                   0.67,                  10.80,                   0.42,                   0.20
2007-06-12,884000,,                   0.67,                  10.79,                   0.42,                   0.20
2007-06-13,900000,,                   0.68,                  10.98,                   0.43,                   0.19
2007-06-14,930000,,                   0.71,                  11.35,                   0.44,                   0.19
2007-06-15,967000,,                   0.73,                  11.80,                   0.46,                   0.18
2007-06-18,1050000,,                   0.80,                  12.81,                   0.50,                   0.17
2007-06-19,1020000,,                   0.77,                  12.45,                   0.49,                   0.17
2007-06-20,1020000,,                   0.77,                  12.45,                   0.49,                   0.17
2007-06-21,1038000,,                   0.79,                  12.67,                   0.50,                   0.17
2007-06-22,1028000,,                   0.78,                  12.54,                   0.49,                   0.17
2007-06-25,1050000,,                   0.80,                  12.81,                   0.50,                   0.17
2007-06-26,1060000,,                   0.81,                  12.93,                   0.51,                   0.17
2007-06-27,1066000,,                   0.81,                  13.01,                   0.51,                   0.16
2007-06-28,1075000,,                   0.82,                  13.12,                   0.51,                   0.16
2007-06-29,1120000,,                   0.85,                  13.67,                   0.54,                   0.16
2007-07-02,1195000,,                   0.91,                  14.58,                   0.57,                   0.15
2007-07-03,1200000,,                   0.91,                  14.64,                   0.57,                   0.15
2007-07-04,1212000,,                   0.92,                  14.79,                   0.58,                   0.14
2007-07-05,1393000,,                   1.06,                  17.00,                   0.67,                   0.13
