,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,41550,                  13.21,                   0.89,                   4.44,                   0.25,                   2.63
2007-01-03,40400,                  12.84,                   0.87,                   4.32,                   0.24,                   2.71
2007-01-04,40450,                  12.86,                   0.87,                   4.33,                   0.24,                   2.70
2007-01-05,39000,                  12.40,                   0.84,                   4.17,                   0.23,                   2.81
2007-01-08,38100,                  12.11,                   0.82,                   4.08,                   0.23,                   2.87
2007-01-09,37950,                  12.06,                   0.81,                   4.06,                   0.23,                   2.88
2007-01-10,37500,                  11.92,                   0.80,                   4.01,                   0.22,                   2.92
2007-01-11,37000,                  11.76,                   0.79,                   3.96,                   0.22,                   2.96
2007-01-12,38450,                  12.22,                   0.82,                   4.11,                   0.23,                   2.85
2007-01-15,37550,                  11.93,                   0.80,                   4.02,                   0.22,                   2.91
2007-01-16,37500,                  11.92,                   0.80,                   4.01,                   0.22,                   2.92
2007-01-17,37200,                  11.82,                   0.80,                   3.98,                   0.22,                   2.94
2007-01-18,37800,                  12.01,                   0.81,                   4.04,                   0.23,                   2.89
2007-01-19,37450,                  11.90,                   0.80,                   4.01,                   0.22,                   2.92
2007-01-22,37500,                  11.92,                   0.80,                   4.01,                   0.22,                   2.92
2007-01-23,38100,                  12.11,                   0.82,                   4.08,                   0.23,                   2.87
2007-01-24,38850,                  12.35,                   0.83,                   4.16,                   0.23,                   2.82
2007-01-25,38850,                  12.35,                   0.83,                   4.16,                   0.23,                   2.82
2007-01-26,39400,                  12.52,                   0.84,                   4.21,                   0.24,                   2.78
2007-01-29,38950,                  12.38,                   0.83,                   4.17,                   0.23,                   2.81
2007-01-30,38750,                  12.32,                   0.83,                   4.14,                   0.23,                   2.82
2007-01-31,37250,                  11.84,                   0.80,                   3.98,                   0.22,                   2.94
2007-02-01,37450,                  11.90,                   0.80,                   4.01,                   0.22,                   2.92
2007-02-02,37300,                  11.86,                   0.80,                   3.99,                   0.22,                   2.93
2007-02-05,36900,                  11.73,                   0.79,                   3.95,                   0.22,                   2.97
2007-02-06,36700,                  11.66,                   0.79,                   3.93,                   0.22,                   2.98
2007-02-07,37500,                  11.92,                   0.80,                   4.01,                   0.22,                   2.92
2007-02-08,38200,                  12.14,                   0.82,                   4.09,                   0.23,                   2.86
