,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2014-10-06,197500,,,,,
2014-10-07,198000,,,,,
2014-10-08,201500,,,,,
2014-10-10,202000,,,,,
2014-10-13,196000,,,,,
2014-10-14,190000,,,,,
2014-10-15,186500,,,,,
2014-10-16,189000,,,,,
2014-10-17,187500,,,,,
2014-10-20,191000,,,,,
2014-10-21,186500,,,,,
2014-10-22,180500,,,,,
2014-10-23,179000,,,,,
2014-10-24,182000,,,,,
2014-10-27,190000,,,,,
2014-10-28,198000,,,,,
2014-10-29,196500,,,,,
2014-10-30,203500,,,,,
2014-10-31,201500,,,,,
2014-11-03,193500,,,,,
2014-11-04,190500,,,,,
2014-11-05,194500,,,,,
2014-11-06,192000,,,,,
2014-11-07,189000,,,,,
2014-11-10,187500,,,,,
2014-11-11,192500,,,,,
2014-11-12,194000,,,,,
2014-11-13,193500,,,,,
2014-11-14,192000,,,,,
2014-11-17,189500,,,,,
2014-11-18,187500,,,,,
2014-11-19,188500,,,,,
2014-11-20,188500,,,,,
2014-11-21,184500,,,,,
2014-11-24,183000,,,,,
2014-11-25,182500,,,,,
2014-11-26,185000,,,,,
2014-11-27,190500,,,,,
2014-11-28,190000,,,,,
2014-12-01,185000,,,,,
2014-12-02,189000,,,,,
2014-12-03,191500,,,,,
2014-12-04,197000,,,,,
2014-12-05,195500,,,,,
2014-12-08,194500,,,,,
2014-12-09,193500,,,,,
2014-12-10,191000,,,,,
2014-12-11,191000,,,,,
2014-12-12,188000,,,,,
2014-12-15,189500,,,,,
2014-12-16,188500,,,,,
2014-12-17,187000,,,,,
2014-12-18,187000,,,,,
2014-12-19,186000,,,,,
2014-12-22,185000,,,,,
2014-12-23,183000,,,,,
2014-12-24,183500,,,,,
2014-12-26,188000,,,,,
2014-12-29,183000,,,,,
2014-12-30,183500,,,,,
2015-01-02,182500,                  36.06,                   1.61,                  14.36,                   1.00,                   1.10
2015-01-05,182000,                  35.96,                   1.61,                  14.32,                   0.99,                   1.10
2015-01-06,179000,                  35.37,                   1.58,                  14.08,                   0.98,                   1.12
2015-01-07,177500,                  35.07,                   1.57,                  13.96,                   0.97,                   1.13
2015-01-08,181000,                  35.76,                   1.60,                  14.24,                   0.99,                   1.10
2015-01-09,176000,                  34.77,                   1.55,                  13.84,                   0.96,                   1.14
2015-01-12,174500,                  34.48,                   1.54,                  13.73,                   0.95,                   1.15
2015-01-13,170000,                  33.59,                   1.50,                  13.37,                   0.93,                   1.18
2015-01-14,171000,                  33.79,                   1.51,                  13.45,                   0.93,                   1.17
2015-01-15,168500,                  33.29,                   1.49,                  13.25,                   0.92,                   1.19
2015-01-16,164000,                  32.40,                   1.45,                  12.90,                   0.89,                   1.22
2015-01-19,164500,                  32.50,                   1.45,                  12.94,                   0.90,                   1.22
2015-01-20,165000,                  32.60,                   1.46,                  12.98,                   0.90,                   1.21
