,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,14950,                  33.56,                   1.25,                  15.28,                   1.33,                   1.34
2007-01-03,14400,                  32.32,                   1.21,                  14.72,                   1.28,                   1.39
2007-01-04,14100,                  31.65,                   1.18,                  14.41,                   1.26,                   1.42
2007-01-05,13900,                  31.20,                   1.16,                  14.21,                   1.24,                   1.44
2007-01-08,13750,                  30.86,                   1.15,                  14.05,                   1.23,                   1.45
2007-01-09,14000,                  31.43,                   1.17,                  14.31,                   1.25,                   1.43
2007-01-10,13350,                  29.97,                   1.12,                  13.64,                   1.19,                   1.50
2007-01-11,13350,                  29.97,                   1.12,                  13.64,                   1.19,                   1.50
2007-01-12,13850,                  31.09,                   1.16,                  14.16,                   1.23,                   1.44
2007-01-15,13950,                  31.31,                   1.17,                  14.26,                   1.24,                   1.43
2007-01-16,13950,                  31.31,                   1.17,                  14.26,                   1.24,                   1.43
2007-01-17,13900,                  31.20,                   1.16,                  14.21,                   1.24,                   1.44
2007-01-18,13850,                  31.09,                   1.16,                  14.16,                   1.23,                   1.44
2007-01-19,13300,                  29.85,                   1.11,                  13.59,                   1.19,                   1.50
2007-01-22,13650,                  30.64,                   1.14,                  13.95,                   1.22,                   1.47
2007-01-23,13400,                  30.08,                   1.12,                  13.70,                   1.19,                   1.49
2007-01-24,13700,                  30.75,                   1.15,                  14.00,                   1.22,                   1.46
2007-01-25,14000,                  31.43,                   1.17,                  14.31,                   1.25,                   1.43
2007-01-26,13850,                  31.09,                   1.16,                  14.16,                   1.23,                   1.44
2007-01-29,13700,                  30.75,                   1.15,                  14.00,                   1.22,                   1.46
2007-01-30,13900,                  31.20,                   1.16,                  14.21,                   1.24,                   1.44
2007-01-31,13550,                  30.42,                   1.13,                  13.85,                   1.21,                   1.48
2007-02-01,13650,                  30.64,                   1.14,                  13.95,                   1.22,                   1.47
2007-02-02,13950,                  31.31,                   1.17,                  14.26,                   1.24,                   1.43
2007-02-05,13850,                  31.09,                   1.16,                  14.16,                   1.23,                   1.44
2007-02-06,13900,                  31.20,                   1.16,                  14.21,                   1.24,                   1.44
2007-02-07,14250,                  31.99,                   1.19,                  14.56,                   1.27,                   1.40
2007-02-08,14450,                  32.44,                   1.21,                  14.77,                   1.29,                   1.38
2007-02-09,14700,                  33.00,                   1.23,                  15.02,                   1.31,                   1.36
2007-02-12,14450,                  32.44,                   1.21,                  14.77,                   1.29,                   1.38
2007-02-13,14450,                  32.44,                   1.21,                  14.77,                   1.29,                   1.38
2007-02-14,14650,                  32.89,                   1.23,                  14.97,                   1.31,                   1.37
2007-02-15,14800,                  33.22,                   1.24,                  15.13,                   1.32,                   1.35
2007-02-16,15000,                  33.67,                   1.26,                  15.33,                   1.34,                   1.33
2007-02-20,14850,                  33.33,                   1.24,                  15.18,                   1.32,                   1.35
2007-02-21,14550,                  32.66,                   1.22,                  14.87,                   1.30,                   1.37
2007-02-22,14850,                  33.33,                   1.24,                  15.18,                   1.32,                   1.35
2007-02-23,14800,                  33.22,                   1.24,                  15.13,                   1.32,                   1.35
2007-02-26,14650,                  32.89,                   1.23,                  14.97,                   1.31,                   1.37
2007-02-27,14550,                  32.66,                   1.22,                  14.87,                   1.30,                   1.37
2007-02-28,14250,                  31.99,                   1.19,                  14.56,                   1.27,                   1.40
2007-03-02,13950,                  31.31,                   1.17,                  14.26,                   1.24,                   1.43
2007-03-05,13650,                  30.64,                   1.14,                  13.95,                   1.22,                   1.47
2007-03-06,13700,                  30.75,                   1.15,                  14.00,                   1.22,                   1.46
2007-03-07,13700,                  30.75,                   1.15,                  14.00,                   1.22,                   1.46
2007-03-08,14300,                  32.10,                   1.20,                  14.62,                   1.27,                   1.40
2007-03-09,14200,                  31.88,                   1.19,                  14.51,                   1.27,                   1.41
2007-03-12,14100,                  31.65,                   1.18,                  14.41,                   1.26,                   1.42
2007-03-13,14500,                  32.55,                   1.21,                  14.82,                   1.29,                   1.38
2007-03-14,14300,                  32.10,                   1.20,                  14.62,                   1.27,                   1.40
2007-03-15,14300,                  32.10,                   1.20,                  14.62,                   1.27,                   1.40
2007-03-16,14050,                  31.54,                   1.18,                  14.36,                   1.25,                   1.42
2007-03-19,14250,                  31.99,                   1.19,                  14.56,                   1.27,                   1.40
2007-03-20,14100,                  31.65,                   1.18,                  14.41,                   1.26,                   1.42
2007-03-21,14650,                  32.89,                   1.23,                  14.97,                   1.31,                   1.37
2007-03-22,14600,                  32.77,                   1.22,                  14.92,                   1.30,                   1.37
2007-03-23,14700,                  33.00,                   1.23,                  15.02,                   1.31,                   1.36
2007-03-26,15000,                  33.67,                   1.26,                  15.33,                   1.34,                   1.33
2007-03-27,15300,                  34.34,                   1.28,                  15.64,                   1.36,                   1.31
2007-03-28,15150,                  34.01,                   1.27,                  15.48,                   1.35,                   1.32
2007-03-29,15250,                  34.23,                   1.28,                  15.59,                   1.36,                   1.31
2007-03-30,14950,                  33.56,                   1.25,                  15.28,                   1.33,                   1.34
2007-04-02,15400,                  34.57,                   1.29,                  15.74,                   1.37,                   1.30
2007-04-03,15400,                  34.57,                   1.29,                  15.74,                   1.37,                   1.30
2007-04-04,15400,                  34.57,                   1.29,                  15.74,                   1.37,                   1.30
2007-04-05,15100,                  33.90,                   1.26,                  15.43,                   1.35,                   1.32
2007-04-06,15050,                  33.78,                   1.26,                  15.38,                   1.34,                   1.33
2007-04-09,15200,                  34.12,                   1.27,                  15.54,                   1.35,                   1.32
2007-04-10,15500,                  34.79,                   1.30,                  15.84,                   1.38,                   1.29
2007-04-11,15450,                  34.68,                   1.29,                  15.79,                   1.38,                   1.29
2007-04-12,15350,                  34.46,                   1.29,                  15.69,                   1.37,                   1.30
2007-04-13,15100,                  33.90,                   1.26,                  15.43,                   1.35,                   1.32
2007-04-16,15450,                  34.68,                   1.29,                  15.79,                   1.38,                   1.29
2007-04-17,16000,                  35.92,                   1.34,                  16.35,                   1.43,                   1.25
2007-04-18,16300,                  36.59,                   1.37,                  16.66,                   1.45,                   1.23
2007-04-19,16250,                  36.48,                   1.36,                  16.61,                   1.45,                   1.23
2007-04-20,16850,                  37.82,                   1.41,                  17.22,                   1.50,                   1.19
2007-04-23,16550,                  37.15,                   1.39,                  16.92,                   1.48,                   1.21
2007-04-24,17200,                  38.61,                   1.44,                  17.58,                   1.53,                   1.16
2007-04-25,16850,                  37.82,                   1.41,                  17.22,                   1.50,                   1.19
2007-04-26,16100,                  36.14,                   1.35,                  16.46,                   1.44,                   1.24
2007-04-27,15650,                  35.13,                   1.31,                  16.00,                   1.40,                   1.28
2007-04-30,15700,                  35.24,                   1.31,                  16.05,                   1.40,                   1.27
2007-05-02,16300,                  36.59,                   1.37,                  16.66,                   1.45,                   1.23
2007-05-03,16250,                  36.48,                   1.36,                  16.61,                   1.45,                   1.23
2007-05-04,16100,                  36.14,                   1.35,                  16.46,                   1.44,                   1.24
2007-05-07,16250,                  36.48,                   1.36,                  16.61,                   1.45,                   1.23
2007-05-08,16550,                  37.15,                   1.39,                  16.92,                   1.48,                   1.21
2007-05-09,16450,                  36.93,                   1.38,                  16.81,                   1.47,                   1.22
2007-05-10,16550,                  37.15,                   1.39,                  16.92,                   1.48,                   1.21
2007-05-11,16250,                  36.48,                   1.36,                  16.61,                   1.45,                   1.23
2007-05-14,15900,                  35.69,                   1.33,                  16.25,                   1.42,                   1.26
2007-05-15,15700,                  35.24,                   1.31,                  16.05,                   1.40,                   1.27
2007-05-16,15850,                  35.58,                   1.33,                  16.20,                   1.41,                   1.26
2007-05-17,15450,                  34.68,                   1.29,                  15.79,                   1.38,                   1.29
