,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2021-09-17,111500,,                   1.47,,                   0.95,
2021-09-23,99100,,                   1.31,,                   0.84,
2021-09-24,99200,,                   1.31,,                   0.84,
2021-09-27,97000,,                   1.28,,                   0.83,
2021-09-28,100000,,                   1.32,,                   0.85,
2021-09-29,107500,,                   1.42,,                   0.92,
2021-09-30,115500,,                   1.52,,                   0.98,
2021-10-01,113500,,                   1.50,,                   0.97,
2021-10-05,104500,,                   1.38,,                   0.89,
2021-10-06,107000,,                   1.41,,                   0.91,
2021-10-07,109500,,                   1.45,,                   0.93,
2021-10-08,104500,,                   1.38,,                   0.89,
2021-10-12,101000,,                   1.33,,                   0.86,
2021-10-13,102000,,                   1.35,,                   0.87,
2021-10-14,102000,,                   1.35,,                   0.87,
2021-10-15,105000,,                   1.39,,                   0.89,
2021-10-18,101500,,                   1.34,,                   0.86,
2021-10-19,101500,,                   1.34,,                   0.86,
2021-10-20,100500,,                   1.33,,                   0.86,
2021-10-21,100500,,                   1.33,,                   0.86,
2021-10-22,101000,,                   1.33,,                   0.86,
2021-10-25,106000,,                   1.40,,                   0.90,
2021-10-26,108500,,                   1.43,,                   0.92,
2021-10-27,113500,,                   1.50,,                   0.97,
2021-10-28,112000,,                   1.48,,                   0.95,
2021-10-29,117000,,                   1.54,,                   1.00,
2021-11-01,118500,,                   1.56,,                   1.01,
2021-11-02,116000,,                   1.53,,                   0.99,
2021-11-03,116500,,                   1.54,,                   0.99,
2021-11-04,112500,,                   1.49,,                   0.96,
2021-11-05,113500,,                   1.50,,                   0.97,
2021-11-08,112000,,                   1.48,,                   0.95,
2021-11-09,109500,,                   1.45,,                   0.93,
2021-11-10,111000,,                   1.47,,                   0.95,
2021-11-11,112000,,                   1.48,,                   0.95,
2021-11-12,112000,,                   1.48,,                   0.95,
2021-11-15,114000,,                   1.51,,                   0.97,
2021-11-16,111500,,                   1.47,,                   0.95,
2021-11-17,108500,,                   1.43,,                   0.92,
2021-11-18,106000,,                   1.40,,                   0.90,
2021-11-19,109000,,                   1.44,,                   0.93,
2021-11-22,109000,,                   1.44,,                   0.93,
2021-11-23,111000,,                   1.47,,                   0.95,
2021-11-24,112500,,                   1.49,,                   0.96,
2021-11-25,114000,,                   1.51,,                   0.97,
2021-11-26,111500,,                   1.47,,                   0.95,
2021-11-29,108500,,                   1.43,,                   0.92,
2021-11-30,106500,,                   1.41,,                   0.91,
2021-12-01,108000,,                   1.43,,                   0.92,
2021-12-02,113500,,                   1.50,,                   0.97,
