,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,274000,                  14.67,                   1.63,                   9.16,                   1.04,                   1.46
2007-01-03,274000,                  14.67,                   1.63,                   9.16,                   1.04,                   1.46
2007-01-04,270500,                  14.48,                   1.61,                   9.05,                   1.03,                   1.48
2007-01-05,272000,                  14.56,                   1.62,                   9.10,                   1.03,                   1.47
2007-01-08,272000,                  14.56,                   1.62,                   9.10,                   1.03,                   1.47
2007-01-09,269500,                  14.43,                   1.61,                   9.01,                   1.02,                   1.48
2007-01-10,262500,                  14.05,                   1.56,                   8.78,                   1.00,                   1.52
2007-01-11,261000,                  13.97,                   1.56,                   8.73,                   0.99,                   1.53
2007-01-12,261000,                  13.97,                   1.56,                   8.73,                   0.99,                   1.53
2007-01-15,261000,                  13.97,                   1.56,                   8.73,                   0.99,                   1.53
2007-01-16,258000,                  13.81,                   1.54,                   8.63,                   0.98,                   1.55
2007-01-17,250000,                  13.38,                   1.49,                   8.36,                   0.95,                   1.60
2007-01-18,248500,                  13.30,                   1.48,                   8.31,                   0.94,                   1.61
2007-01-19,236000,                  12.63,                   1.41,                   7.89,                   0.90,                   1.69
2007-01-22,240000,                  12.85,                   1.43,                   8.03,                   0.91,                   1.67
2007-01-23,247000,                  13.22,                   1.47,                   8.26,                   0.94,                   1.62
2007-01-24,256000,                  13.70,                   1.53,                   8.56,                   0.97,                   1.56
2007-01-25,255000,                  13.65,                   1.52,                   8.53,                   0.97,                   1.57
2007-01-26,254000,                  13.60,                   1.51,                   8.49,                   0.97,                   1.57
2007-01-29,250000,                  13.38,                   1.49,                   8.36,                   0.95,                   1.60
2007-01-30,252000,                  13.49,                   1.50,                   8.43,                   0.96,                   1.59
2007-01-31,256000,                  13.70,                   1.53,                   8.56,                   0.97,                   1.56
2007-02-01,260000,                  13.92,                   1.55,                   8.69,                   0.99,                   1.54
2007-02-02,260500,                  13.94,                   1.55,                   8.71,                   0.99,                   1.54
2007-02-05,260500,                  13.94,                   1.55,                   8.71,                   0.99,                   1.54
2007-02-06,256000,                  13.70,                   1.53,                   8.56,                   0.97,                   1.56
2007-02-07,259500,                  13.89,                   1.55,                   8.68,                   0.99,                   1.54
2007-02-08,259000,                  13.86,                   1.54,                   8.66,                   0.98,                   1.54
2007-02-09,262000,                  14.02,                   1.56,                   8.76,                   1.00,                   1.53
2007-02-12,269000,                  14.40,                   1.60,                   9.00,                   1.02,                   1.49
2007-02-13,272000,                  14.56,                   1.62,                   9.10,                   1.03,                   1.47
2007-02-14,273500,                  14.64,                   1.63,                   9.15,                   1.04,                   1.46
2007-02-15,273000,                  14.61,                   1.63,                   9.13,                   1.04,                   1.47
2007-02-16,264500,                  14.16,                   1.58,                   8.84,                   1.01,                   1.51
2007-02-20,264500,                  14.16,                   1.58,                   8.84,                   1.01,                   1.51
2007-02-21,257500,                  13.78,                   1.53,                   8.61,                   0.98,                   1.55
2007-02-22,256500,                  13.73,                   1.53,                   8.58,                   0.98,                   1.56
2007-02-23,257000,                  13.76,                   1.53,                   8.59,                   0.98,                   1.56
2007-02-26,253500,                  13.57,                   1.51,                   8.48,                   0.96,                   1.58
2007-02-27,262000,                  14.02,                   1.56,                   8.76,                   1.00,                   1.53
2007-02-28,259000,                  13.86,                   1.54,                   8.66,                   0.98,                   1.54
2007-03-02,253500,                  13.57,                   1.51,                   8.48,                   0.96,                   1.58
2007-03-05,251000,                  13.44,                   1.50,                   8.39,                   0.95,                   1.59
2007-03-06,247000,                  13.22,                   1.47,                   8.26,                   0.94,                   1.62
2007-03-07,247500,                  13.25,                   1.47,                   8.28,                   0.94,                   1.62
2007-03-08,252000,                  13.49,                   1.50,                   8.43,                   0.96,                   1.59
2007-03-09,257500,                  13.78,                   1.53,                   8.61,                   0.98,                   1.55
2007-03-12,257500,                  13.78,                   1.53,                   8.61,                   0.98,                   1.55
2007-03-13,252500,                  13.52,                   1.50,                   8.44,                   0.96,                   1.58
2007-03-14,245000,                  13.11,                   1.46,                   8.19,                   0.93,                   1.63
2007-03-15,250000,                  13.38,                   1.49,                   8.36,                   0.95,                   1.60
2007-03-16,247000,                  13.22,                   1.47,                   8.26,                   0.94,                   1.62
2007-03-19,247000,                  13.22,                   1.47,                   8.26,                   0.94,                   1.62
2007-03-20,246000,                  13.17,                   1.47,                   8.23,                   0.94,                   1.63
2007-03-21,243000,                  13.01,                   1.45,                   8.13,                   0.92,                   1.65
2007-03-22,250000,                  13.38,                   1.49,                   8.36,                   0.95,                   1.60
2007-03-23,246000,                  13.17,                   1.47,                   8.23,                   0.94,                   1.63
2007-03-26,249500,                  13.36,                   1.49,                   8.34,                   0.95,                   1.60
2007-03-27,245000,                  13.11,                   1.46,                   8.19,                   0.93,                   1.63
