,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2014-12-08,7580,                  10.84,                   1.31,                   7.30,                   2.08,
2014-12-09,7520,                  10.75,                   1.30,                   7.24,                   2.07,
2014-12-10,7700,                  11.01,                   1.33,                   7.42,                   2.12,
2014-12-11,7450,                  10.65,                   1.29,                   7.18,                   2.05,
2014-12-12,7350,                  10.51,                   1.27,                   7.08,                   2.02,
2014-12-15,7310,                  10.45,                   1.27,                   7.04,                   2.01,
2014-12-16,7190,                  10.28,                   1.25,                   6.93,                   1.98,
2014-12-17,6920,                   9.90,                   1.20,                   6.67,                   1.90,
2014-12-18,7080,                  10.12,                   1.23,                   6.82,                   1.95,
2014-12-19,7360,                  10.53,                   1.27,                   7.09,                   2.02,
2014-12-22,7410,                  10.60,                   1.28,                   7.14,                   2.04,
2014-12-23,7140,                  10.21,                   1.24,                   6.88,                   1.96,
2014-12-24,7380,                  10.55,                   1.28,                   7.11,                   2.03,
2014-12-26,7500,                  10.73,                   1.30,                   7.23,                   2.06,
2014-12-29,7450,                  10.65,                   1.29,                   7.18,                   2.05,
2014-12-30,7660,                  10.95,                   1.33,                   7.38,                   2.10,
2015-01-02,8000,                  12.12,                   1.21,                   7.92,                   1.91,
2015-01-05,7880,                  11.94,                   1.19,                   7.80,                   1.88,
2015-01-06,7880,                  11.94,                   1.19,                   7.80,                   1.88,
2015-01-07,7950,                  12.05,                   1.21,                   7.87,                   1.90,
2015-01-08,7920,                  12.00,                   1.20,                   7.84,                   1.89,
2015-01-09,8010,                  12.14,                   1.21,                   7.93,                   1.92,
2015-01-12,8050,                  12.20,                   1.22,                   7.97,                   1.92,
2015-01-13,8220,                  12.46,                   1.25,                   8.13,                   1.97,
2015-01-14,8850,                  13.41,                   1.34,                   8.76,                   2.12,
2015-01-15,9040,                  13.70,                   1.37,                   8.95,                   2.16,
2015-01-16,8990,                  13.62,                   1.36,                   8.90,                   2.15,
2015-01-19,9120,                  13.82,                   1.38,                   9.02,                   2.18,
2015-01-20,9870,                  14.96,                   1.50,                   9.77,                   2.36,
2015-01-21,9980,                  15.12,                   1.51,                   9.88,                   2.39,
2015-01-22,10100,                  15.31,                   1.53,                   9.99,                   2.41,
2015-01-23,10350,                  15.69,                   1.57,                  10.24,                   2.47,
2015-01-26,9480,                  14.37,                   1.44,                   9.38,                   2.27,
2015-01-27,9920,                  15.03,                   1.50,                   9.82,                   2.37,
2015-01-28,9980,                  15.12,                   1.51,                   9.88,                   2.39,
2015-01-29,10700,                  16.22,                   1.62,                  10.59,                   2.56,
2015-01-30,10300,                  15.61,                   1.56,                  10.19,                   2.46,
2015-02-02,10100,                  15.31,                   1.53,                   9.99,                   2.41,
2015-02-03,10250,                  15.53,                   1.55,                  10.14,                   2.45,
2015-02-04,10100,                  15.31,                   1.53,                   9.99,                   2.41,
2015-02-05,10000,                  15.16,                   1.52,                   9.90,                   2.39,
2015-02-06,9910,                  15.02,                   1.50,                   9.81,                   2.37,
2015-02-09,9760,                  14.79,                   1.48,                   9.66,                   2.33,
2015-02-10,9410,                  14.26,                   1.43,                   9.31,                   2.25,
2015-02-11,10200,                  15.46,                   1.55,                  10.09,                   2.44,
2015-02-12,10400,                  15.76,                   1.58,                  10.29,                   2.49,
2015-02-13,10400,                  15.76,                   1.58,                  10.29,                   2.49,
2015-02-16,10350,                  15.69,                   1.57,                  10.24,                   2.47,
2015-02-17,10300,                  15.61,                   1.56,                  10.19,                   2.46,
2015-02-23,10600,                  16.06,                   1.61,                  10.49,                   2.53,
2015-02-24,10950,                  16.59,                   1.66,                  10.84,                   2.62,
2015-02-25,11000,                  16.67,                   1.67,                  10.88,                   2.63,
2015-02-26,11050,                  16.75,                   1.68,                  10.93,                   2.64,
2015-02-27,11000,                  16.67,                   1.67,                  10.88,                   2.63,
2015-03-02,10950,                  16.59,                   1.66,                  10.84,                   2.62,
2015-03-03,10700,                  16.22,                   1.62,                  10.59,                   2.56,
2015-03-04,10700,                  16.22,                   1.62,                  10.59,                   2.56,
2015-03-05,10400,                  15.76,                   1.58,                  10.29,                   2.49,
2015-03-06,10200,                  15.46,                   1.55,                  10.09,                   2.44,
2015-03-09,10650,                  16.14,                   1.61,                  10.54,                   2.55,
