,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,47200,                  10.96,                   0.93,                   4.13,                   0.32,                   1.87
2007-01-03,45900,                  10.66,                   0.90,                   4.01,                   0.31,                   1.92
2007-01-04,44150,                  10.25,                   0.87,                   3.86,                   0.30,                   2.00
2007-01-05,44400,                  10.31,                   0.87,                   3.88,                   0.30,                   1.98
2007-01-08,44250,                  10.28,                   0.87,                   3.87,                   0.30,                   1.99
2007-01-09,44500,                  10.33,                   0.88,                   3.89,                   0.30,                   1.98
2007-01-10,44500,                  10.33,                   0.88,                   3.89,                   0.30,                   1.98
2007-01-11,44900,                  10.43,                   0.88,                   3.93,                   0.30,                   1.96
2007-01-12,44900,                  10.43,                   0.88,                   3.93,                   0.30,                   1.96
2007-01-15,44250,                  10.28,                   0.87,                   3.87,                   0.30,                   1.99
2007-01-16,43400,                  10.08,                   0.86,                   3.79,                   0.29,                   2.03
2007-01-17,42400,                   9.85,                   0.84,                   3.71,                   0.29,                   2.08
2007-01-18,41100,                   9.54,                   0.81,                   3.59,                   0.28,                   2.14
2007-01-19,39600,                   9.20,                   0.78,                   3.46,                   0.27,                   2.22
2007-01-22,39300,                   9.13,                   0.77,                   3.44,                   0.27,                   2.24
2007-01-23,39700,                   9.22,                   0.78,                   3.47,                   0.27,                   2.22
2007-01-24,40800,                   9.47,                   0.80,                   3.57,                   0.28,                   2.16
2007-01-25,40800,                   9.47,                   0.80,                   3.57,                   0.28,                   2.16
2007-01-26,42300,                   9.82,                   0.83,                   3.70,                   0.29,                   2.08
2007-01-29,42300,                   9.82,                   0.83,                   3.70,                   0.29,                   2.08
2007-01-30,43600,                  10.12,                   0.86,                   3.81,                   0.30,                   2.02
2007-01-31,42500,                   9.87,                   0.84,                   3.72,                   0.29,                   2.07
2007-02-01,43300,                  10.06,                   0.85,                   3.79,                   0.29,                   2.03
2007-02-02,44200,                  10.26,                   0.87,                   3.86,                   0.30,                   1.99
2007-02-05,44150,                  10.25,                   0.87,                   3.86,                   0.30,                   2.00
2007-02-06,44800,                  10.40,                   0.88,                   3.92,                   0.30,                   1.97
2007-02-07,44950,                  10.44,                   0.89,                   3.93,                   0.31,                   1.96
2007-02-08,44100,                  10.24,                   0.87,                   3.86,                   0.30,                   2.00
2007-02-09,43850,                  10.18,                   0.86,                   3.83,                   0.30,                   2.01
2007-02-12,44400,                  10.31,                   0.87,                   3.88,                   0.30,                   1.98
2007-02-13,43750,                  10.16,                   0.86,                   3.82,                   0.30,                   2.01
2007-02-14,46200,                  10.73,                   0.91,                   4.04,                   0.31,                   1.91
2007-02-15,48050,                  11.16,                   0.95,                   4.20,                   0.33,                   1.83
2007-02-16,47600,                  11.05,                   0.94,                   4.16,                   0.32,                   1.85
2007-02-20,47200,                  10.96,                   0.93,                   4.13,                   0.32,                   1.87
