,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,26600,                   6.06,                   0.39,                   1.33,                   0.09,                   3.18
2007-01-03,25200,                   5.74,                   0.37,                   1.26,                   0.09,                   3.35
2007-01-04,24850,                   5.66,                   0.37,                   1.24,                   0.09,                   3.40
2007-01-05,24200,                   5.51,                   0.36,                   1.21,                   0.09,                   3.49
2007-01-08,24200,                   5.51,                   0.36,                   1.21,                   0.09,                   3.49
2007-01-09,24300,                   5.54,                   0.36,                   1.21,                   0.09,                   3.48
2007-01-10,24400,                   5.56,                   0.36,                   1.22,                   0.09,                   3.46
2007-01-11,25450,                   5.80,                   0.38,                   1.27,                   0.09,                   3.32
2007-01-12,26700,                   6.08,                   0.39,                   1.33,                   0.09,                   3.16
2007-01-15,27450,                   6.25,                   0.41,                   1.37,                   0.10,                   3.08
2007-01-16,27200,                   6.20,                   0.40,                   1.36,                   0.10,                   3.11
2007-01-17,27100,                   6.17,                   0.40,                   1.35,                   0.10,                   3.12
2007-01-18,27000,                   6.15,                   0.40,                   1.35,                   0.10,                   3.13
2007-01-19,26450,                   6.03,                   0.39,                   1.32,                   0.09,                   3.19
2007-01-22,27250,                   6.21,                   0.40,                   1.36,                   0.10,                   3.10
2007-01-23,27000,                   6.15,                   0.40,                   1.35,                   0.10,                   3.13
2007-01-24,27550,                   6.28,                   0.41,                   1.38,                   0.10,                   3.07
2007-01-25,27300,                   6.22,                   0.40,                   1.36,                   0.10,                   3.09
2007-01-26,27000,                   6.15,                   0.40,                   1.35,                   0.10,                   3.13
2007-01-29,27000,                   6.15,                   0.40,                   1.35,                   0.10,                   3.13
2007-01-30,26650,                   6.07,                   0.39,                   1.33,                   0.09,                   3.17
2007-01-31,26500,                   6.04,                   0.39,                   1.32,                   0.09,                   3.19
2007-02-01,26900,                   6.13,                   0.40,                   1.34,                   0.09,                   3.14
2007-02-02,27500,                   6.26,                   0.41,                   1.37,                   0.10,                   3.07
2007-02-05,27300,                   6.22,                   0.40,                   1.36,                   0.10,                   3.09
2007-02-06,27450,                   6.25,                   0.41,                   1.37,                   0.10,                   3.08
2007-02-07,28850,                   6.57,                   0.43,                   1.44,                   0.10,                   2.93
2007-02-08,29000,                   6.61,                   0.43,                   1.45,                   0.10,                   2.91
2007-02-09,28500,                   6.49,                   0.42,                   1.42,                   0.10,                   2.96
2007-02-12,28500,                   6.49,                   0.42,                   1.42,                   0.10,                   2.96
2007-02-13,29000,                   6.61,                   0.43,                   1.45,                   0.10,                   2.91
2007-02-14,29400,                   6.70,                   0.43,                   1.47,                   0.10,                   2.87
2007-02-15,29500,                   6.72,                   0.44,                   1.47,                   0.10,                   2.86
2007-02-16,29000,                   6.61,                   0.43,                   1.45,                   0.10,                   2.91
2007-02-20,29000,                   6.61,                   0.43,                   1.45,                   0.10,                   2.91
2007-02-21,29000,                   6.61,                   0.43,                   1.45,                   0.10,                   2.91
2007-02-22,29100,                   6.63,                   0.43,                   1.45,                   0.10,                   2.90
2007-02-23,28600,                   6.52,                   0.42,                   1.43,                   0.10,                   2.95
2007-02-26,28600,                   6.52,                   0.42,                   1.43,                   0.10,                   2.95
2007-02-27,28500,                   6.49,                   0.42,                   1.42,                   0.10,                   2.96
2007-02-28,27900,                   6.36,                   0.41,                   1.39,                   0.10,                   3.03
2007-03-02,27300,                   6.22,                   0.40,                   1.36,                   0.10,                   3.09
2007-03-05,26700,                   6.08,                   0.39,                   1.33,                   0.09,                   3.16
2007-03-06,27500,                   6.26,                   0.41,                   1.37,                   0.10,                   3.07
2007-03-07,27000,                   6.15,                   0.40,                   1.35,                   0.10,                   3.13
