,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,29250,,                   1.52,                   5.60,                   0.99,
2007-01-03,29000,,                   1.51,                   5.55,                   0.98,
2007-01-04,29550,,                   1.53,                   5.66,                   1.00,
2007-01-05,28500,,                   1.48,                   5.45,                   0.96,
2007-01-08,28400,,                   1.47,                   5.44,                   0.96,
2007-01-09,28400,,                   1.47,                   5.44,                   0.96,
2007-01-10,28250,,                   1.47,                   5.41,                   0.95,
2007-01-11,28250,,                   1.47,                   5.41,                   0.95,
2007-01-12,28850,,                   1.50,                   5.52,                   0.97,
2007-01-15,28900,,                   1.50,                   5.53,                   0.97,
2007-01-16,29200,,                   1.52,                   5.59,                   0.98,
2007-01-17,28000,,                   1.45,                   5.36,                   0.94,
2007-01-18,27500,,                   1.43,                   5.26,                   0.93,
2007-01-19,27100,,                   1.41,                   5.19,                   0.91,
2007-01-22,27350,,                   1.42,                   5.23,                   0.92,
2007-01-23,27500,,                   1.43,                   5.26,                   0.93,
2007-01-24,28150,,                   1.46,                   5.39,                   0.95,
2007-01-25,28850,,                   1.50,                   5.52,                   0.97,
2007-01-26,27800,,                   1.44,                   5.32,                   0.94,
2007-01-29,27900,,                   1.45,                   5.34,                   0.94,
2007-01-30,27250,,                   1.42,                   5.22,                   0.92,
2007-01-31,26250,,                   1.36,                   5.02,                   0.88,
2007-02-01,26650,,                   1.38,                   5.10,                   0.90,
2007-02-02,27350,,                   1.42,                   5.23,                   0.92,
2007-02-05,27900,,                   1.45,                   5.34,                   0.94,
2007-02-06,29700,,                   1.54,                   5.68,                   1.00,
2007-02-07,29950,,                   1.56,                   5.73,                   1.01,
2007-02-08,30000,,                   1.56,                   5.74,                   1.01,
2007-02-09,30650,,                   1.59,                   5.87,                   1.03,
2007-02-12,31250,,                   1.62,                   5.98,                   1.05,
2007-02-13,31250,,                   1.62,                   5.98,                   1.05,
2007-02-14,30300,,                   1.57,                   5.80,                   1.02,
2007-02-15,30400,,                   1.58,                   5.82,                   1.02,
2007-02-16,30400,,                   1.58,                   5.82,                   1.02,
2007-02-20,30950,,                   1.61,                   5.92,                   1.04,
2007-02-21,31500,,                   1.64,                   6.03,                   1.06,
2007-02-22,31800,,                   1.65,                   6.09,                   1.07,
2007-02-23,32800,,                   1.70,                   6.28,                   1.10,
2007-02-26,32300,,                   1.68,                   6.18,                   1.09,
2007-02-27,32150,,                   1.67,                   6.15,                   1.08,
2007-02-28,30950,,                   1.61,                   5.92,                   1.04,
2007-03-02,30600,,                   1.59,                   5.86,                   1.03,
2007-03-05,30300,,                   1.57,                   5.80,                   1.02,
2007-03-06,30750,,                   1.60,                   5.89,                   1.04,
2007-03-07,30800,,                   1.60,                   5.89,                   1.04,
2007-03-08,31350,,                   1.63,                   6.00,                   1.06,
2007-03-09,31650,,                   1.64,                   6.06,                   1.07,
2007-03-12,31250,,                   1.62,                   5.98,                   1.05,
2007-03-13,31050,,                   1.61,                   5.94,                   1.05,
2007-03-14,30350,,                   1.58,                   5.81,                   1.02,
2007-03-15,31250,,                   1.62,                   5.98,                   1.05,
2007-03-16,32000,,                   1.66,                   6.12,                   1.08,
2007-03-19,33950,,                   1.76,                   6.50,                   1.14,
2007-03-20,35150,,                   1.83,                   6.73,                   1.18,
2007-03-21,34200,,                   1.78,                   6.55,                   1.15,
2007-03-22,33700,,                   1.75,                   6.45,                   1.13,
2007-03-23,33600,,                   1.75,                   6.43,                   1.13,
2007-03-26,32900,,                   1.71,                   6.30,                   1.11,
2007-03-27,32700,,                   1.70,                   6.26,                   1.10,
2007-03-28,32600,,                   1.69,                   6.24,                   1.10,
2007-03-29,32600,,                   1.69,                   6.24,                   1.10,
2007-03-30,32900,,                   1.71,                   6.30,                   1.11,
2007-04-02,33150,,                   1.72,                   6.34,                   1.12,
2007-04-03,33000,,                   1.71,                   6.32,                   1.11,
2007-04-04,33600,,                   1.75,                   6.43,                   1.13,
2007-04-05,34450,,                   1.79,                   6.59,                   1.16,
2007-04-06,34300,,                   1.78,                   6.56,                   1.16,
2007-04-09,33050,,                   1.72,                   6.33,                   1.11,
2007-04-10,32400,,                   1.68,                   6.20,                   1.09,
2007-04-11,35050,,                   1.82,                   6.71,                   1.18,
2007-04-12,35650,,                   1.85,                   6.82,                   1.20,
2007-04-13,35700,,                   1.85,                   6.83,                   1.20,
2007-04-16,35900,,                   1.86,                   6.87,                   1.21,
2007-04-17,35400,,                   1.84,                   6.78,                   1.19,
2007-04-18,34900,,                   1.81,                   6.68,                   1.18,
2007-04-19,35100,,                   1.82,                   6.72,                   1.18,
2007-04-20,34750,,                   1.80,                   6.65,                   1.17,
2007-04-23,35650,,                   1.85,                   6.82,                   1.20,
2007-04-24,37000,,                   1.92,                   7.08,                   1.25,
2007-04-25,37100,,                   1.93,                   7.10,                   1.25,
2007-04-26,37900,,                   1.97,                   7.25,                   1.28,
2007-04-27,38700,,                   2.01,                   7.41,                   1.30,
2007-04-30,38200,,                   1.98,                   7.31,                   1.29,
2007-05-02,38800,,                   2.02,                   7.43,                   1.31,
2007-05-03,38750,,                   2.01,                   7.42,                   1.31,
2007-05-04,38800,,                   2.02,                   7.43,                   1.31,
2007-05-07,39900,,                   2.07,                   7.64,                   1.34,
2007-05-08,41000,,                   2.13,                   7.85,                   1.38,
2007-05-09,41100,,                   2.13,                   7.87,                   1.38,
2007-05-10,40400,,                   2.10,                   7.73,                   1.36,
