,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,1586000,                  29.91,                   1.45,                  16.11,                   1.95,                   0.14
2007-01-03,1490000,                  28.10,                   1.36,                  15.13,                   1.83,                   0.15
2007-01-04,1396000,                  26.33,                   1.27,                  14.18,                   1.72,                   0.16
2007-01-05,1292000,                  24.36,                   1.18,                  13.12,                   1.59,                   0.17
2007-01-08,1281000,                  24.16,                   1.17,                  13.01,                   1.58,                   0.18
2007-01-09,1230000,                  23.20,                   1.12,                  12.49,                   1.51,                   0.18
2007-01-10,1199000,                  22.61,                   1.09,                  12.18,                   1.48,                   0.19
2007-01-11,1231000,                  23.21,                   1.12,                  12.50,                   1.52,                   0.18
2007-01-12,1284000,                  24.21,                   1.17,                  13.04,                   1.58,                   0.18
2007-01-15,1260000,                  23.76,                   1.15,                  12.80,                   1.55,                   0.18
2007-01-16,1255000,                  23.67,                   1.14,                  12.75,                   1.54,                   0.18
2007-01-17,1265000,                  23.86,                   1.15,                  12.85,                   1.56,                   0.18
2007-01-18,1354000,                  25.53,                   1.23,                  13.75,                   1.67,                   0.17
2007-01-19,1300000,                  24.52,                   1.18,                  13.20,                   1.60,                   0.17
2007-01-22,1354000,                  25.53,                   1.23,                  13.75,                   1.67,                   0.17
2007-01-23,1383000,                  26.08,                   1.26,                  14.05,                   1.70,                   0.16
2007-01-24,1434000,                  27.04,                   1.31,                  14.57,                   1.77,                   0.16
2007-01-25,1400000,                  26.40,                   1.28,                  14.22,                   1.72,                   0.16
2007-01-26,1338000,                  25.23,                   1.22,                  13.59,                   1.65,                   0.17
2007-01-29,1349000,                  25.44,                   1.23,                  13.70,                   1.66,                   0.17
2007-01-30,1383000,                  26.08,                   1.26,                  14.05,                   1.70,                   0.16
2007-01-31,1368000,                  25.80,                   1.25,                  13.90,                   1.68,                   0.16
2007-02-01,1473000,                  27.78,                   1.34,                  14.96,                   1.81,                   0.15
2007-02-02,1494000,                  28.17,                   1.36,                  15.18,                   1.84,                   0.15
2007-02-05,1499000,                  28.27,                   1.37,                  15.23,                   1.85,                   0.15
2007-02-06,1500000,                  28.29,                   1.37,                  15.24,                   1.85,                   0.15
2007-02-07,1497000,                  28.23,                   1.36,                  15.21,                   1.84,                   0.15
2007-02-08,1442000,                  27.19,                   1.31,                  14.65,                   1.77,                   0.16
2007-02-09,1425000,                  26.87,                   1.30,                  14.47,                   1.75,                   0.16
2007-02-12,1392000,                  26.25,                   1.27,                  14.14,                   1.71,                   0.16
2007-02-13,1349000,                  25.44,                   1.23,                  13.70,                   1.66,                   0.17
2007-02-14,1338000,                  25.23,                   1.22,                  13.59,                   1.65,                   0.17
2007-02-15,1333000,                  25.14,                   1.21,                  13.54,                   1.64,                   0.17
2007-02-16,1300000,                  24.52,                   1.18,                  13.20,                   1.60,                   0.17
2007-02-20,1300000,                  24.52,                   1.18,                  13.20,                   1.60,                   0.17
2007-02-21,1299000,                  24.50,                   1.18,                  13.19,                   1.60,                   0.17
2007-02-22,1330000,                  25.08,                   1.21,                  13.51,                   1.64,                   0.17
2007-02-23,1330000,                  25.08,                   1.21,                  13.51,                   1.64,                   0.17
2007-02-26,1316000,                  24.82,                   1.20,                  13.37,                   1.62,                   0.17
2007-02-27,1320000,                  24.89,                   1.20,                  13.41,                   1.62,                   0.17
2007-02-28,1284000,                  24.21,                   1.17,                  13.04,                   1.58,                   0.18
2007-03-02,1275000,                  24.04,                   1.16,                  12.95,                   1.57,                   0.18
2007-03-05,1191000,                  22.46,                   1.09,                  12.10,                   1.47,                   0.19
2007-03-06,1228000,                  23.16,                   1.12,                  12.47,                   1.51,                   0.18
2007-03-07,1208000,                  22.78,                   1.10,                  12.27,                   1.49,                   0.19
2007-03-08,1230000,                  23.20,                   1.12,                  12.49,                   1.51,                   0.18
2007-03-09,1204000,                  22.71,                   1.10,                  12.23,                   1.48,                   0.19
2007-03-12,1205000,                  22.72,                   1.10,                  12.24,                   1.48,                   0.19
2007-03-13,1198000,                  22.59,                   1.09,                  12.17,                   1.47,                   0.19
2007-03-14,1169000,                  22.05,                   1.07,                  11.87,                   1.44,                   0.19
2007-03-15,1188000,                  22.40,                   1.08,                  12.07,                   1.46,                   0.19
2007-03-16,1182000,                  22.29,                   1.08,                  12.01,                   1.45,                   0.19
2007-03-19,1180000,                  22.25,                   1.08,                  11.99,                   1.45,                   0.19
2007-03-20,1185000,                  22.35,                   1.08,                  12.04,                   1.46,                   0.19
2007-03-21,1181000,                  22.27,                   1.08,                  12.00,                   1.45,                   0.19
2007-03-22,1177000,                  22.20,                   1.07,                  11.96,                   1.45,                   0.19
2007-03-23,1201000,                  22.65,                   1.09,                  12.20,                   1.48,                   0.19
2007-03-26,1220000,                  23.01,                   1.11,                  12.39,                   1.50,                   0.18
2007-03-27,1241000,                  23.40,                   1.13,                  12.61,                   1.53,                   0.18
2007-03-28,1192000,                  22.48,                   1.09,                  12.11,                   1.47,                   0.19
2007-03-29,1208000,                  22.78,                   1.10,                  12.27,                   1.49,                   0.19
2007-03-30,1201000,                  22.65,                   1.09,                  12.20,                   1.48,                   0.19
2007-04-02,1224000,                  23.08,                   1.12,                  12.43,                   1.51,                   0.18
2007-04-03,1200000,                  22.63,                   1.09,                  12.19,                   1.48,                   0.19
2007-04-04,1195000,                  22.54,                   1.09,                  12.14,                   1.47,                   0.19
2007-04-05,1201000,                  22.65,                   1.09,                  12.20,                   1.48,                   0.19
2007-04-06,1196000,                  22.55,                   1.09,                  12.15,                   1.47,                   0.19
2007-04-09,1212000,                  22.86,                   1.10,                  12.31,                   1.49,                   0.19
2007-04-10,1204000,                  22.71,                   1.10,                  12.23,                   1.48,                   0.19
2007-04-11,1217000,                  22.95,                   1.11,                  12.36,                   1.50,                   0.18
2007-04-12,1260000,                  23.76,                   1.15,                  12.80,                   1.55,                   0.18
2007-04-13,1231000,                  23.21,                   1.12,                  12.50,                   1.52,                   0.18
