,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,69500,                  36.70,                   0.67,                   4.68,                   0.49,                   0.86
2007-01-03,68500,                  36.17,                   0.66,                   4.61,                   0.49,                   0.88
2007-01-04,68500,                  36.17,                   0.66,                   4.61,                   0.49,                   0.88
2007-01-05,65600,                  34.64,                   0.63,                   4.41,                   0.47,                   0.91
2007-01-08,65700,                  34.69,                   0.63,                   4.42,                   0.47,                   0.91
2007-01-09,64900,                  34.27,                   0.62,                   4.37,                   0.46,                   0.92
2007-01-10,63600,                  33.58,                   0.61,                   4.28,                   0.45,                   0.94
2007-01-11,63000,                  33.27,                   0.60,                   4.24,                   0.45,                   0.95
2007-01-12,62800,                  33.16,                   0.60,                   4.23,                   0.45,                   0.96
2007-01-15,63100,                  33.32,                   0.60,                   4.25,                   0.45,                   0.95
2007-01-16,63300,                  33.42,                   0.61,                   4.26,                   0.45,                   0.95
2007-01-17,61500,                  32.47,                   0.59,                   4.14,                   0.44,                   0.98
2007-01-18,61700,                  32.58,                   0.59,                   4.15,                   0.44,                   0.97
2007-01-19,61100,                  32.26,                   0.58,                   4.11,                   0.43,                   0.98
2007-01-22,61400,                  32.42,                   0.59,                   4.13,                   0.44,                   0.98
2007-01-23,61300,                  32.37,                   0.59,                   4.12,                   0.43,                   0.98
2007-01-24,62000,                  32.74,                   0.59,                   4.17,                   0.44,                   0.97
2007-01-25,62200,                  32.84,                   0.60,                   4.18,                   0.44,                   0.96
2007-01-26,61400,                  32.42,                   0.59,                   4.13,                   0.44,                   0.98
2007-01-29,61000,                  32.21,                   0.58,                   4.10,                   0.43,                   0.98
2007-01-30,60500,                  31.95,                   0.58,                   4.07,                   0.43,                   0.99
2007-01-31,59900,                  31.63,                   0.57,                   4.03,                   0.42,                   1.00
2007-02-01,60300,                  31.84,                   0.58,                   4.06,                   0.43,                   1.00
2007-02-02,60800,                  32.10,                   0.58,                   4.09,                   0.43,                   0.99
2007-02-05,62500,                  33.00,                   0.60,                   4.21,                   0.44,                   0.96
2007-02-06,63600,                  33.58,                   0.61,                   4.28,                   0.45,                   0.94
