,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,73000,                  11.40,                   0.63,                   9.69,                   0.37,                   0.83
2007-01-03,70100,                  10.95,                   0.60,                   9.31,                   0.36,                   0.87
2007-01-04,68300,                  10.66,                   0.59,                   9.07,                   0.35,                   0.89
2007-01-05,69000,                  10.77,                   0.59,                   9.16,                   0.35,                   0.88
2007-01-08,67800,                  10.59,                   0.58,                   9.00,                   0.34,                   0.90
2007-01-09,67100,                  10.48,                   0.57,                   8.91,                   0.34,                   0.91
2007-01-10,67500,                  10.54,                   0.58,                   8.96,                   0.34,                   0.90
2007-01-11,67800,                  10.59,                   0.58,                   9.00,                   0.34,                   0.90
2007-01-12,67200,                  10.49,                   0.58,                   8.92,                   0.34,                   0.90
2007-01-15,66400,                  10.37,                   0.57,                   8.82,                   0.34,                   0.91
2007-01-16,64500,                  10.07,                   0.55,                   8.57,                   0.33,                   0.94
2007-01-17,63500,                   9.91,                   0.54,                   8.43,                   0.32,                   0.96
2007-01-18,65000,                  10.15,                   0.56,                   8.63,                   0.33,                   0.93
2007-01-19,64800,                  10.12,                   0.56,                   8.61,                   0.33,                   0.94
2007-01-22,62100,                   9.70,                   0.53,                   8.25,                   0.32,                   0.98
2007-01-23,60000,                   9.37,                   0.51,                   7.97,                   0.31,                   1.01
2007-01-24,62600,                   9.78,                   0.54,                   8.31,                   0.32,                   0.97
2007-01-25,63700,                   9.95,                   0.55,                   8.46,                   0.32,                   0.95
2007-01-26,64300,                  10.04,                   0.55,                   8.54,                   0.33,                   0.94
2007-01-29,64500,                  10.07,                   0.55,                   8.57,                   0.33,                   0.94
2007-01-30,65000,                  10.15,                   0.56,                   8.63,                   0.33,                   0.93
2007-01-31,65400,                  10.21,                   0.56,                   8.68,                   0.33,                   0.93
2007-02-01,65800,                  10.28,                   0.56,                   8.74,                   0.33,                   0.92
2007-02-02,65600,                  10.24,                   0.56,                   8.71,                   0.33,                   0.93
2007-02-05,64500,                  10.07,                   0.55,                   8.57,                   0.33,                   0.94
2007-02-06,65000,                  10.15,                   0.56,                   8.63,                   0.33,                   0.93
2007-02-07,64500,                  10.07,                   0.55,                   8.57,                   0.33,                   0.94
2007-02-08,63300,                   9.88,                   0.54,                   8.41,                   0.32,                   0.96
2007-02-09,63000,                   9.84,                   0.54,                   8.37,                   0.32,                   0.96
