,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,29700,                  37.75,                   1.36,                  11.30,                   0.39,                   2.10
2007-01-03,29650,                  37.69,                   1.36,                  11.28,                   0.39,                   2.11
2007-01-04,28800,                  36.61,                   1.32,                  10.95,                   0.38,                   2.17
2007-01-05,28400,                  36.10,                   1.30,                  10.80,                   0.37,                   2.20
2007-01-08,27400,                  34.83,                   1.25,                  10.42,                   0.36,                   2.28
2007-01-09,27550,                  35.02,                   1.26,                  10.48,                   0.36,                   2.27
2007-01-10,27800,                  35.33,                   1.27,                  10.57,                   0.36,                   2.25
2007-01-11,27100,                  34.44,                   1.24,                  10.31,                   0.35,                   2.31
2007-01-12,27100,                  34.44,                   1.24,                  10.31,                   0.35,                   2.31
2007-01-15,27100,                  34.44,                   1.24,                  10.31,                   0.35,                   2.31
2007-01-16,27050,                  34.38,                   1.24,                  10.29,                   0.35,                   2.31
2007-01-17,27100,                  34.44,                   1.24,                  10.31,                   0.35,                   2.31
2007-01-18,27150,                  34.51,                   1.24,                  10.33,                   0.35,                   2.30
2007-01-19,26950,                  34.25,                   1.23,                  10.25,                   0.35,                   2.32
2007-01-22,27200,                  34.57,                   1.24,                  10.34,                   0.36,                   2.30
2007-01-23,27350,                  34.76,                   1.25,                  10.40,                   0.36,                   2.29
2007-01-24,27500,                  34.95,                   1.26,                  10.46,                   0.36,                   2.27
2007-01-25,27550,                  35.02,                   1.26,                  10.48,                   0.36,                   2.27
2007-01-26,27750,                  35.27,                   1.27,                  10.55,                   0.36,                   2.25
2007-01-29,27600,                  35.08,                   1.26,                  10.50,                   0.36,                   2.26
2007-01-30,27450,                  34.89,                   1.26,                  10.44,                   0.36,                   2.28
2007-01-31,27300,                  34.70,                   1.25,                  10.38,                   0.36,                   2.29
2007-02-01,27750,                  35.27,                   1.27,                  10.55,                   0.36,                   2.25
2007-02-02,28400,                  36.10,                   1.30,                  10.80,                   0.37,                   2.20
2007-02-05,29650,                  37.69,                   1.36,                  11.28,                   0.39,                   2.11
2007-02-06,30900,                  39.27,                   1.41,                  11.75,                   0.40,                   2.02
2007-02-07,30950,                  39.34,                   1.42,                  11.77,                   0.40,                   2.02
2007-02-08,30800,                  39.15,                   1.41,                  11.71,                   0.40,                   2.03
2007-02-09,31200,                  39.66,                   1.43,                  11.87,                   0.41,                   2.00
2007-02-12,30300,                  38.51,                   1.39,                  11.52,                   0.40,                   2.06
2007-02-13,31300,                  39.78,                   1.43,                  11.90,                   0.41,                   2.00
2007-02-14,31350,                  39.85,                   1.43,                  11.92,                   0.41,                   1.99
2007-02-15,31000,                  39.40,                   1.42,                  11.79,                   0.41,                   2.02
2007-02-16,31250,                  39.72,                   1.43,                  11.88,                   0.41,                   2.00
2007-02-20,31850,                  40.48,                   1.46,                  12.11,                   0.42,                   1.96
2007-02-21,31750,                  40.35,                   1.45,                  12.07,                   0.41,                   1.97
2007-02-22,32900,                  41.82,                   1.51,                  12.51,                   0.43,                   1.90
2007-02-23,33100,                  42.07,                   1.51,                  12.59,                   0.43,                   1.89
2007-02-26,34000,                  43.21,                   1.56,                  12.93,                   0.44,                   1.84
2007-02-27,33100,                  42.07,                   1.51,                  12.59,                   0.43,                   1.89
2007-02-28,33200,                  42.20,                   1.52,                  12.63,                   0.43,                   1.88
2007-03-02,31900,                  40.55,                   1.46,                  12.13,                   0.42,                   1.96
2007-03-05,30200,                  38.38,                   1.38,                  11.49,                   0.39,                   2.07
2007-03-06,31000,                  39.40,                   1.42,                  11.79,                   0.41,                   2.02
2007-03-07,32950,                  41.88,                   1.51,                  12.53,                   0.43,                   1.90
