,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2020-12-07,16900,,,,,
2020-12-08,20300,                  20.73,                   9.08,                  12.53,                   0.90,
2020-12-09,18350,                  18.74,                   8.21,                  11.33,                   0.82,
2020-12-10,17700,                  18.08,                   7.92,                  10.92,                   0.79,
2020-12-11,18050,                  18.44,                   8.07,                  11.14,                   0.80,
2020-12-14,17350,                  17.72,                   7.76,                  10.71,                   0.77,
2020-12-15,22550,                  23.03,                  10.09,                  13.92,                   1.00,
2020-12-16,24300,                  24.82,                  10.87,                  15.00,                   1.08,
2020-12-17,30800,                  31.46,                  13.78,                  19.01,                   1.37,
2020-12-18,40000,                  40.85,                  17.89,                  24.69,                   1.78,
2020-12-21,51800,                  52.91,                  23.17,                  31.97,                   2.31,
2020-12-22,49700,                  50.76,                  22.23,                  30.67,                   2.21,
2020-12-23,45700,                  46.68,                  20.44,                  28.21,                   2.04,
2020-12-24,41100,                  41.98,                  18.39,                  25.37,                   1.83,
2020-12-28,40650,                  41.52,                  18.18,                  25.09,                   1.81,
2020-12-29,41000,                  41.88,                  18.34,                  25.30,                   1.83,
2020-12-30,45650,                  46.62,                  20.42,                  28.17,                   2.03,
2021-01-04,48400,                  49.43,                  21.65,                  29.87,                   2.16,
2021-01-05,48300,                  49.33,                  21.61,                  29.81,                   2.15,
2021-01-06,46300,                  47.29,                  20.71,                  28.58,                   2.06,
2021-01-07,44000,                  44.94,                  19.68,                  27.16,                   1.96,
2021-01-08,45750,                  46.73,                  20.47,                  28.24,                   2.04,
2021-01-11,43650,                  44.58,                  19.53,                  26.94,                   1.94,
2021-01-12,44850,                  45.81,                  20.06,                  27.68,                   2.00,
2021-01-13,45100,                  46.06,                  20.18,                  27.84,                   2.01,
2021-01-14,47300,                  48.31,                  21.16,                  29.19,                   2.11,
2021-01-15,44600,                  45.55,                  19.95,                  27.53,                   1.99,
2021-01-18,43100,                  44.02,                  19.28,                  26.60,                   1.92,
2021-01-19,43450,                  44.38,                  19.44,                  26.82,                   1.94,
2021-01-20,43150,                  44.07,                  19.30,                  26.63,                   1.92,
2021-01-21,45100,                  46.06,                  20.18,                  27.84,                   2.01,
2021-01-22,43700,                  44.63,                  19.55,                  26.97,                   1.95,
2021-01-25,43350,                  44.28,                  19.39,                  26.75,                   1.93,
2021-01-26,42200,                  43.10,                  18.88,                  26.05,                   1.88,
2021-01-27,39850,                  40.70,                  17.83,                  24.59,                   1.78,
2021-01-28,37100,                  37.89,                  16.60,                  22.90,                   1.65,
2021-01-29,35400,                  36.16,                  15.84,                  21.85,                   1.58,
2021-02-01,37050,                  37.84,                  16.57,                  22.87,                   1.65,
2021-02-02,37650,                  38.45,                  16.84,                  23.24,                   1.68,
2021-02-03,39300,                  40.14,                  17.58,                  24.26,                   1.75,
2021-02-04,38000,                  38.81,                  17.00,                  23.45,                   1.69,
2021-02-05,37550,                  38.35,                  16.80,                  23.18,                   1.67,
2021-02-08,36000,                  36.77,                  16.10,                  22.22,                   1.60,
2021-02-09,36350,                  37.13,                  16.26,                  22.43,                   1.62,
2021-02-10,36050,                  36.82,                  16.13,                  22.25,                   1.61,
2021-02-15,35850,                  36.62,                  16.04,                  22.13,                   1.60,
2021-02-16,35200,                  35.95,                  15.75,                  21.72,                   1.57,
2021-02-17,34450,                  35.19,                  15.41,                  21.26,                   1.54,
2021-02-18,40150,                  41.01,                  17.96,                  24.78,                   1.79,
2021-02-19,36750,                  37.53,                  16.44,                  22.68,                   1.64,
2021-02-22,35000,                  35.75,                  15.66,                  21.60,                   1.56,
2021-02-23,33000,                  33.70,                  14.76,                  20.37,                   1.47,
2021-02-24,31500,                  32.17,                  14.09,                  19.44,                   1.40,
