,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,37500,                   5.49,                   0.86,                   2.91,                   0.14,                   2.67
2007-01-03,36550,                   5.35,                   0.84,                   2.83,                   0.14,                   2.74
2007-01-04,35050,                   5.13,                   0.81,                   2.72,                   0.13,                   2.85
2007-01-05,34800,                   5.10,                   0.80,                   2.70,                   0.13,                   2.87
2007-01-08,34400,                   5.04,                   0.79,                   2.67,                   0.13,                   2.91
2007-01-09,34650,                   5.07,                   0.80,                   2.69,                   0.13,                   2.89
2007-01-10,34000,                   4.98,                   0.78,                   2.64,                   0.13,                   2.94
2007-01-11,34200,                   5.01,                   0.79,                   2.65,                   0.13,                   2.92
2007-01-12,35200,                   5.16,                   0.81,                   2.73,                   0.13,                   2.84
2007-01-15,35000,                   5.13,                   0.81,                   2.71,                   0.13,                   2.86
2007-01-16,34250,                   5.02,                   0.79,                   2.65,                   0.13,                   2.92
2007-01-17,33900,                   4.96,                   0.78,                   2.63,                   0.13,                   2.95
2007-01-18,34400,                   5.04,                   0.79,                   2.67,                   0.13,                   2.91
2007-01-19,34600,                   5.07,                   0.80,                   2.68,                   0.13,                   2.89
2007-01-22,33250,                   4.87,                   0.77,                   2.58,                   0.13,                   3.01
2007-01-23,32350,                   4.74,                   0.74,                   2.51,                   0.12,                   3.09
2007-01-24,32900,                   4.82,                   0.76,                   2.55,                   0.13,                   3.04
2007-01-25,33300,                   4.88,                   0.77,                   2.58,                   0.13,                   3.00
2007-01-26,32800,                   4.80,                   0.75,                   2.54,                   0.13,                   3.05
2007-01-29,33000,                   4.83,                   0.76,                   2.56,                   0.13,                   3.03
2007-01-30,33450,                   4.90,                   0.77,                   2.59,                   0.13,                   2.99
2007-01-31,33300,                   4.88,                   0.77,                   2.58,                   0.13,                   3.00
2007-02-01,34450,                   5.05,                   0.79,                   2.67,                   0.13,                   2.90
2007-02-02,34800,                   5.10,                   0.80,                   2.70,                   0.13,                   2.87
2007-02-05,34550,                   5.06,                   0.80,                   2.68,                   0.13,                   2.89
2007-02-06,33700,                   4.94,                   0.78,                   2.61,                   0.13,                   2.97
2007-02-07,33500,                   4.91,                   0.77,                   2.60,                   0.13,                   2.99
2007-02-08,33200,                   4.86,                   0.76,                   2.57,                   0.13,                   3.01
2007-02-09,33350,                   4.88,                   0.77,                   2.58,                   0.13,                   3.00
2007-02-12,33100,                   4.85,                   0.76,                   2.57,                   0.13,                   3.02
2007-02-13,33600,                   4.92,                   0.77,                   2.60,                   0.13,                   2.98
2007-02-14,34000,                   4.98,                   0.78,                   2.64,                   0.13,                   2.94
2007-02-15,33850,                   4.96,                   0.78,                   2.62,                   0.13,                   2.95
2007-02-16,34800,                   5.10,                   0.80,                   2.70,                   0.13,                   2.87
2007-02-20,34350,                   5.03,                   0.79,                   2.66,                   0.13,                   2.91
2007-02-21,34800,                   5.10,                   0.80,                   2.70,                   0.13,                   2.87
2007-02-22,34800,                   5.10,                   0.80,                   2.70,                   0.13,                   2.87
2007-02-23,34850,                   5.10,                   0.80,                   2.70,                   0.13,                   2.87
2007-02-26,34750,                   5.09,                   0.80,                   2.69,                   0.13,                   2.88
2007-02-27,35200,                   5.16,                   0.81,                   2.73,                   0.13,                   2.84
2007-02-28,34200,                   5.01,                   0.79,                   2.65,                   0.13,                   2.92
2007-03-02,34650,                   5.07,                   0.80,                   2.69,                   0.13,                   2.89
2007-03-05,34100,                   4.99,                   0.78,                   2.64,                   0.13,                   2.93
2007-03-06,34200,                   5.01,                   0.79,                   2.65,                   0.13,                   2.92
2007-03-07,35000,                   5.13,                   0.81,                   2.71,                   0.13,                   2.86
2007-03-08,36500,                   5.35,                   0.84,                   2.83,                   0.14,                   2.74
2007-03-09,37000,                   5.42,                   0.85,                   2.87,                   0.14,                   2.70
2007-03-12,37000,                   5.42,                   0.85,                   2.87,                   0.14,                   2.70
2007-03-13,37000,                   5.42,                   0.85,                   2.87,                   0.14,                   2.70
2007-03-14,36850,                   5.40,                   0.85,                   2.86,                   0.14,                   2.71
2007-03-15,38200,                   5.59,                   0.88,                   2.96,                   0.15,                   2.62
2007-03-16,38400,                   5.62,                   0.88,                   2.98,                   0.15,                   2.60
2007-03-19,38450,                   5.63,                   0.88,                   2.98,                   0.15,                   2.60
2007-03-20,39000,                   5.71,                   0.90,                   3.02,                   0.15,                   2.56
2007-03-21,39000,                   5.71,                   0.90,                   3.02,                   0.15,                   2.56
2007-03-22,39900,                   5.84,                   0.92,                   3.09,                   0.15,                   2.51
2007-03-23,40100,                   5.87,                   0.92,                   3.11,                   0.15,                   2.49
2007-03-26,41600,                   6.09,                   0.96,                   3.22,                   0.16,                   2.40
2007-03-27,40950,                   6.00,                   0.94,                   3.17,                   0.16,                   2.44
2007-03-28,40200,                   5.89,                   0.93,                   3.12,                   0.15,                   2.49
2007-03-29,41050,                   6.01,                   0.94,                   3.18,                   0.16,                   2.44
2007-03-30,41150,                   6.03,                   0.95,                   3.19,                   0.16,                   2.43
2007-04-02,41000,                   6.00,                   0.94,                   3.18,                   0.16,                   2.44
