,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,17400,                  10.75,                   1.28,                   9.42,                   1.74,                   1.17
2007-01-03,17050,                  10.53,                   1.25,                   9.23,                   1.71,                   1.20
2007-01-04,16550,                  10.22,                   1.21,                   8.96,                   1.66,                   1.23
2007-01-05,16000,                   9.88,                   1.17,                   8.66,                   1.60,                   1.28
2007-01-08,16100,                   9.95,                   1.18,                   8.72,                   1.61,                   1.27
2007-01-09,15800,                   9.76,                   1.16,                   8.55,                   1.58,                   1.29
2007-01-10,15550,                   9.61,                   1.14,                   8.42,                   1.56,                   1.31
2007-01-11,15400,                   9.51,                   1.13,                   8.34,                   1.54,                   1.33
2007-01-12,15350,                   9.48,                   1.13,                   8.31,                   1.54,                   1.33
2007-01-15,14900,                   9.20,                   1.09,                   8.07,                   1.49,                   1.37
2007-01-16,14850,                   9.17,                   1.09,                   8.04,                   1.49,                   1.37
2007-01-17,14500,                   8.96,                   1.06,                   7.85,                   1.45,                   1.41
2007-01-18,14550,                   8.99,                   1.07,                   7.88,                   1.46,                   1.40
2007-01-19,13950,                   8.62,                   1.02,                   7.55,                   1.40,                   1.46
2007-01-22,14000,                   8.65,                   1.03,                   7.58,                   1.40,                   1.46
2007-01-23,14300,                   8.83,                   1.05,                   7.74,                   1.43,                   1.43
2007-01-24,15100,                   9.33,                   1.11,                   8.18,                   1.51,                   1.35
2007-01-25,15100,                   9.33,                   1.11,                   8.18,                   1.51,                   1.35
2007-01-26,15100,                   9.33,                   1.11,                   8.18,                   1.51,                   1.35
2007-01-29,14850,                   9.17,                   1.09,                   8.04,                   1.49,                   1.37
2007-01-30,15000,                   9.27,                   1.10,                   8.12,                   1.50,                   1.36
2007-01-31,15300,                   9.45,                   1.12,                   8.28,                   1.53,                   1.33
2007-02-01,15400,                   9.51,                   1.13,                   8.34,                   1.54,                   1.33
2007-02-02,15400,                   9.51,                   1.13,                   8.34,                   1.54,                   1.33
2007-02-05,15350,                   9.48,                   1.13,                   8.31,                   1.54,                   1.33
2007-02-06,15300,                   9.45,                   1.12,                   8.28,                   1.53,                   1.33
2007-02-07,14900,                   9.20,                   1.09,                   8.07,                   1.49,                   1.37
2007-02-08,14300,                   8.83,                   1.05,                   7.74,                   1.43,                   1.43
2007-02-09,14450,                   8.93,                   1.06,                   7.82,                   1.45,                   1.41
2007-02-12,14500,                   8.96,                   1.06,                   7.85,                   1.45,                   1.41
2007-02-13,14400,                   8.90,                   1.06,                   7.80,                   1.44,                   1.42
2007-02-14,14650,                   9.05,                   1.07,                   7.93,                   1.47,                   1.39
2007-02-15,14500,                   8.96,                   1.06,                   7.85,                   1.45,                   1.41
2007-02-16,14300,                   8.83,                   1.05,                   7.74,                   1.43,                   1.43
2007-02-20,14200,                   8.77,                   1.04,                   7.69,                   1.42,                   1.44
2007-02-21,14300,                   8.83,                   1.05,                   7.74,                   1.43,                   1.43
2007-02-22,14350,                   8.86,                   1.05,                   7.77,                   1.44,                   1.42
2007-02-23,14150,                   8.74,                   1.04,                   7.66,                   1.42,                   1.44
2007-02-26,14350,                   8.86,                   1.05,                   7.77,                   1.44,                   1.42
2007-02-27,14350,                   8.86,                   1.05,                   7.77,                   1.44,                   1.42
2007-02-28,14350,                   8.86,                   1.05,                   7.77,                   1.44,                   1.42
2007-03-02,14200,                   8.77,                   1.04,                   7.69,                   1.42,                   1.44
2007-03-05,13550,                   8.37,                   0.99,                   7.34,                   1.36,                   1.51
2007-03-06,13750,                   8.49,                   1.01,                   7.45,                   1.38,                   1.48
2007-03-07,13750,                   8.49,                   1.01,                   7.45,                   1.38,                   1.48
2007-03-08,13800,                   8.52,                   1.01,                   7.47,                   1.38,                   1.48
2007-03-09,13600,                   8.40,                   1.00,                   7.36,                   1.36,                   1.50
2007-03-12,13750,                   8.49,                   1.01,                   7.45,                   1.38,                   1.48
2007-03-13,13550,                   8.37,                   0.99,                   7.34,                   1.36,                   1.51
2007-03-14,13400,                   8.28,                   0.98,                   7.26,                   1.34,                   1.52
2007-03-15,14000,                   8.65,                   1.03,                   7.58,                   1.40,                   1.46
2007-03-16,14100,                   8.71,                   1.03,                   7.63,                   1.41,                   1.45
2007-03-19,14350,                   8.86,                   1.05,                   7.77,                   1.44,                   1.42
2007-03-20,14350,                   8.86,                   1.05,                   7.77,                   1.44,                   1.42
2007-03-21,14250,                   8.80,                   1.04,                   7.72,                   1.43,                   1.43
2007-03-22,14200,                   8.77,                   1.04,                   7.69,                   1.42,                   1.44
2007-03-23,13850,                   8.56,                   1.02,                   7.50,                   1.39,                   1.47
2007-03-26,14100,                   8.71,                   1.03,                   7.63,                   1.41,                   1.45
2007-03-27,14400,                   8.90,                   1.06,                   7.80,                   1.44,                   1.42
2007-03-28,14200,                   8.77,                   1.04,                   7.69,                   1.42,                   1.44
2007-03-29,14200,                   8.77,                   1.04,                   7.69,                   1.42,                   1.44
2007-03-30,14450,                   8.93,                   1.06,                   7.82,                   1.45,                   1.41
