,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,122000,                   5.18,                   0.97,                   4.32,                   0.51,                   4.09
2007-01-03,121000,                   5.14,                   0.96,                   4.29,                   0.51,                   4.12
2007-01-04,123000,                   5.22,                   0.98,                   4.36,                   0.52,                   4.05
2007-01-05,122000,                   5.18,                   0.97,                   4.32,                   0.51,                   4.09
2007-01-08,118500,                   5.03,                   0.94,                   4.20,                   0.50,                   4.21
2007-01-09,116000,                   4.92,                   0.92,                   4.11,                   0.49,                   4.30
2007-01-10,116500,                   4.94,                   0.93,                   4.13,                   0.49,                   4.28
2007-01-11,119000,                   5.05,                   0.95,                   4.21,                   0.50,                   4.19
2007-01-12,120000,                   5.09,                   0.95,                   4.25,                   0.51,                   4.16
2007-01-15,119000,                   5.05,                   0.95,                   4.21,                   0.50,                   4.19
2007-01-16,120500,                   5.11,                   0.96,                   4.27,                   0.51,                   4.14
2007-01-17,128000,                   5.43,                   1.02,                   4.53,                   0.54,                   3.90
2007-01-18,130000,                   5.52,                   1.03,                   4.60,                   0.55,                   3.84
2007-01-19,127000,                   5.39,                   1.01,                   4.50,                   0.53,                   3.93
2007-01-22,123000,                   5.22,                   0.98,                   4.36,                   0.52,                   4.05
2007-01-23,123000,                   5.22,                   0.98,                   4.36,                   0.52,                   4.05
2007-01-24,122500,                   5.20,                   0.97,                   4.34,                   0.52,                   4.07
2007-01-25,123000,                   5.22,                   0.98,                   4.36,                   0.52,                   4.05
2007-01-26,124500,                   5.28,                   0.99,                   4.41,                   0.52,                   4.01
2007-01-29,124000,                   5.26,                   0.99,                   4.39,                   0.52,                   4.02
2007-01-30,122000,                   5.18,                   0.97,                   4.32,                   0.51,                   4.09
2007-01-31,117500,                   4.99,                   0.93,                   4.16,                   0.49,                   4.24
2007-02-01,121500,                   5.16,                   0.97,                   4.30,                   0.51,                   4.10
2007-02-02,130000,                   5.52,                   1.03,                   4.60,                   0.55,                   3.84
2007-02-05,132000,                   5.60,                   1.05,                   4.67,                   0.56,                   3.78
2007-02-06,137500,                   5.84,                   1.09,                   4.87,                   0.58,                   3.63
2007-02-07,134000,                   5.69,                   1.06,                   4.75,                   0.56,                   3.72
2007-02-08,137000,                   5.81,                   1.09,                   4.85,                   0.58,                   3.64
