,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,9000,,                   0.21,                   1.90,                   0.05,
2007-01-03,8770,,                   0.21,                   1.85,                   0.05,
2007-01-04,8680,,                   0.20,                   1.83,                   0.05,
2007-01-05,8630,,                   0.20,                   1.82,                   0.05,
2007-01-08,8550,,                   0.20,                   1.81,                   0.05,
2007-01-09,8590,,                   0.20,                   1.81,                   0.05,
2007-01-10,8370,,                   0.20,                   1.77,                   0.05,
2007-01-11,8430,,                   0.20,                   1.78,                   0.05,
2007-01-12,8670,,                   0.20,                   1.83,                   0.05,
2007-01-15,8780,,                   0.21,                   1.85,                   0.05,
2007-01-16,8750,,                   0.21,                   1.85,                   0.05,
2007-01-17,8600,,                   0.20,                   1.82,                   0.05,
2007-01-18,8600,,                   0.20,                   1.82,                   0.05,
2007-01-19,8400,,                   0.20,                   1.77,                   0.05,
2007-01-22,8330,,                   0.20,                   1.76,                   0.05,
2007-01-23,8200,,                   0.19,                   1.73,                   0.05,
2007-01-24,8300,,                   0.19,                   1.75,                   0.05,
2007-01-25,8370,,                   0.20,                   1.77,                   0.05,
2007-01-26,8200,,                   0.19,                   1.73,                   0.05,
2007-01-29,8220,,                   0.19,                   1.74,                   0.05,
2007-01-30,8290,,                   0.19,                   1.75,                   0.05,
2007-01-31,8250,,                   0.19,                   1.74,                   0.05,
2007-02-01,8210,,                   0.19,                   1.73,                   0.05,
2007-02-02,8270,,                   0.19,                   1.75,                   0.05,
2007-02-05,8240,,                   0.19,                   1.74,                   0.05,
2007-02-06,8250,,                   0.19,                   1.74,                   0.05,
2007-02-07,8390,,                   0.20,                   1.77,                   0.05,
2007-02-08,8700,,                   0.20,                   1.84,                   0.05,
2007-02-09,8490,,                   0.20,                   1.79,                   0.05,
2007-02-12,8350,,                   0.20,                   1.76,                   0.05,
2007-02-13,8470,,                   0.20,                   1.79,                   0.05,
2007-02-14,8500,,                   0.20,                   1.80,                   0.05,
2007-02-15,8490,,                   0.20,                   1.79,                   0.05,
2007-02-16,8900,,                   0.21,                   1.88,                   0.05,
2007-02-20,8720,,                   0.20,                   1.84,                   0.05,
2007-02-21,8750,,                   0.21,                   1.85,                   0.05,
2007-02-22,8700,,                   0.20,                   1.84,                   0.05,
2007-02-23,8700,,                   0.20,                   1.84,                   0.05,
2007-02-26,8640,,                   0.20,                   1.83,                   0.05,
2007-02-27,8570,,                   0.20,                   1.81,                   0.05,
2007-02-28,8350,,                   0.20,                   1.76,                   0.05,
2007-03-02,8330,,                   0.20,                   1.76,                   0.05,
2007-03-05,8190,,                   0.19,                   1.73,                   0.05,
2007-03-06,8300,,                   0.19,                   1.75,                   0.05,
2007-03-07,8470,,                   0.20,                   1.79,                   0.05,
2007-03-08,8560,,                   0.20,                   1.81,                   0.05,
2007-03-09,8490,,                   0.20,                   1.79,                   0.05,
2007-03-12,8410,,                   0.20,                   1.78,                   0.05,
2007-03-13,8390,,                   0.20,                   1.77,                   0.05,
2007-03-14,8250,,                   0.19,                   1.74,                   0.05,
2007-03-15,8370,,                   0.20,                   1.77,                   0.05,
2007-03-16,8580,,                   0.20,                   1.81,                   0.05,
2007-03-19,8490,,                   0.20,                   1.79,                   0.05,
2007-03-20,8580,,                   0.20,                   1.81,                   0.05,
2007-03-21,8470,,                   0.20,                   1.79,                   0.05,
2007-03-22,8400,,                   0.20,                   1.77,                   0.05,
2007-03-23,8440,,                   0.20,                   1.78,                   0.05,
2007-03-26,8420,,                   0.20,                   1.78,                   0.05,
2007-03-27,8730,,                   0.20,                   1.84,                   0.05,
2007-03-28,9040,,                   0.21,                   1.91,                   0.05,
2007-03-29,9400,,                   0.22,                   1.99,                   0.06,
2007-03-30,9470,,                   0.22,                   2.00,                   0.06,
2007-04-02,9520,,                   0.22,                   2.01,                   0.06,
2007-04-03,9350,,                   0.22,                   1.98,                   0.06,
2007-04-04,9650,,                   0.23,                   2.04,                   0.06,
2007-04-05,9690,,                   0.23,                   2.05,                   0.06,
2007-04-06,9700,,                   0.23,                   2.05,                   0.06,
2007-04-09,10150,,                   0.24,                   2.14,                   0.06,
2007-04-10,9990,,                   0.23,                   2.11,                   0.06,
2007-04-11,11450,,                   0.27,                   2.42,                   0.07,
2007-04-12,12500,,                   0.29,                   2.64,                   0.08,
2007-04-13,12650,,                   0.30,                   2.67,                   0.08,
2007-04-16,12900,,                   0.30,                   2.73,                   0.08,
2007-04-17,12650,,                   0.30,                   2.67,                   0.08,
2007-04-18,12050,,                   0.28,                   2.55,                   0.07,
2007-04-19,12000,,                   0.28,                   2.54,                   0.07,
2007-04-20,12750,,                   0.30,                   2.69,                   0.08,
2007-04-23,13100,,                   0.31,                   2.77,                   0.08,
