,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2007-01-02,1225000,                   6.74,                   1.11,                   5.55,                   1.50,                   0.23
2007-01-03,1191000,                   6.55,                   1.08,                   5.39,                   1.46,                   0.24
2007-01-04,1187000,                   6.53,                   1.07,                   5.38,                   1.45,                   0.24
2007-01-05,1140000,                   6.27,                   1.03,                   5.16,                   1.39,                   0.25
2007-01-08,1150000,                   6.32,                   1.04,                   5.21,                   1.41,                   0.25
2007-01-09,1150000,                   6.32,                   1.04,                   5.21,                   1.41,                   0.25
2007-01-10,1132000,                   6.22,                   1.02,                   5.13,                   1.38,                   0.25
2007-01-11,1133000,                   6.23,                   1.03,                   5.13,                   1.39,                   0.25
2007-01-12,1148000,                   6.31,                   1.04,                   5.20,                   1.40,                   0.25
2007-01-15,1138000,                   6.26,                   1.03,                   5.15,                   1.39,                   0.25
2007-01-16,1133000,                   6.23,                   1.03,                   5.13,                   1.39,                   0.25
2007-01-17,1125000,                   6.19,                   1.02,                   5.10,                   1.38,                   0.25
2007-01-18,1138000,                   6.26,                   1.03,                   5.15,                   1.39,                   0.25
2007-01-19,1168000,                   6.42,                   1.06,                   5.29,                   1.43,                   0.24
2007-01-22,1179000,                   6.48,                   1.07,                   5.34,                   1.44,                   0.24
2007-01-23,1173000,                   6.45,                   1.06,                   5.31,                   1.43,                   0.24
2007-01-24,1178000,                   6.48,                   1.07,                   5.34,                   1.44,                   0.24
2007-01-25,1161000,                   6.38,                   1.05,                   5.26,                   1.42,                   0.25
2007-01-26,1135000,                   6.24,                   1.03,                   5.14,                   1.39,                   0.25
2007-01-29,1139000,                   6.26,                   1.03,                   5.16,                   1.39,                   0.25
2007-01-30,1145000,                   6.30,                   1.04,                   5.19,                   1.40,                   0.25
2007-01-31,1165000,                   6.41,                   1.05,                   5.28,                   1.42,                   0.24
2007-02-01,1215000,                   6.68,                   1.10,                   5.50,                   1.49,                   0.23
2007-02-02,1221000,                   6.71,                   1.11,                   5.53,                   1.49,                   0.23
2007-02-05,1220000,                   6.71,                   1.10,                   5.53,                   1.49,                   0.23
2007-02-06,1245000,                   6.85,                   1.13,                   5.64,                   1.52,                   0.23
2007-02-07,1244000,                   6.84,                   1.13,                   5.64,                   1.52,                   0.23
2007-02-08,1250000,                   6.87,                   1.13,                   5.66,                   1.53,                   0.23
2007-02-09,1250000,                   6.87,                   1.13,                   5.66,                   1.53,                   0.23
2007-02-12,1256000,                   6.91,                   1.14,                   5.69,                   1.54,                   0.23
2007-02-13,1218000,                   6.70,                   1.10,                   5.52,                   1.49,                   0.23
2007-02-14,1215000,                   6.68,                   1.10,                   5.50,                   1.49,                   0.23
2007-02-15,1190000,                   6.54,                   1.08,                   5.39,                   1.45,                   0.24
2007-02-16,1179000,                   6.48,                   1.07,                   5.34,                   1.44,                   0.24
