,종가(원),PER,PBR,PCR,PSR,배당수익률(%)
2009-11-19,15850,                  15.80,                   9.62,                  12.56,                   2.43,                   3.26
2009-11-20,17100,                  17.04,                  10.38,                  13.55,                   2.62,                   3.02
2009-11-23,17450,                  17.39,                  10.59,                  13.83,                   2.68,                   2.96
2009-11-24,17200,                  17.14,                  10.44,                  13.63,                   2.64,                   3.00
2009-11-25,17600,                  17.54,                  10.68,                  13.95,                   2.70,                   2.94
2009-11-26,18400,                  18.34,                  11.17,                  14.58,                   2.82,                   2.81
2009-11-27,18250,                  18.19,                  11.07,                  14.46,                   2.80,                   2.83
2009-11-30,18750,                  18.69,                  11.38,                  14.86,                   2.87,                   2.76
2009-12-01,17550,                  17.49,                  10.65,                  13.91,                   2.69,                   2.94
2009-12-02,17550,                  17.49,                  10.65,                  13.91,                   2.69,                   2.94
2009-12-03,18100,                  18.04,                  10.98,                  14.34,                   2.77,                   2.85
2009-12-04,18450,                  18.39,                  11.20,                  14.62,                   2.83,                   2.80
2009-12-07,18200,                  18.14,                  11.04,                  14.42,                   2.79,                   2.84
2009-12-08,18250,                  18.19,                  11.07,                  14.46,                   2.80,                   2.83
2009-12-09,18300,                  18.24,                  11.10,                  14.50,                   2.81,                   2.82
2009-12-10,18300,                  18.24,                  11.10,                  14.50,                   2.81,                   2.82
2009-12-11,20350,                  20.28,                  12.35,                  16.13,                   3.12,                   2.54
2009-12-14,20850,                  20.78,                  12.65,                  16.52,                   3.20,                   2.48
2009-12-15,20000,                  19.93,                  12.14,                  15.85,                   3.07,                   2.58
2009-12-16,20650,                  20.58,                  12.53,                  16.36,                   3.17,                   2.50
2009-12-17,20200,                  20.13,                  12.26,                  16.01,                   3.10,                   2.56
2009-12-18,20250,                  20.18,                  12.29,                  16.05,                   3.10,                   2.55
2009-12-21,20900,                  20.83,                  12.68,                  16.56,                   3.20,                   2.47
2009-12-22,21100,                  21.03,                  12.80,                  16.72,                   3.23,                   2.45
2009-12-23,20900,                  20.83,                  12.68,                  16.56,                   3.20,                   2.47
2009-12-24,21000,                  20.93,                  12.74,                  16.64,                   3.22,                   2.46
2009-12-28,20500,                  20.43,                  12.44,                  16.25,                   3.14,                   2.52
2009-12-29,19650,                  19.58,                  11.92,                  15.57,                   3.01,                   2.63
2009-12-30,19650,                  19.58,                  11.92,                  15.57,                   3.01,                   2.63
2010-01-04,19750,                  11.78,                   6.40,                  10.14,                   2.43,                   4.35
2010-01-05,20750,                  12.38,                   6.72,                  10.65,                   2.56,                   4.14
2010-01-06,20700,                  12.35,                   6.70,                  10.62,                   2.55,                   4.15
2010-01-07,20450,                  12.20,                   6.62,                  10.50,                   2.52,                   4.21
2010-01-08,22700,                  13.54,                   7.35,                  11.65,                   2.80,                   3.79
2010-01-11,23100,                  13.78,                   7.48,                  11.86,                   2.85,                   3.72
2010-01-12,23650,                  14.11,                   7.66,                  12.14,                   2.91,                   3.64
2010-01-13,23850,                  14.23,                   7.72,                  12.24,                   2.94,                   3.61
2010-01-14,23500,                  14.02,                   7.61,                  12.06,                   2.90,                   3.66
2010-01-15,22300,                  13.31,                   7.22,                  11.44,                   2.75,                   3.86
2010-01-18,22150,                  13.22,                   7.17,                  11.37,                   2.73,                   3.88
2010-01-19,21700,                  12.95,                   7.03,                  11.14,                   2.67,                   3.96
2010-01-20,22500,                  13.43,                   7.29,                  11.55,                   2.77,                   3.82
2010-01-21,22000,                  13.13,                   7.12,                  11.29,                   2.71,                   3.91
2010-01-22,21350,                  12.74,                   6.91,                  10.96,                   2.63,                   4.03
2010-01-25,21650,                  12.92,                   7.01,                  11.11,                   2.67,                   3.97
2010-01-26,21600,                  12.89,                   6.99,                  11.09,                   2.66,                   3.98
2010-01-27,22200,                  13.25,                   7.19,                  11.39,                   2.74,                   3.87
2010-01-28,21900,                  13.07,                   7.09,                  11.24,                   2.70,                   3.93
2010-01-29,21250,                  12.68,                   6.88,                  10.91,                   2.62,                   4.05
2010-02-01,20850,                  12.44,                   6.75,                  10.70,                   2.57,                   4.12
2010-02-02,21850,                  13.04,                   7.08,                  11.21,                   2.69,                   3.94
2010-02-03,22200,                  13.25,                   7.19,                  11.39,                   2.74,                   3.87
2010-02-04,22750,                  13.57,                   7.37,                  11.68,                   2.80,                   3.78
2010-02-05,22450,                  13.40,                   7.27,                  11.52,                   2.77,                   3.83
2010-02-08,22700,                  13.54,                   7.35,                  11.65,                   2.80,                   3.79
2010-02-09,23050,                  13.75,                   7.46,                  11.83,                   2.84,                   3.73
2010-02-10,23150,                  13.81,                   7.50,                  11.88,                   2.85,                   3.71
2010-02-11,22900,                  13.66,                   7.42,                  11.75,                   2.82,                   3.76
2010-02-12,22300,                  13.31,                   7.22,                  11.44,                   2.75,                   3.86
2010-02-16,22150,                  13.22,                   7.17,                  11.37,                   2.73,                   3.88
2010-02-17,22500,                  13.43,                   7.29,                  11.55,                   2.77,                   3.82
2010-02-18,23000,                  13.72,                   7.45,                  11.80,                   2.83,                   3.74
2010-02-19,23450,                  13.99,                   7.59,                  12.04,                   2.89,                   3.67
2010-02-22,24450,                  14.59,                   7.92,                  12.55,                   3.01,                   3.52
2010-02-23,24700,                  14.74,                   8.00,                  12.68,                   3.04,                   3.48
2010-02-24,25300,                  15.10,                   8.19,                  12.98,                   3.12,                   3.40
2010-02-25,24800,                  14.80,                   8.03,                  12.73,                   3.06,                   3.47
2010-02-26,25050,                  14.95,                   8.11,                  12.86,                   3.09,                   3.43
2010-03-02,25400,                  15.16,                   8.23,                  13.04,                   3.13,                   3.39
2010-03-03,25050,                  14.95,                   8.11,                  12.86,                   3.09,                   3.43
2010-03-04,25000,                  14.92,                   8.10,                  12.83,                   3.08,                   3.44
2010-03-05,25300,                  15.10,                   8.19,                  12.98,                   3.12,                   3.40
2010-03-08,25550,                  15.24,                   8.27,                  13.11,                   3.15,                   3.37
2010-03-09,25700,                  15.33,                   8.32,                  13.19,                   3.17,                   3.35
2010-03-10,26000,                  15.51,                   8.42,                  13.34,                   3.20,                   3.31
2010-03-11,26300,                  15.69,                   8.52,                  13.50,                   3.24,                   3.27
2010-03-12,26700,                  15.93,                   8.65,                  13.70,                   3.29,                   3.22
2010-03-15,26500,                  15.81,                   8.58,                  13.60,                   3.27,                   3.25
2010-03-16,26350,                  15.72,                   8.53,                  13.52,                   3.25,                   3.26
2010-03-17,26700,                  15.93,                   8.65,                  13.70,                   3.29,                   3.22
2010-03-18,25700,                  15.33,                   8.32,                  13.19,                   3.17,                   3.35
2010-03-19,25400,                  15.16,                   8.23,                  13.04,                   3.13,                   3.39
2010-03-22,25200,                  15.04,                   8.16,                  12.93,                   3.10,                   3.41
2010-03-23,24600,                  14.68,                   7.97,                  12.63,                   3.03,                   3.50
2010-03-24,24350,                  14.53,                   7.89,                  12.50,                   3.00,                   3.53
2010-03-25,24100,                  14.38,                   7.80,                  12.37,                   2.97,                   3.57
2010-03-26,24200,                  14.44,                   7.84,                  12.42,                   2.98,                   3.55
2010-03-29,23950,                  14.29,                   7.76,                  12.29,                   2.95,                   3.59
2010-03-30,24400,                  14.56,                   7.90,                  12.52,                   3.01,                   3.52
2010-03-31,24500,                  14.62,                   7.93,                  12.57,                   3.02,                   3.51
2010-04-01,24650,                  14.71,                   7.98,                  12.65,                   3.04,                   3.49
2010-04-02,23400,                  13.96,                   7.58,                  12.01,                   2.88,                   3.68
2010-04-05,22650,                  13.51,                   7.33,                  11.62,                   2.79,                   3.80
2010-04-06,23100,                  13.78,                   7.48,                  11.86,                   2.85,                   3.72
2010-04-07,23900,                  14.26,                   7.74,                  12.27,                   2.94,                   3.60
2010-04-08,23800,                  14.20,                   7.71,                  12.21,                   2.93,                   3.61
2010-04-09,23500,                  14.02,                   7.61,                  12.06,                   2.90,                   3.66
2010-04-12,23350,                  13.93,                   7.56,                  11.98,                   2.88,                   3.68
2010-04-13,24200,                  14.44,                   7.84,                  12.42,                   2.98,                   3.55
2010-04-14,24500,                  14.62,                   7.93,                  12.57,                   3.02,                   3.51
2010-04-15,24250,                  14.47,                   7.85,                  12.45,                   2.99,                   3.55
2010-04-16,24250,                  14.47,                   7.85,                  12.45,                   2.99,                   3.55
2010-04-19,23450,                  13.99,                   7.59,                  12.04,                   2.89,                   3.67
2010-04-20,24000,                  14.32,                   7.77,                  12.32,                   2.96,                   3.58
