,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,,,,,,-55.39101784,-71.92496025,11.16775756999999,,304.7134094,2.529608691,,
2007-09-01,,,,,,55.39101784,71.92496025,-11.16775756999999,754.0,-21.70340939,0.530391309,,
2007-12-01,,,,,,18.62620988,-0.203072377,-4.047755843,-754.0,4.099787819,0.438785442,,
2008-03-01,,,,,,-18.62620988,0.203072377,4.047755843,1992.0,4.850212181,-0.04878544199999,,
2008-06-01,,,,,,-57.75774661999999,-41.349588929999996,-32.97345026,376.0,297.5379851,2.1192292129999997,,
2008-09-01,,,,,,41.83774662,66.10958893,39.95345025999999,564.0,-8.447985119,0.280770787,,
2008-12-01,,,,,,59.85552212,39.66695239,-0.455320247,788.0,-5.7066894889999995,0.650005471,,
2009-03-01,,,,,,-45.08552212,-57.226952389999994,-10.04467975,407.0,-75.18331051,0.489994529,,
2009-06-01,,,,,,-43.77552579,-12.30833547,-21.30231665,357.0,204.6819322,3.630544185,,
2009-09-01,,,,,,53.605525789999994,2.938335467,10.89231665,495.0,-15.51193215,-0.680544185,,
2009-12-01,,,,,,17.15706609,47.94220173,0.69758642,733.0,-4.939816329,-0.042953365,,
2010-03-01,,,,,,-18.24706609,27.88779827,7.572413579999999,1969.0,0.549816329,1.022953365,,
2010-06-01,,,,,,-60.5602376,-67.00054384,-6.950074083999989,650.0,186.85665039999998,2.746934598,,
2010-09-01,,,,,,64.4602376,253.4305438,42.14007408,1791.0,-2.78665044,-0.476934598,,
2010-12-01,,,,,,59.65862087,-38.44344396,2.57042838299999,1103.0,4.18650516199999,0.244959865,,
2011-03-01,,,,,,-63.55862086999999,-147.98655599999998,-37.76042838,2341.0,68.63349484,1.775040135,0.08248492739188393,-1.1235970882777415
2011-06-01,12.29464285714286,1.655714285714286,7.255714285714286,0.3067857142857143,,-49.93872084,-1.273701545,-29.24963335,,196.4916685,4.830416053,0.07851658479595532,0.25385941942038254
2011-09-01,22.703225806451616,3.056129032258065,13.397419354838709,0.5661290322580644,,49.93872084,1.273701545,29.24963335,4606.0,0.208331501,0.22958394699999998,0.07774161598751049,0.3422955152265135
2011-12-01,25.554285714285715,3.4404761904761902,15.08063492063492,0.6377777777777777,,-2.18692794499999,-0.374230043,-5.215269481,-4606.0,-12.75630231,0.129281834,0.07783358508526361,0.0019614176715891615
2012-03-01,25.187142857142856,3.3904761904761904,14.863492063492066,0.6292063492063495,,55.18692795,86.28423004,29.95526947999999,9421.0,0.44630231100000006,0.080718166,0.07839943337956971,-0.10495589323509114
2012-06-01,14.29209677419355,2.386290322580645,10.105000000000002,0.5314516129032258,0.3719354838709676,27.952803929999998,41.163664849999996,-5.581206104,,181.169129,7.422417231000001,0.07727103662570278,1.1972545275047901
2012-09-01,17.249016393442623,2.8804918032786886,12.195573770491803,0.641639344262295,0.3078688524590164,33.70719607,20.70633515,12.801206100000002,7167.0,-17.39912899,0.207582769,0.07693750950225899,1.1817006406837398
2012-12-01,18.19421875,3.038125,12.86375,0.67703125,0.2925,9.106315425,13.62270403,3.2952332609999897,-7167.0,-20.84573317,0.225233702,0.07684578485877978,1.2395441020581386
2013-03-01,18.47606557377049,3.0849180327868853,13.064754098360655,0.6867213114754098,0.2872131147540983,-10.50631542,0.49729597299999995,-0.685233261,16262.0,0.075733169,-0.16523370199999998,0.07743533466996011,0.5058837147647752
2013-06-01,9.700983606557378,2.2145901639344263,7.6463934426229505,0.5781967213114754,0.3167213114754098,-19.738208,-33.85961607,-8.37398712299999,,132.83379639999998,6.347662379000001,0.07759303102104982,-0.42254687197287294
2013-09-01,9.435967741935483,2.154193548387097,7.4369354838709665,0.5625806451612904,0.3269354838709677,15.808208,36.86961607,17.05398712,7383.0,-10.4437964,0.40233762099999,0.07720255538922315,0.08191514367699847
2013-12-01,10.066129032258065,2.29774193548387,7.933709677419354,0.6001612903225806,0.3059677419354839,5.760718831,10.56912926,-8.37690784499999,-7383.0,-6.185676052,0.470206785,0.07649040546896947,1.2144184794450756
2014-03-01,11.38483870967742,2.599354838709677,8.973387096774195,0.6788709677419354,0.2709677419354839,-3.770718831,-13.80912926,0.706907845,16224.0,-5.914323948,0.239793215,0.07715121970450722,0.07455513501030013
2014-06-01,10.202295081967211,1.889344262295082,7.828360655737704,0.6016393442622952,0.3021311475409835,-8.522902451,-4.680012815,7.668684451000001,,111.9445343,6.957703576,0.07679695997145107,-0.5386151306881723
2014-09-01,10.808333333333334,2.0011666666666668,8.291500000000001,0.6356666666666667,0.2860000000000001,22.66290245,19.22001281,-1.798684451,8456.0,-2.804534309,0.312296424,0.07590551809496021,0.48706438904824517
2014-12-01,12.580483870967743,2.3295161290322577,9.652903225806453,0.7409677419354841,0.2466129032258065,-16.11341818,-1.471881285,-8.409333870999989,-8456.0,-4.8063831729999995,-0.09786084999999999,0.07632909965728794,-0.6231575589551861
2015-03-01,11.418548387096775,2.114838709677419,8.761129032258063,0.6717741935483872,0.2708064516129033,1.29341818,-8.998118715,9.639333871,16794.0,4.076383173,-0.25213914999999,0.07726035635942473,-0.005394230560714794
2015-06-01,9.2595,1.4213333333333336,6.907666666666668,0.5295,0.5223333333333333,5.510515997,-3.499506995,0.094510686,4021.0,105.7440043,6.54573527,0.07808143367000914,0.6129910401929323
2015-09-01,8.033709677419356,1.232741935483871,5.994193548387097,0.4595161290322581,0.6046774193548388,-11.390516,7.469506995,3.895489314,4496.0,3.235995699,0.03426473,0.07958805946677207,-0.004915200699458795
2015-12-01,6.295714285714285,0.9655555555555556,4.697142857142856,0.3595238095238096,0.766190476190476,-15.85323276,-18.57476653,-9.393882707,3661.0,-3.080968769,-0.131301531,0.07848878975092127,0.20671397891080964
2016-03-01,7.5095238095238095,1.152222222222222,5.603174603174603,0.4296825396825396,0.6382539682539683,17.03323276,-10.155233469999999,9.203882707,128.0,5.38096876899999,-0.09869846900000001,0.07948241170594707,-0.12505122172776295
2016-06-01,8.922333333333334,0.8893333333333334,5.723000000000001,0.3691666666666667,1.0273333333333337,-36.67094079999999,1325.629427,-11.424864699999999,1832.0,111.0080262,4.352561806,0.0802086317727172,-0.19088710890026425
2016-09-01,7.954918032786886,0.7931147540983609,5.1036065573770495,0.3298360655737704,1.155081967213115,1.650940803,-1378.269427,6.274864701,2201.0,4.531973819,0.157438194,0.08075466805319499,0.4145867741463616
2016-12-01,7.295645161290322,0.727258064516129,4.680483870967743,0.3025806451612903,1.2558064516129033,-29.567773980000002,-98.72836609,-10.50534679,28.0,-5.281186122,-0.26544819599999997,0.08169623261118632,-0.15994767009233277
2017-03-01,6.337936507936507,0.631904761904762,4.0666666666666655,0.2628571428571428,1.4534920634920638,17.03777398,91.35836609,11.915346789999989,861.0,5.2311861219999995,-0.7845518040000001,0.08235022078192661,-0.6353198946696385
2017-06-01,14.388709677419357,0.5585483870967741,5.365645161290323,0.2483870967741935,1.598225806451613,54.11108187,-91.16030569,-9.051321189,76.0,118.82396109999999,2.301361171,0.08251461409698448,-0.3850028279736372
2017-09-01,14.044166666666667,0.5448333333333334,5.2363333333333335,0.2418333333333333,1.6328333333333336,-111.25108189999999,30.62030569,6.351321189,1516.0,-6.693961142,-0.311361171,0.08241996976766101,-1.2135448359976855
2017-12-01,14.266875,0.5532812500000001,5.320625000000001,0.2457812499999999,1.61171875,-50.01415931,-66.76393313,6.166263581,503.0,10.60282465,-0.41638698599999996,0.08275338678670201,-0.00568273920137452
2018-03-01,13.544385964912282,0.5247368421052632,5.05140350877193,0.2331578947368421,1.690175438596491,13.514159310000002,-20.88606687,-4.806263581,-4467.0,6.357175353,-1.353613014,0.08346884199869382,-0.404131872752614
2018-06-01,12.502127659574468,0.479016393442623,5.447868852459016,0.212622950819672,1.6659016393442625,-58.3308286,-85.47812309,-7.264629471,-649.0,126.29509809999999,-1.7129697449999999,0.08454440208222307,-0.32365300428439
2018-09-01,,0.423,7.424500000000001,0.1838333333333333,1.1931666666666665,-54.5591714,-69.11187691,10.33462947,-220.0,3.38490185999999,1.4629697449999999,0.08563992084464571,-1.0733148094004343
2018-12-01,,0.3622950819672132,6.359016393442624,0.1575409836065574,1.3872131147540987,-52.85024913,42.32193102,-6.572885264,-313.0,4.016890241,0.253047927,0.08737426222787222,-0.12050968678525105
2019-03-01,,0.2862903225806452,5.035,0.1248387096774193,1.7601612903225805,95.83024913,112.268069,8.752885264,-910.0,0.333109759,0.056952073,0.08594889544261504,0.16626839554564632
2019-06-01,,0.3500000000000001,5.916271186440678,0.1488135593220339,1.450677966101695,200.7475136,-157.0389255,-14.385851469999999,,135.5309027,0.789699784,0.08525634025105792,-0.04027782410576367
2019-09-01,,0.3954838709677419,6.055322580645162,0.1575806451612903,1.3179032258064518,-200.7475136,157.0389255,12.89585147,763.0,-9.000902707,0.400300216,0.08516304075010946,1.011488135029628
2019-12-01,,0.3996825396825397,6.136984126984127,0.1603174603174603,1.301904761904762,24.68805405999999,204.20388049999997,-6.18585417,744.0,-6.937850713999991,0.292336716,0.08465149313229614,1.4141392970587645
2020-03-01,,0.4287096774193549,6.580483870967742,0.1716129032258064,1.2124193548387094,1901.601946,-204.20388049999997,0.49585417000000004,571.0,-0.482149286,-0.092336716,0.0863934764878832,-0.145913750396929
2020-06-01,11.863333333333337,0.3430645161290322,5.104193548387097,0.1379032258064516,1.671290322580645,319.2630065,403.9459816,-8.369775806,2880.0,110.9238829,5.130368131,0.08735983399432375,-0.2681913270722141
2020-09-01,17.039180327868856,0.2936065573770491,2.9722950819672134,0.1288524590163934,2.041803278688524,-315.9530065,-365.2959816,-15.15022419,-1822.0,0.936117086,-3.5203681309999997,0.08619982356842708,-0.29540250978168064
2020-12-01,19.755625,0.3396875,3.44640625,0.14921875,1.75234375,-134.1665154,-245.4113368,51.55829913000001,-1058.0,0.56579013199999,-0.351795858,0.0852775336092772,0.16769975169500384
2021-03-01,22.51950819672131,0.3878688524590163,3.928032786885246,0.1698360655737704,1.5381967213114751,101.44651540000001,217.2013368,-37.91829913,2295.0,6.524209868,-0.168204142,0.08096037206579552,-0.5552772062214372
2021-06-01,41.13699999999999,0.7191666666666665,7.172833333333333,0.3218333333333333,0.8333333333333333,114.0192022,-150.20758,-1.9381785589999998,,117.55595299999999,1.478253743,0.08118718485412328,-1.1466798385353982
2021-09-01,37.00126984126984,0.698095238095238,6.437460317460316,0.3422222222222223,0.8555555555555555,-56.13920225,294.85758,35.95817856,2589.0,-5.27595300499999,0.411746257,0.08057599418739658,0.3678620866339512
2021-12-01,40.40983870967742,0.7625806451612902,7.0296774193548375,0.3733870967741934,0.7762903225806453,-30.89902569,-56.40470539,-10.605232669999989,-2589.0,-2.0440626699999997,-0.038353654,0.08139947024359528,-0.5594500300620907
2022-03-01,35.435873015873014,0.669047619047619,6.164920634920634,0.3274603174603174,0.8842857142857143,15.77902568999999,-86.03529461,-9.22476733,2346.0,-0.52593733,-0.491646346,0.08260098330391626,-0.13496255545568567
2022-06-01,29.677627118644068,0.5576271186440679,5.112711864406779,0.2693220338983051,1.0584745762711865,,-161.8224995,-0.8296316640000001,,114.44510210000001,2.699507927,0.0830563061324831,-0.050643582888400505
2022-09-01,27.24774193548387,0.5045161290322581,4.462580645161292,0.2253225806451612,1.1277419354838711,,400.0824994999999,1.969631664,8757.0,-17.46510213,0.000492073,0.08260108850718972,0.9450791180943924
2022-12-01,29.168571428571425,0.5407936507936508,4.777777777777778,0.2415873015873016,1.0601587301587303,4.9208410989999996,-105.31622359999999,5.50472395,-8757.0,-0.286247736,-0.009381897,0.08348273923057999,0.18445361632919458
2023-03-01,25.59016129032258,0.4745161290322581,4.191935483870967,0.2124193548387096,1.198064516129032,57.4491589,-127.9737764,2.38527605,2463.0,5.426247736,-0.110618103,0.08403294209563623,-0.006824135069679027
