,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,3.7422580645161294,0.3599999999999999,1.9856451612903223,0.1424193548387097,,-107.2867187,-127.30363940000001,21.5245048,,84.84508485,1.8016087609999998,0.08406178391016754,-0.1100972876018073
2007-09-01,5.204193548387097,0.5011290322580645,2.761935483870968,0.197741935483871,,107.2867187,127.30363940000001,-21.5245048,895.0,-0.635084852,0.7983912390000001,0.08156011484784394,0.7545129419413626
2007-12-01,7.344999999999999,0.7066666666666668,3.897833333333333,0.2793333333333334,,-11.27784295,-48.29295067,-3.4794291220000004,-895.0,12.728201799999999,0.13412254,0.07905540458162873,0.0349272909654371
2008-03-01,10.99016129032258,1.0569354838709677,5.832096774193548,0.417741935483871,,11.27784295,48.29295067,3.4794291220000004,1595.0,146.77179819999998,1.37587746,0.08093564402011832,-0.06883378586219552
2008-06-01,11.237049180327867,0.7985245901639344,5.03704918032787,0.2736065573770491,,-82.87204884,-65.75154215,-65.25860912,476.0,231.39124249999998,2.666925294,0.08085619773349854,-0.5790799348948655
2008-09-01,11.368333333333332,0.8075,5.096999999999999,0.2768333333333334,,114.75204880000001,118.53154219999999,83.39860912,870.0,25.608757519999997,0.233074706,0.08346910275344664,-0.21853245697261425
2008-12-01,7.831875,0.556875,3.5103125,0.1910937499999999,,25.71014767,127.2038631,4.556519478,1978.0,-40.93553763999999,0.30303731,0.08760135584325107,0.13547205532614603
2009-03-01,4.405079365079365,0.3130158730158729,1.9746031746031747,0.1073015873015873,,-75.02014767,-188.2838631,28.093480520000004,-1851.0,156.0955376,-0.9530373099999999,0.08862338802816529,-0.2785563276601
2009-06-01,4.178524590163934,0.3118032786885246,1.3224590163934429,0.0622950819672131,,-62.91784199,103.94092040000001,-83.79810485,-6890.0,474.3051329,3.8147646790000005,0.08607620854950632,0.4499857043643767
2009-09-01,5.837936507936508,0.4363492063492063,1.8473015873015872,0.0857142857142857,,60.08784199,-103.94092040000001,73.21810485,1162.0,-115.55513289999999,-0.654764679,0.08617960115154566,-0.12617290508837295
2009-12-01,5.768181818181818,0.4315151515151516,1.8254545454545448,0.0853030303030302,,2.045513583,15.220251619999999,2.133299917,1327.0,-24.55893724999999,-0.20133746199999,0.0872860212177683,-0.0170223679745282
2010-03-01,4.993333333333332,0.3733333333333333,1.57984126984127,0.0728571428571428,,-55.73551358000001,-15.220251619999999,-24.00329991999999,-1624.0,31.198937249999997,-1.508662538,0.08815768991719575,-0.2040278302269448
2010-06-01,,3.569508196721311,,0.5222950819672132,,-706.833351,72.38320652,-60.70589254000001,-5373.0,397.58977880000003,1.85476988,0.09026388675159767,0.08871132682469425
2010-09-01,,2.280967741935484,,0.334516129032258,,706.833351,-72.38320652,60.70589254000001,5373.0,,-1.85476988,0.08920994079367124,0.022580377219667953
2010-12-01,,1.9507936507936512,,0.2853968253968255,,-47.43318264,292.7980241,-9.291006488,-8346.0,395.7940175,2.56078354,0.08734546179939325,-0.07467011648651517
2011-03-01,,1.7136923076923074,,0.2501538461538461,,45.65318263999999,-292.7980241,4.581006488,-2929.0,185.7459825,-1.07078354,0.08761473957925138,-0.07394331744683867
2011-06-01,,1.8621666666666667,,0.3984999999999999,,-712.0101298,-98.97514935000001,-30.36160066,,588.8381986,3.072321062,0.08779566433729398,0.05999325981247838
2011-09-01,,1.7772580645161289,,0.38,,712.0101298,98.97514935000001,30.36160066,,-9.828198606,-0.722321062,0.08907120274726092,0.15537339580250548
2011-12-01,,1.5315873015873018,,0.3273015873015872,,-151.75580209999998,89.68652615,-12.032230249999989,,70.93281597,-1.032284342,0.09175520711071272,-0.49728598038642907
2012-03-01,,1.0823809523809524,,0.2315873015873015,,151.75580209999998,-89.68652615,14.13223025,-1727.0,335.677184,-2.30771565799999,0.09193566715105832,0.06014019876794502
2012-06-01,,1.4612903225806448,,0.1367741935483871,,-136.4204942,-46.08609905,-27.102698939999996,,,3.797280619,0.09238097863353277,-0.15497963501905385
2012-09-01,,1.2986885245901636,,0.1218032786885246,,37.71049422,46.08609905,6.16269894,-917.0,494.9277387,-3.7572806190000003,0.09540066719020035,0.19499289368270548
2012-12-01,,0.93453125,,0.08765625,,-81.89777541,-72.65144397,-4.92833487199999,917.0,352.8365917,-0.222847026,0.09345839484358043,0.24020748105248727
2013-03-01,,0.6191803278688524,,0.0586885245901639,,180.60777539999998,72.65144397,7.178334872,-16805.0,,-2.457152974,0.09449102877689403,0.1434458758970251
2013-06-01,,0.8134426229508195,,0.0285245901639344,,-99.17300799,-81.11014843,-0.777012383,,,-0.083143926,0.09795786539431395,-0.5232826622659386
2013-09-01,,0.5550000000000002,,0.02,,,81.11014843,4.61701238299999,-1433.0,,0.9431439260000001,0.097988957255237,-0.2691934823804994
2013-12-01,,0.5543548387096775,,0.02,,-1728.274566,291.2545632,-13.79713447,1433.0,,-10.37668886,0.0990890388294657,-0.3362261661244821
2014-03-01,,0.4951612903225807,,0.0193548387096774,,-502.24543410000007,-291.2545632,9.307134473999989,-5475.0,,1.616688856,0.09649938338396957,-0.16688348181721577
2014-06-01,,1.97,,0.050983606557377,,-153.5642023,-54.02143503,-14.498749629999999,,801.4143651999999,1.878974077,0.09594652890209994,0.02878762854447949
2014-09-01,,1.8958333333333333,,0.0499999999999999,,174.27420229999998,54.02143503,-3.06125037,-509.0,-51.02436517000001,-0.61897407699999,0.09565943493193786,0.022869298468738686
2014-12-01,,1.9346774193548384,,0.0503225806451612,,-57.12130097,-48.53277524,-10.10269611999999,509.0,84.85946863,-0.299510578,0.09823766611043942,0.15756760479236118
2015-03-01,,1.5137096774193544,,0.0404838709677419,,36.41130097,48.53277524,11.92269612,-6755.0,,-0.230489422,0.10117049473892671,-0.14546287403673974
2015-06-01,,5.279999999999999,,0.16,,185.0869199,-97.77590725,-20.6919288,,,0.344444169,0.10117049473892671,
2015-09-01,,5.279999999999998,,0.16,,-219.62691990000002,97.77590725,6.831928801000001,451.0,,0.605555831,0.10066265699575856,
2015-12-01,,5.279999999999997,,0.16,,88.94995634,76.52137746,-22.34612383,-451.0,,0.7893286399999999,0.0792403128726035,
2016-03-01,,5.042380952380952,,0.1541269841269842,,25.99004366,-76.52137746,15.94612383,-179.0,-16.11100513,-0.07932863999999999,0.08053204904297749,-0.01608979382527567
2016-06-01,,8.121,,0.5486666666666667,,58.684029,-101.43131059999999,-13.95169443,,319.9493283,2.578585028,0.08093459743442999,0.06009847224276652
2016-09-01,,7.485081967213114,,0.5057377049180328,,-21.36402899999999,101.43131059999999,-15.59830557,-37.0,27.400671669999998,-0.718585028,0.08249390774453678,-0.03486295835382174
2016-12-01,,5.824516129032258,,0.3932258064516129,,211.82944350000002,-119.3644006,-1.37377845599999,37.0,-14.63413847,0.570923454,0.08329645335188225,0.1727760140779658
2017-03-01,,5.166031746031747,,0.3498412698412699,,-175.7294435,119.3644006,12.28377846,-21.0,7.174138466999989,1.109076546,0.08345935334737643,0.010982309185268246
2017-06-01,,4.301129032258065,154.48290322580644,1.1487096774193548,,-76.78390054,-107.055389,-14.017038079999999,,317.70483060000004,1.687766046,0.08474168699200911,0.11840272303661203
2017-09-01,,3.6008333333333336,129.31483333333333,0.9620000000000002,,168.3739005,107.055389,30.35703808,-4.0,-10.31483056,1.372233954,0.08590185937640983,-0.1253621851581591
2017-12-01,,3.06171875,110.00328125,0.8178124999999999,,-37.587258229999996,264.8219251,-11.22550274,4.0,-7.637744691999999,-0.031167217,0.08674994393847325,-0.0003875893023430942
2018-03-01,,2.727719298245614,97.98157894736842,0.7285964912280702,,-41.62274177,-264.8219251,10.435502739999999,-51.0,-4.572255308,0.421167217,0.08590006955844341,0.03301147374122027
2018-06-01,,3.4634426229508195,,0.7198360655737704,,-93.82076901,-79.04754327,-25.576149339999997,,270.1489944,0.37155296199999,0.08481211234992268,-0.012316301904575175
2018-09-01,,4.047666666666667,,0.8415,,55.880769009999995,79.04754327,27.066149340000003,-6.0,-5.838994434,1.49844703799999,0.08658439950202064,0.031788635095030944
