,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,,,,,,-100.0,-100.0,-100.0,,,,,
2007-09-01,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,
2010-09-01,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,
2011-06-01,,,,,,,,,,,,,
2011-09-01,,,,,,,,,,,,,
2011-12-01,,,,,,,,,,,,,
2012-03-01,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,
2012-09-01,,,,,,,,,,,,,
2012-12-01,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,
2014-03-01,,,,,,,,,,,,,-2.4793801617709663
2014-06-01,,,,,,,,,,97.14979145,1.320514486,,
2014-09-01,,,,,,,,,,-0.48979144599999996,2.03948551399999,,
2014-12-01,,,,,,-15.936145439999999,-39.38303295,-1.418725204,,1.649834194,0.382007482,0.06933543284195888,
2015-03-01,375.79875,3.66125,117.5675,5.266249999999999,,83.33614544,318.573033,4.058725204,4284.0,-18.34983419,0.41799251799999,0.06899817148290573,-0.5788864290773929
2015-06-01,40.27416666666667,3.3046666666666664,30.6055,3.5773333333333333,,-92.31203134,-55.90134226,-15.96412349,,78.04751488,0.471970423,0.06844766080628506,0.18680129881916022
2015-09-01,45.285806451612906,3.716129032258064,34.415000000000006,4.0230645161290335,,48.35203134,-47.60865774,23.96412349,-125.0,-2.86751487899999,1.268029577,0.06822174241489491,-0.11059876075668917
2015-12-01,44.864126984126976,3.682063492063492,34.09428571428572,3.9847619047619056,,74.28347094,,169.8676265,125.0,50.085468840000004,0.10816939,0.06727563153058395,-0.032632866602214365
2016-03-01,41.19079365079365,3.3795238095238096,31.301269841269843,3.658253968253968,,-112.92347089999998,,-17.717626459999998,20636.0,6.044531159,-1.5681693900000002,0.06733594918266733,-0.009061244552145358
2016-06-01,8.3055,1.5700000000000005,7.535666666666668,1.709666666666667,0.3398333333333333,471.8498559,393.5438307,-10.16505937,,136.2790191,-6.702806166,0.06803251854124781,-0.2402008091826547
2016-09-01,7.145737704918033,1.351967213114754,6.482295081967213,1.4708196721311473,0.3962295081967213,-471.8498559,-393.5438307,,-1780.0,0.550980929,4.792806166,0.06754266925707435,0.14897319141573376
2016-12-01,7.948548387096774,1.5020967741935485,7.21016129032258,1.6356451612903224,0.3558064516129032,5.621071348,7.421784858,-6.088145644,1780.0,-13.93485231,1.55654591899999,0.06746461343277609,0.31904193325962465
2017-03-01,8.109047619047619,1.5331746031746032,7.355714285714287,1.669047619047619,0.3512698412698412,270.0689287,-103.5117849,,650.0,-12.24514769,0.853454081,0.06804998972778356,-0.061194237623889904
2017-06-01,225.1420967741935,1.1954838709677418,39.82064516129032,0.859516129032258,0.4359677419354839,-35.00318357999999,-507.1121022,-15.62439247,,99.43749727,2.044062361,0.06785449214297112,0.18448315976313076
2017-09-01,235.4688333333333,1.2513333333333334,41.64783333333334,0.8991666666666664,0.4175,35.00318357999999,507.1121022,19.19439247,-5482.0,-6.37749727,0.755937639,0.06771656139466166,0.13700432838002152
2017-12-01,242.23484375,1.2865624999999998,42.84390625,0.92578125,0.4059375,-13.80705656,24.51894591,2.369096276,5482.0,-2.882767091,0.04755342399999,0.06762724988999312,0.08955054067398655
2018-03-01,246.8145614035088,1.310877192982456,43.65403508771929,0.9435087719298246,0.3985964912280702,545.4270566,471.4310541,-1.749096276,3879.0,4.842767091,0.162446576,0.06781093892443302,-0.042436195830184785
2018-06-01,201.64163934426225,1.2201639344262296,38.49639344262295,0.9,0.6100000000000001,-22.13703577,-70.68093503,-3.7158815589999996,,93.4794653,2.797783295,0.06794922275190397,0.33788058753485356
2018-09-01,38.784,1.0136666666666665,22.158833333333337,0.8469999999999999,1.546833333333333,71.78703577,70.68093503,13.57588156,4639.0,2.210534704,1.01221670499999,0.06819088148732265,0.2908238342013259
2018-12-01,36.57934426229507,0.9565573770491804,20.90000000000001,0.8,1.6365573770491806,-27.58247526,-29.021847619999992,-1.8573499869999999,-4639.0,-5.273669529999999,-0.095772435,0.06873822043096044,0.8474828138466265
2019-03-01,32.65112903225807,0.8532258064516133,18.654354838709672,0.7141935483870968,1.838225806451613,3.19247526,196.7318476,-1.592650013,10384.0,-2.35633047,-0.174227565,0.06858512990272954,-0.01772591783258205
