,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,37.846310519999996,4.703276023,,
2010-09-01,,,,,,,,,,1.4836894809999999,2.95672397699999,,
2010-12-01,,,,,,-5.5532496049999995,-13.50919683,3.00010012,,-3.5316605939999897,0.623549324,,
2011-03-01,,,,,,30.9532496,37.83919683,40.31989988,,2.581660594,1.516450676,,
2011-06-01,,,,,,-44.212826469999996,-46.33550778,-19.64784651,,34.25866295,9.255808468,,
2011-09-01,,,,,,76.96282647,74.09550778,33.63784651,2106.0,0.6313370499999901,-0.325808468,,
2011-12-01,,,,,,-18.869302939999997,-15.951305790000001,-0.10627537899999999,1018.0,0.26478497,-0.6678792059999901,,
2012-03-01,,,,,,-14.28069706,-11.82869421,-3.833724621,-3124.0,1.68521503,0.607879206,,
2012-06-01,,,,,,-48.95366559,-50.26256793,-9.863995198,,33.51289241,5.89152403399999,,
2012-09-01,,,,,,47.93366558999999,45.53256793,29.7139952,,6.007107589,1.478475966,,
2012-12-01,,,,,,8.235936582,-3.7558922879999996,12.06604759999999,,1.966523885,0.358985768,,
2013-03-01,,,,,,24.81406342,30.355892289999996,-3.7860476,,-3.876523885,1.4110142319999999,,
2013-06-01,,,,,,-43.85393528,-46.54236305999999,-16.86978543,,37.4148043,8.445817026,,
2013-09-01,,,,,,58.53393528,49.69236306,38.15978543,,3.1651957029999997,-1.475817026,,
2013-12-01,,,,,,45.8318301,28.36793263,0.921079855,,1.318292245,0.445268599,,
2014-03-01,,,,,,-69.9018301,-52.59793263,-6.801079855,,-5.418292245,-0.23526859900000002,,-1.3686414125395014
2014-06-01,,,,,,-24.03809471,-2.9754071619999998,-8.726947565,,36.48967523,5.483177324,,
2014-09-01,,,,,,45.81809470999999,31.285407160000002,29.83694757,2481.0,1.160324774,1.5268226759999999,0.06830836123839484,
2014-12-01,,,,,,-23.894069209999998,-22.443686109999998,-12.48204078999999,-2481.0,-2.193730461,0.088287041,0.06774169273132452,3.163683041788635
2015-03-01,78.98100000000001,6.9285,34.55625,3.5010000000000003,,19.47406921,26.31368611,3.4520407910000004,5338.0,-3.846269539,0.411712959,0.0687552084898695,-0.37252314260514635
2015-06-01,50.39366666666667,5.0585,25.704000000000004,2.635333333333333,0.1873333333333333,-30.19024148999999,-30.98663728,-11.68939767,,35.007895239999996,6.807108777,0.06874594046071568,0.38445675419594516
2015-09-01,50.26935483870969,5.044677419354838,25.641129032258064,2.6277419354838707,0.1875806451612902,37.07024149,39.25663728,10.37939767,2686.0,-0.967895241,0.782891223,0.06872096735940182,0.1929183307770236
2015-12-01,50.60603174603175,5.07936507936508,25.813492063492063,2.645396825396826,0.186031746031746,-26.55511275,-12.89229756,-4.376116083,-2686.0,-0.315984157,-0.38307465699999,0.06875333886925807,0.053760067691569956
2016-03-01,50.30952380952381,5.04984126984127,25.660634920634923,2.63015873015873,0.1877777777777776,18.80511275,10.95229756,5.126116083,5676.0,-1.174015843,0.283074657,0.06991087551004861,0.08015297090066498
2016-06-01,37.348333333333336,3.5721666666666665,19.81216666666667,2.0875000000000004,0.2399999999999999,-28.42252664999999,-3.73781777,-17.09091151,,28.35595077,7.134909586,0.07116393729194663,0.22732584248794682
2016-09-01,28.89803278688525,2.7639344262295085,15.329999999999998,1.614918032786885,0.3073770491803279,28.01252665,24.07781776999999,15.08091151,3233.0,0.464049231,0.5750904139999999,0.0714754459241723,0.13001961116071872
2016-12-01,27.247258064516128,2.6067741935483872,14.45483870967742,1.5232258064516129,0.325,1.3238970399999999,-19.19946892,-2.480664852,-3233.0,0.922422527,0.283074665,0.0717548285430238,-0.0008647625086352142
2017-03-01,25.74809523809524,2.463174603174603,13.658095238095235,1.439206349206349,0.3442857142857142,5.68610296,4.519468917,8.650664852,5997.0,-0.432422527,-0.32307466499999,0.07222279506928801,0.10761029823184158
2017-06-01,22.241451612903223,2.005967741935484,12.446935483870968,1.2625806451612904,0.5640322580645162,-10.17773254,-31.29479089,-9.755093231,,29.052590010000003,6.837578981,0.07148890545495273,0.23042664507291055
2017-09-01,25.78366666666667,2.3265,14.432,1.4623333333333333,0.4903333333333333,23.79773254,23.09479089,28.88509323,2968.0,1.537409987,0.522421019,0.07082405771363802,0.24447750476270658
2017-12-01,29.236562500000005,2.638125,16.364375,1.65734375,0.42875,3.4836094409999996,3.852534609,-2.7469857689999997,-2968.0,-0.896267456,0.324085291,0.0702377179698377,0.17352429766240673
2018-03-01,32.98052631578948,2.974210526315789,18.459122807017547,1.870175438596491,0.38,-0.443609441,18.677465389999988,-2.703014231,6856.0,-2.443732544,0.185914709,0.069165787635093,0.07560052580053356
2018-06-01,40.34754098360656,3.663934426229508,22.84524590163935,2.290163934426229,0.370983606557377,-11.99518145,-16.973472219999998,-4.44874782,,30.93250963,7.711990670999989,0.0695991812546247,0.3542492614908533
2018-09-01,32.87533333333333,3.136,20.202500000000004,1.875,0.8915,38.05518145,55.39347221999999,11.19874781999999,4108.0,-1.912509633,0.978009329,0.069651117040618,0.1978687282322588
2018-12-01,32.3044262295082,3.080819672131147,19.85131147540984,1.842295081967213,0.9083606557377047,-16.03487173,-23.52516521,-1.990808387,-4108.0,1.545750878,-0.15386698,0.07021622218778768,0.20477374186893138
