,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,소형주,외국인 순매수 강도
2007-06-01,,,,,,,,,,,,,
2007-09-01,,,,,,,,,,,,,
2007-12-01,,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,,
2008-06-01,,,,,,,,,,,,,
2008-09-01,,,,,,,,,,,,,
2008-12-01,,,,,,,,,,,,,
2009-03-01,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,
2009-09-01,,,,,,,,,,,,,
2009-12-01,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,
2010-09-01,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,
2011-06-01,,,,,,,,,,,,,
2011-09-01,,,,,,,,,,,,,
2011-12-01,,,,,,,,,,,,,
2012-03-01,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,
2012-09-01,,,,,,,,,,,,,
2012-12-01,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,
2014-03-01,,,,,,,,,,,,,
2014-06-01,,,,,,,,,,,,,
2014-09-01,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,
2017-06-01,,,,,,-100.0,-100.0,-100.0,,,,,
2017-09-01,,,,,,,,,,,,,
2017-12-01,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,
2018-06-01,,,,,,,,,,,,,
2018-09-01,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,
2019-06-01,,,,,,,,,,751.3300583,38.77126212999999,,
2019-09-01,,,,,,,,,,,-10.24126213,,
2019-12-01,,,,,,-3.41652469199999,46.961209659999994,19.035426129999998,,,-5.501464513,,
2020-03-01,,,,,,23.086524689999997,-35.86120966,-21.94542613,,-15.71642124,10.01146451,,
2020-06-01,,,,,,76.37169082,117.372443,28.66594329999999,,53.136853419999994,,,
2020-09-01,,,,,,219.3283092,138.877557,66.2840567,,-3.556853415,-11.45162493,,
2020-12-01,,,,,,3.903607906,-0.8977781210000001,-7.702867288999999,,-8.093340717,-2.8259997969999997,,
2021-03-01,,,,,,-184.2136079,-155.8722219,-33.63713271,68855.0,0.11334071699998999,-8.744000203,,1.2041248901026955
2021-06-01,,,,,,145.4203007,369.4491275,6.376952308,4780.0,47.614851009999995,,,
2021-09-01,,,,,,-167.2903007,-386.6491275,-2.64695230799999,3443.0,-1.694851009,-5.670120896,0.0682134234928767,-1.0557700021893637
2021-12-01,34.84939393939394,,32.28666666666667,11.605454545454544,,12.115759769999999,26.18675331,13.626197179999998,-8223.0,-28.57104432,-2.241300824,0.06809205645319912,0.7178703973177326
2022-03-01,35.61666666666667,,32.99809523809524,11.86079365079365,,-7.5957597660000005,-15.52675331,-4.436197182,12022.0,4.931044323,-7.458699176,0.0703776547658982,0.02018587286489648
2022-06-01,23.095084745762705,9.221525423728812,21.1742372881356,7.383220338983051,,625.5480447,,17.784969969999988,,19.04507326999999,,0.07114766335965396,0.0686435819465339
2022-09-01,22.632258064516133,2.753064516129032,20.02967741935484,6.238064516129032,,-607.3980447,,-14.92496997,9368.0,-2.285073267,-9.543413768,0.07155425629984216,-0.1334626631502068
2022-12-01,20.953015873015875,2.5484126984126987,18.54301587301588,5.774603174603173,,-13.577198379999999,16.730508449999988,2.38442798999999,-9368.0,-0.115077417,-5.576313116,0.07270465134597949,0.28418614973454265
2023-03-01,16.848387096774196,2.0490322580645164,14.910967741935483,4.643387096774193,,12.927198379999998,-51.49050845000001,-6.954427990000001,10666.0,1.29507741699999,-3.973686884,0.07323710484512082,-0.18032876037069706
