,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,,회계연도
0,(주)BNK금융지주,138930,2011,,,,,,,,2011-06
1,(주)BNK금융지주,138930,2012,,,,,,,,2012-06
2,(주)BNK금융지주,138930,2013,,,,,,,,2013-06
3,(주)BNK금융지주,138930,2014,,,,,,,,2014-06
4,(주)BNK금융지주,138930,2015,,,,,,,,2015-06
5,(주)BNK금융지주,138930,2016,,,,,,,,2016-06
6,(주)BNK금융지주,138930,2017,,,,,,,,2017-06
7,(주)BNK금융지주,138930,2018,,,,,,,,2018-06
8,(주)BNK금융지주,138930,2019,,,,,,,,2019-06
9,(주)BNK금융지주,138930,2020,,,,,,,,2020-06
10,(주)BNK금융지주,138930,2021,,,,,,,,2021-06
11,(주)BNK금융지주,138930,2022,,,,,,,,2022-06
12,(주)DB하이텍,990,2007,,,,-343,63.74716056,-3.641757513,,2007-06
13,(주)DB하이텍,990,2008,17.61074187,-400.2229343,22.06434978,1239,-3.867163631,0.220655893,,2008-06
14,(주)DB하이텍,990,2009,246.9357837,70.95698087,44.97096668,-445,-7.726963271,8.239875779,,2009-06
15,(주)DB하이텍,990,2010,98.6378892,113.7770875,-15.90995625,-1337,-65.47713878,-0.221917874,,2010-06
16,(주)DB하이텍,990,2011,101.812025,98.25793758,138.4082301,-216,-14.66421166,-1.613374441,,2011-06
17,(주)DB하이텍,990,2012,-3.871560151,63.20215454,-6.492529477,-168,-3.710186498,3.144768077,,2012-06
18,(주)DB하이텍,990,2013,64.35252244,-38.53644927,13.83926521,-63,13.18032145,8.006832953,,2013-06
19,(주)DB하이텍,990,2014,236.0469897,44.57656003,-7.996802903,-130,27.91912637,3.52995549,,2014-06
20,(주)DB하이텍,990,2015,332.4095288,426.0893588,20.80200167,586,-84.48304954,2.879464394,,2015-06
21,(주)DB하이텍,990,2016,49.15422973,-250.8232543,24.66742428,458,-41.4797426,0.571483442,,2016-06
22,(주)DB하이텍,990,2017,-10.05430611,-111.5109957,2.891774331,604,-30.58864878,-0.652417759,,2017-06
23,(주)DB하이텍,990,2018,-46.90849934,62.39205249,-6.29173869,789,-10.38265199,5.74343458,,2018-06
24,(주)DB하이텍,990,2019,67.21618319,39.21868806,27.15506308,1094,-1.847060856,5.190438175,,2019-06
25,(주)DB하이텍,990,2020,62.52266923,-218.4357232,18.80503417,1159,-15.30995293,1.667531605,,2020-06
26,(주)DB하이텍,990,2021,-99.17051279,-251.0708901,3.91314914,1359,-3.700649286,2.530851969,,2021-06
27,(주)DB하이텍,990,2022,146.6155411,163.932273,52.87411248,3703,-4.691569269,1.56215628,,2022-06
28,(주)JB금융지주,175330,2014,,,,,,,,2014-06
29,(주)JB금융지주,175330,2015,,,,,,,,2015-06
30,(주)JB금융지주,175330,2016,,,,,,,,2016-06
31,(주)JB금융지주,175330,2017,,,,,,,,2017-06
32,(주)JB금융지주,175330,2018,,,,,,,,2018-06
33,(주)JB금융지주,175330,2019,,,,,,,,2019-06
34,(주)JB금융지주,175330,2020,,,,,,,,2020-06
35,(주)JB금융지주,175330,2021,,,,,,,,2021-06
36,(주)JB금융지주,175330,2022,,,,,,,,2022-06
37,(주)KB금융지주,105560,2009,,,,,,,,2009-06
38,(주)KB금융지주,105560,2010,,,,,,,,2010-06
39,(주)KB금융지주,105560,2011,,,,,,,,2011-06
40,(주)KB금융지주,105560,2012,,,,,,,,2012-06
41,(주)KB금융지주,105560,2013,,,,,,,,2013-06
