,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,소형주,외국인 순매수 강도,종목코드,수익률
2020-12-01,36.6401,7.1218531249999995,27.701800000000002,3.908565625,0.8218937500000001,8.424907799700001,13.915460170500001,17.246284941699997,-26203.8,-2.9460057994500004,0.07112790876438535,0.13921035235268134,051900,-0.08072048032021348
2021-03-01,39.67095081967214,7.710622950819671,29.99451803278689,4.231363934426229,0.7563672131147541,-6.7134077997,-10.9964601705,-14.228884941699992,48547.92,-3.21749420055,0.07106535277201248,-0.0656114759542977,051900,0.026054590570719603
2022-03-01,30.21617777777778,5.261114285714286,22.740266666666667,3.237133333333333,0.9740396825396824,-13.4619835455,-17.397885571499987,-10.423565485020001,51402.9,-0.9063294933,0.0735087232341084,-0.3941144924149137,051900,0.22282608695652173
2007-09-01,22.18990967741937,2.849509677419355,7.129341935483873,0.6590870967741935,1.2489661290322585,58.497398568,30.544029264000002,36.4471805171,4917.42,-17.113428748500002,0.07872314824724291,-1.5714397316216686,051910,-0.23076923076923078
2008-03-01,38.0763870967742,4.890338709677422,12.233832258064517,1.1324193548387098,0.7229403225806452,-57.6713110365,11.47690623449999,-4.95287790377999,9482.94,14.6964166125,0.07880291187375989,0.032532915413920005,051910,0.15234822451317298
2008-06-01,13.376839344262295,2.7880885245901634,7.011934426229508,0.8497934426229506,1.954065573770492,-43.310209782,-6.52184563799999,-42.648138527300006,3164.04,84.6670819575,0.07746098182993023,0.7416638800222762,051910,-0.37551581843191195
2009-03-01,12.36586666666667,2.5774571428571424,6.481422222222222,0.7859174603174601,2.1347349206349207,-186.307485105,-16.424700589500002,-47.222632658500004,746.64,15.2253395595,0.07849323071034774,-0.16051265947205853,051910,-0.19840213049267644
2009-06-01,10.973796721311478,2.363095081967213,6.902872131147543,0.7975639344262296,2.289449180327869,2320.37712795,567.6864147150001,-12.045996228000002,3523.08,76.39972166400001,0.0765522770565272,-0.04631628132461495,051910,-0.55
2010-03-01,19.9136,4.2893936507936505,12.526755555555559,1.4450317460317461,1.2634492063492064,29.853360579,17.716738032000002,7.341985773290001,3003.9,22.3131022485,0.07378576336176833,-0.015342696425652435,051910,-0.07366071428571429
2010-09-01,15.748283870967743,4.157025806451612,11.348670967741935,1.6129838709677415,1.3566564516129027,-43.164466338000004,-121.00411995,19.1830672033,15947.7,-7.8493045113,0.07174563892186603,1.057978573548764,051910,-0.09523809523809523
2010-12-01,18.622933333333336,4.916104761904762,13.421333333333333,1.907104761904762,1.1432015873015875,-6.228903845850001,-7.568024681700001,-0.14172901354,-15947.7,-12.79981137749999,0.07119025204123655,1.1728431431516775,051910,-0.18484848484848485
2011-12-01,15.384000000000002,4.531761904761905,11.73066666666667,1.7962222222222224,1.0990428571428572,-6.914922154350001,-18.9737744805,3.4902312526900006,-17370.6,-3.099480174,0.07165321155447472,-0.31677917369454595,051910,-0.07993197278911565
2012-03-01,12.884622222222225,3.7960412698412695,9.82577777777778,1.5047809523809519,1.278904761904762,-1.8105778456500004,8.620774477349999,-5.57673125269,29650.38,-1.7515198259999998,0.07111964717000734,0.6931765913033574,051910,-0.15625
2012-09-01,11.73190819672131,2.7623606557377043,8.665127868852458,1.1652983606557377,1.4260819672131144,-33.673788392999995,-43.0342089135,2.3813697279499895,10428.48,-10.4727203847,0.0720166233491017,0.16823506171159452,051910,-0.13917525773195877
2012-12-01,12.116125000000002,2.8515437500000003,8.948275,1.2036,1.3690984375000004,20.522760489000003,24.0024956325,-2.8929665317300004,-10428.48,3.12350367105,0.07197678029396117,0.3792108389132134,051910,0.017857142857142856
2013-09-01,14.221290322580646,2.103445161290323,8.974812903225805,0.9617000000000001,1.6692,-24.53675206499999,-19.310387061000004,-1.7552767031900003,10226.52,-2.48834960115,0.07236920010518111,0.015259975318925192,051910,-0.21782178217821782
2016-03-01,29.471822222222222,2.217650793650793,12.674666666666667,1.1934857142857145,1.389301587301588,14.6569552185,21.989962879500002,0.9626071398699894,15987.48,-0.3634297474499999,0.0719140683510942,0.4835822366889253,051910,0.040995607613469986
2016-09-01,20.50316065573771,1.915662295081967,9.813403278688526,1.2326163934426229,1.7002475409836066,-15.087037549500002,-44.417388540000005,4.65786522276,9937.86,3.52600685535,0.07287271845885686,-0.2812851326476625,051910,0.06395348837209303
2016-12-01,18.179225806451612,1.6984387096774194,8.699870967741937,1.0932129032258067,1.9042548387096776,-26.137448694000003,-21.82750796099999,-3.3816584789500004,-9937.86,-0.7228896748500001,0.07306603243349351,-0.45469154626727054,051910,-0.09894736842105263
2017-03-01,17.459555555555557,1.6300857142857146,8.35608888888889,1.0494507936507935,1.9835761904761908,19.375448694,11.432507961,4.65495847895,17765.34,-0.7996103251500001,0.07220800080665714,0.354704352347361,051910,-0.16205533596837945
2018-09-01,16.089173333333335,1.9959700000000002,9.35032,1.2834466666666666,1.8022366666666667,-17.809128183,-76.087611894,4.101104585680001,13432.380000000001,1.1501283255,0.07097773293702159,-0.45400959671644103,051910,-0.15118110236220472
2018-12-01,15.98625573770492,1.9823999999999997,9.289390163934428,1.274980327868852,1.8151409836065575,-15.065968428000001,-31.239625452000002,2.7767928514199895,-13432.380000000001,3.76898468205,0.07116669322553679,-0.12483219614404834,051910,0.05834464043419267
