,정상영업이익증가율,1주당순이익,매출액증가율,외국인 순매수 강도,종목코드,수익률
2009-12-01,-30.824606802999988,801.4499999999999,-14.373139299999986,0.5560322419103088,000080,0.0624263839811543
2010-06-01,-34.045727992399996,866.9699999999999,-77.732626023,-0.1467611556318591,000080,0.0423728813559322
2011-03-01,45.719129254199984,-824.8499999999999,23.493778854000002,0.2747462051349631,000080,-0.008426966292134831
2011-09-01,32.851883218599994,1843.9199999999998,71.138816489,-0.2752049730580466,000080,0.26061493411420206
2013-12-01,-8.18811437398,-621.27,7.2897946134,0.08530027160544981,000080,0.1787709497206704
2014-09-01,11.92272950322,106.47,13.647440807,0.29867557724849964,000080,-0.05466970387243736
2014-12-01,26.5403058166,-106.47,3.745344421,0.3647197285313561,000080,0.025157232704402517
2015-09-01,-66.500581182,241.01999999999998,12.151004798399999,-1.686363240958208,000080,0.002188183807439825
2015-12-01,87.547514638,-241.01999999999998,6.130975121700001,-0.471324061630321,000080,0.012658227848101266
2017-09-01,97.4880270336,-124.02,19.832437989000002,1.5300558226398069,000080,-0.12633832976445397
2017-12-01,75.3435493818,124.02,9.7665349847,1.199010448301772,000080,0.09737827715355805
2018-03-01,-6.425749381799999,212.94,-9.0645349847,-0.2633094368175314,000080,0.07991803278688525
2019-03-01,-583.9374891640001,373.22999999999996,-3.4198158683,-0.1477046139967229,000080,-0.13496932515337423
2019-09-01,46.9160264192,-725.4,18.20276428099999,-1.4781846862060126,000080,-0.3399014778325123
2019-12-01,444.57453529599997,725.4,1.1511748144,0.3720055094401352,000080,-0.056466302367941715
2020-03-01,-343.47313529599995,-713.6999999999999,4.3868251856,-0.34981530182778026,000080,0.07093425605536333
2020-09-01,1891.0138030800001,1148.9399999999998,28.815785479000002,0.41599514915747243,000080,0.14605418138987045
2021-09-01,-164.729514484,888.03,-6.3864199191,-1.393331512145891,000080,0.10040705563093623
2021-12-01,6.41824258394,-888.03,-1.8525112372,-0.22607238279321645,000080,0.07230769230769231
2022-09-01,-56.41866377139999,1291.6799999999998,6.2264422324,1.0726553188731467,000080,0.13398692810457516
2022-12-01,-10.672300568219999,-1291.6799999999998,1.9242311634,0.31411271942531543,000080,0.048417132216014895
2023-03-01,-9.689499431779998,1462.5,-0.0002311634,0.3412513731820107,000080,0.08196721311475409
2007-12-01,-33.959510019,-6881.94,-0.4316022502999999,-0.7412770000238134,000100,-0.041025641025641026
2008-09-01,36.8852360366,4100.849999999999,25.307055774000002,0.26950297905379905,000100,0.013761467889908258
2008-12-01,-18.997010070600002,4573.53,0.431562638,1.7694936594061792,000100,-0.018518518518518517
2009-09-01,28.2762829054,3514.68,25.215159528,3.9649260807682616,000100,-0.040983606557377046
2009-12-01,-8.599538660819999,3356.73,-5.7938380682,0.9718347429601788,000100,0.07772020725388601
2010-06-01,-14.441586666400001,4034.16,-6.236504908400001,-0.1040946871519048,000100,0.10526315789473684
2011-03-01,53.5665903372,2351.7,11.1281273779,0.32546439219053774,000100,0.13953488372093023
2011-06-01,-54.049259168999995,3164.85,-7.5249029882,-1.334683825623051,000100,0.08783783783783784
2011-09-01,54.049259168999995,2110.68,7.5249029882,-0.7615252508021458,000100,0.20588235294117646
2012-06-01,1999.19299404,2991.6899999999996,-9.372161082699986,-0.7072894439111174,000100,-0.13617021276595745
2013-06-01,79.167734188,2600.91,6.5554726445,0.12498789620677984,000100,0.031578947368421054
2013-12-01,-32.5931005884,1790.1,-8.490890447,-0.44445729614689716,000100,0.05793450881612091
2014-06-01,-42.7079678078,2407.8599999999997,-16.624687144000003,0.39241968488182033,000100,0.0027548209366391185
2014-09-01,59.7147678078,3015.0899999999997,24.190687144,0.5648135487365437,000100,-0.04788732394366197
2014-12-01,-13.450649206,2886.39,2.0808537879999998,-0.10143377526684039,000100,0.08870967741935484
2015-09-01,71.12184747379999,3550.95,21.912494357,0.7148262306709887,000100,0.1161524500907441
2015-12-01,28.8580824224,5166.719999999999,19.019852800000002,1.801040062397841,000100,-0.12139917695473251
2017-09-01,-0.48782625613999986,3506.49,20.17266238,-0.0028497284707827,000100,0.14845360824742268
2017-12-01,7.23809302958,-6714.629999999999,8.6681119746,-0.8256532051658535,000100,-0.07352941176470588
2018-03-01,-50.6944930308,11905.92,-15.454111972,-0.4896435060610552,000100,-0.02304147465437788
2019-03-01,98.1565911694,5915.5199999999995,3.9547458560999997,0.03028187325556978,000100,-0.14832535885167464
2019-09-01,-94.5344053744,2063.8799999999997,17.839620188,-0.6206254613921932,000100,0.09145129224652088
2019-12-01,-197.35853148200002,-2063.8799999999997,8.268641167799998,-0.5253780986096129,000100,-0.030501089324618737
2020-03-01,225.918731482,3937.0499999999997,-7.6706411678,0.23100798273449794,000100,0.01079913606911447
2021-09-01,61.531039806599985,976.9499999999999,38.12278076099999,-0.3074054813235718,000100,0.0625
2021-12-01,-88.068656182,-976.9499999999999,5.4387369231000005,-0.06633574621465273,000100,-0.016366612111292964
2022-09-01,-81.3568545592,856.4399999999999,17.048157711,0.4043129719511211,000100,0.030357142857142857
2022-12-01,-154.685480794,-856.4399999999999,-13.839766772,0.3034186752040951,000100,-0.055350553505535055
2023-03-01,169.837880794,1554.9299999999998,7.599766766799987,-0.09787177389144039,000100,0.10283687943262411
2007-12-01,-22.255898007000003,-6268.86,-2.5998433968,-0.2398345150845137,000120,0.15833333333333333
2008-09-01,42.274868918,895.05,79.161772131,-0.00268913391692361,000120,0.04926108374384237
2008-12-01,86.3633253468,2007.7199999999998,27.793202359000002,0.5215693517374886,000120,0.09183673469387756
