,Kospi지수,원/달러 환율,원/엔 환율,국고채 3년 금리(%),국고채 10년 금리(%),kospi_per,kospi_pbr,vkospi200,g10_esi(%),wti,ustb_2y(%),ustb_10y(%),ustips_10y(%),vix(%),EPU index,usa_pmi,china_pmi,kr_export(%),kr_cpi_yoy(%),uscpi_yoy(%),treasury_10_3_diff(%),us_10_2_diff(%),us_e_infla(%),kr_real_rate(%),lables
2012-06-01,1854.01,1163.5238095238096,14.64804761904762,3.2879999625,3.632500052,12.1,1.17,22.658,-44.7,82.41,0.2919047619047618,1.6223809523809525,-0.050047619047619,21.13095238095238,169.62566666666672,51.0,48.2,0.9,2.2,1.7,0.3445000895000001,1.3304761904761906,0.78931,1.0879999624999996,2
2012-09-01,1996.21,1123.4525,14.350649999999998,2.8074999925000004,3.0434999575,12.86,1.25,18.8615,-10.2,94.72,0.2552631578947368,1.7231578947368418,-0.0713157894736842,15.284736842105264,146.6036666666667,52.2,47.9,-2.4,2.1,1.7,0.2359999649999999,1.4678947368421054,1.9315,0.7074999925000003,1
2012-12-01,1997.05,1074.7933333333335,12.795904761904763,2.8549999723809525,3.1288888977777773,12.92,1.25,15.25111111111111,21.075,88.25,0.2569999999999999,1.719,-0.07575,17.3445,211.77129032258063,50.4,51.5,-6.0,1.4,1.8,0.2758333694444444,1.4620000000000002,2.10291,1.4549999723809526,0
2013-03-01,2004.89,1103.492857142857,11.610238095238095,2.5967499750000003,2.9095000045000003,13.14,1.25,15.524499999999998,12.425,93.05,0.256,1.9575,-0.0585,13.0315,137.8290322580645,51.5,51.6,0.0,1.5,2.0,0.3127500294999999,1.7014999999999998,1.00494,1.0967499750000005,0
2013-06-01,1863.3199,1135.2509999999995,11.64845,2.861315776842105,3.304736866315789,13.05,1.11,16.853157894736842,-5.950000000000001,95.8,0.3335,2.3000000000000003,0.26185,17.2715,81.67000000000002,52.5,48.2,-1.0,1.2,1.4,0.4434210894736842,1.9665000000000008,1.35321,1.6613157768421052,2
2013-09-01,1996.96,1083.3447619047618,10.899666666666668,2.89444444,3.5316666761111115,13.76,1.18,15.725555555555555,34.775,106.29,0.404,2.8095,0.6639999999999999,14.691999999999998,116.717,56.0,50.2,-1.7,1.0,1.5,0.6372222361111111,2.4055000000000004,2.20242,1.89444444,1
2013-12-01,2011.34,1055.9557142857143,10.175863636363635,2.942857162857143,3.648571411904762,14.95,1.2,14.1935,21.6,97.63,0.3399999999999999,2.9019047619047624,0.7385714285714288,14.192380952380953,90.93870967741935,56.5,50.5,6.9,1.1,1.2,0.705714249047619,2.5619047619047617,1.92403,1.8428571628571428,0
2014-03-01,1985.61,1070.5661904761905,10.43652380952381,2.8763809428571427,3.5447618957142857,14.78,1.18,13.61047619047619,-10.225,100.8,0.3990476190476191,2.7233333333333327,0.5557142857142857,14.83666666666667,72.93064516129033,54.4,48.0,3.7,1.3,1.1,0.6683809528571428,2.3242857142857143,1.21946,1.5763809428571427,1
2014-06-01,2002.21,1019.0799999999998,9.959380952380952,2.7472631815789472,3.287052618947369,15.74,1.14,11.296842105263158,-16.4,105.79,0.4523809523809524,2.5985714285714283,0.3695238095238094,11.54142857142857,68.89599999999999,55.7,50.7,2.4,1.7,2.1,0.539789437368421,2.1461904761904766,1.52655,1.0472631815789473,2
2014-09-01,2020.09,1036.0904545454548,9.617227272727272,2.406684235789473,3.014473677368421,15.8,1.15,11.895263157894735,-9.125,93.21,0.5666666666666667,2.5342857142857147,0.4609523809523811,13.466666666666669,57.96766666666666,56.1,50.5,6.8,1.1,1.7,0.6077894415789473,1.967619047619048,2.11504,1.3066842357894737,0
2014-12-01,1915.59,1103.1360869565217,9.20804347826087,2.1458695660869567,2.681130430869566,15.32,1.11,13.144285714285717,5.025,59.29,0.6354545454545455,2.2072727272727275,0.5104545454545455,16.292272727272728,66.24161290322581,55.1,49.5,3.6,0.8,1.3,0.5352608647826089,1.5718181818181818,2.1861,1.3458695660869566,2
2015-03-01,2041.03,1112.902272727273,9.214045454545454,1.8665909113636363,2.277363636818181,16.98,1.19,11.495454545454544,-10.025,47.82,0.6404545454545455,2.0427272727272725,0.2809090909090909,14.812727272727274,62.27483870967742,51.5,49.6,-4.3,0.5,0.0,0.4107727254545454,1.4022727272727271,0.79844,1.3665909113636363,1
2015-06-01,2074.2,1111.847727272727,8.975863636363638,1.7751363613636364,2.467636357727273,16.87,1.14,13.991363636363635,-5.575,59.82,0.6886363636363636,2.363636363636364,0.4977272727272728,14.339545454545457,67.026,53.5,49.9,-2.4,0.7,0.0,0.6924999963636362,1.6749999999999998,1.77505,1.0751363613636364,1
2015-09-01,1962.8101,1185.2045454545455,9.848181818181818,1.6537500025,2.216750013,15.12,1.1,20.6315,-0.1000000000000002,45.48,0.7133333333333334,2.1728571428571435,0.6500000000000001,24.377142857142857,87.06199999999998,50.2,47.2,-8.4,0.5,0.2,0.5630000105,1.4595238095238094,1.92836,1.1537500025,2
2015-12-01,1961.3101,1173.5890909090908,9.631217391304348,1.7170000026086956,2.1768260834782605,15.07,1.1,14.965714285714284,-5.975,37.19,0.9827272727272728,2.242727272727273,0.7277272727272728,18.025454545454547,71.08064516129032,48.0,48.2,-14.1,1.1,0.5,0.4598260808695652,1.2600000000000002,1.46796,0.6170000026086955,2
2016-03-01,1995.85,1182.2373913043475,10.433565217391305,1.498086954347826,1.851043473478261,16.2,1.12,13.386818181818182,-19.9,37.55,0.8750000000000001,1.889090909090909,0.3372727272727273,15.84909090909091,63.63,51.7,49.7,-8.1,0.8,1.0,0.3529565191304348,1.0140909090909092,0.78225,0.6980869543478261,0
2016-06-01,1970.35,1165.7886363636362,11.029454545454543,1.3412227272727273,1.625518181818182,13.83,1.04,15.305714285714286,-1.7999999999999998,48.76,0.7313636363636362,1.6440909090909093,0.1740909090909091,17.774545454545457,133.64800000000002,52.8,48.6,-2.7,0.7,1.0,0.2842954545454546,0.9127272727272728,1.28116,0.6412227272727273,1
2016-09-01,2043.63,1109.7704545454546,10.85668181818182,1.3142545454545456,1.517368181818182,14.51,1.08,12.747368421052634,0.6000000000000001,45.18,0.7709523809523811,1.6304761904761906,0.1214999999999999,14.219523809523809,50.28933333333334,51.7,50.1,-5.9,1.3,1.1,0.2031136363636363,0.8595238095238094,2.06444,0.0142545454545455,0
2016-12-01,2026.46,1184.9363636363637,10.170272727272726,1.6945818181818182,2.1577454545454544,13.92,1.0,11.655238095238095,34.875,51.97,1.1966666666666668,2.491904761904762,0.5561904761904762,12.472380952380954,123.92709677419356,54.5,51.9,6.4,1.3,1.7,0.4631636363636362,1.2952380952380953,2.29173,0.3945818181818181,2
