,PSR,1주당순이익,부채비율,매출액정상영업이익률,소형주,종목코드,수익률
2013-03-01,1.1772,1766.3999999999999,-4.4601294777,-4.72181480136,0.11167700803224544,000080,-0.07802547770700637
2014-03-01,0.937751612903226,1344.35,6.851268361600001,-0.7630163647199893,0.1151668976977371,000080,-0.08045977011494253
2015-03-01,1.0326870967741935,339.25,2.4980261293000003,-0.71934869556,0.11504991212234766,000080,0.017699115044247787
2013-03-01,3.0425295081967216,4322.849999999999,-1.2941827613,-0.17445042684,0.11286896242845477,000100,-0.1072463768115942
2014-03-01,2.8155403225806457,2432.25,1.605768944,0.6343027001999894,0.11226408784089552,000100,0.005479452054794521
2015-03-01,2.2258854838709676,1938.8999999999999,5.1675346164,0.5378700002399892,0.11327693273369364,000100,-0.10650887573964497
2015-06-01,2.035211666666667,2728.95,38.707885788,6.655659634800001,0.11027362897313042,000100,-0.365
2016-06-01,3.085971666666667,5739.65,49.195666909999986,7.77616937316,0.10829918238098303,000100,-0.08896797153024912
2013-03-01,1.0501524590163935,5477.45,-5.0164744981,-1.2759727543200001,0.11091280407265136,000120,0.050241545893719805
2014-03-01,0.8517822580645161,-2811.75,3.351239736,0.82193548392,0.11098348221810256,000120,-0.13453815261044177
2015-03-01,1.256137096774194,1407.6,-5.02508565,0.45388878552000006,0.10657808252462003,000120,-0.04
2013-03-01,0.8862950819672133,4451.65,6.4245838774,-3.4850721636,0.10976127063468621,000150,0.015209125475285171
2014-03-01,0.1350193548387097,6726.349999999999,-158.72025754,-0.14183742168000002,0.10908549719975112,000150,-0.03745318352059925
2015-03-01,0.11638387096774196,3598.35,-15.147512237,-0.24965692020000002,0.11020453204767922,000150,-0.1477832512315271
2013-03-01,0.37596065573770493,11647.199999999999,3.7217972285,-0.2875346143199892,0.1087320888030036,000210,-0.03615819209039548
2014-03-01,0.3596999999999999,-745.1999999999999,13.763841819000001,-4.80495591,0.10914982041843253,000210,0.06371490280777538
2015-03-01,0.26722580645161287,-13530.9,15.539268394,-2.3801281045199896,0.1122154056052078,000210,-0.0015503875968992248
2013-03-01,0.42670819672131155,7093.2,7.1288252632999995,10.554156303840001,0.127339885788185,000240,0.06297229219143577
2015-03-01,9.13121129032258,537.05,-0.15942815200000002,-2.04244040376,0.11210090922354277,000240,0.14052953156822812
2013-03-01,0.6204065573770493,10977.9,-12.844270770500001,-1.5549204355200001,0.09456558508458521,000270,0.012433392539964476
2014-03-01,0.5646903225806452,2694.45,1.2690187614,-0.41260221612000003,0.09449042828481438,000270,-0.1252371916508539
2015-03-01,0.5059709677419354,1239.6999999999998,4.9900404996,-0.42529573044,0.09538031440568827,000270,0.13575525812619502
2015-06-01,0.4465366666666667,2572.5499999999997,111.219643873,4.9436154306,0.09540536845983841,000270,-0.023728813559322035
2016-06-01,0.42746166666666663,2711.7,125.187842858,5.40984983651999,0.0955216175617249,000270,0.0818278427205101
2020-06-01,0.29430000000000006,762.4499999999999,121.85455106500001,3.2952273994800003,0.09826663228471995,000270,-0.25440313111545987
2013-03-01,0.08862950819672126,-267.95,-6.414755392500001,1.2406129754400002,0.09567259489571649,000660,0.10508083140877598
2014-03-01,0.06821290322580643,4651.75,-9.9112202774,-0.18775274904000003,0.0932134979878261,000660,-0.27837837837837837
2015-03-01,0.10337419354838703,6718.299999999999,1.5915744442,1.1885861970000002,0.09172722849918111,000660,0.07482993197278912
2015-03-01,0.7589564516129034,85638.2,-11.088862145399998,1.4951769490800002,0.11123091768231223,000670,0.0064
2013-03-01,0.6445295081967215,5264.7,0.7530105375000001,-0.15456070944,0.10192093222864991,000720,0.07083333333333333
2014-03-01,0.5402532258064515,4554.0,15.000176789000001,-0.9206112844800001,0.10322342857174396,000720,0.06666666666666667
2015-03-01,0.406640322580645,3421.2499999999995,7.3015427264,-0.96778972476,0.10510876893991167,000720,-0.23076923076923078
2013-03-01,0.21549836065573771,5127.849999999999,-11.276997962099987,0.30041631324,0.11091049073104828,000880,0.025974025974025976
2014-03-01,0.08720000000000001,2149.35,8.143557511700001,-0.12461761116000002,0.11055525837153429,000880,0.1640625
2015-03-01,0.06135645161290316,-6025.999999999999,-50.931741523,0.11875361076000002,0.11190770032866762,000880,-0.19966996699669967
2013-03-01,0.5728754098360657,-604.9,-14.103344801000002,-4.0853744582400005,0.1340495009033989,000990,0.0234375
2014-03-01,0.47661129032258076,-1199.4499999999998,83.454242781,-3.8549998828800005,0.13277844124390698,000990,0.10427807486631016
2015-03-01,0.5166951612903227,-537.05,144.37043751000002,2.5154426502000002,0.1364584611338633,000990,-0.28955866523143164
2015-06-01,0.47360500000000005,1743.3999999999999,570.23596435,13.6625784588,0.12858240231648696,000990,-1.6870748299319729
2016-06-01,1.0825516666666668,723.3499999999999,337.66166538,23.9095978848,0.12176069858947104,000990,-0.019337016574585635
2020-06-01,1.876733870967742,1458.1999999999998,87.81493880900001,30.966265872,0.11793563582614076,000990,-0.3803827751196172
2013-03-01,0.26213606557377045,8971.15,-2.8877959188,-0.3545075095199892,0.10699423835419172,001040,-0.19678714859437751
2014-03-01,0.1933870967741935,6071.999999999999,0.2697776263,-0.10930045176,0.10763646073163363,001040,-0.1574468085106383
2015-03-01,0.28005967741935484,8481.25,0.355130802,0.05326112664,0.10493725869045771,001040,-0.11746031746031746
2013-03-01,0.1316934426229508,6595.249999999999,-35.734315474,-0.29588202612000003,0.11458240032517414,001120,0.1441717791411043
2014-03-01,0.09704516129032256,1432.8999999999999,-19.999670002000002,-0.18433637100000003,0.11883047682708182,001120,-0.0017761989342806395
