time,open,high,low,close
2003-01-01T09:00:00+09:00,2.07901,2.07901,2.07901,2.07901
2003-02-01T09:00:00+09:00,2.10654,2.10654,2.10654,2.10654
2003-03-01T09:00:00+09:00,1.90334,1.90334,1.90334,1.90334
2003-04-01T09:00:00+09:00,1.98951,1.98951,1.98951,1.98951
2003-05-01T09:00:00+09:00,1.83853,1.83853,1.83853,1.83853
2003-06-01T09:00:00+09:00,2.28473,2.28473,2.28473,2.28473
2003-07-01T09:00:00+09:00,1.62634,1.62634,1.62634,1.62634
2003-08-01T09:00:00+09:00,1.85261,1.85261,1.85261,1.85261
2003-09-01T09:00:00+09:00,1.98049,1.98049,1.98049,1.98049
2003-10-01T09:00:00+09:00,1.78855,1.78855,1.78855,1.78855
2003-11-01T09:00:00+09:00,1.93081,1.93081,1.93081,1.93081
2003-12-01T09:00:00+09:00,2.22346,2.22346,2.22346,2.22346
2004-01-01T09:00:00+09:00,1.90697,1.90697,1.90697,1.90697
2004-02-01T09:00:00+09:00,1.98719,1.98719,1.98719,1.98719
2004-03-01T09:00:00+09:00,1.70428,1.70428,1.70428,1.70428
2004-04-01T09:00:00+09:00,1.85277,1.85277,1.85277,1.85277
2004-05-01T09:00:00+09:00,2.2141,2.2141,2.2141,2.2141
2004-06-01T09:00:00+09:00,2.57408,2.57408,2.57408,2.57408
2004-07-01T09:00:00+09:00,2.25585,2.25585,2.25585,2.25585
2004-08-01T09:00:00+09:00,2.34085,2.34085,2.34085,2.34085
2004-09-01T09:00:00+09:00,2.67677,2.67677,2.67677,2.67677
2004-10-01T09:00:00+09:00,2.14583,2.14583,2.14583,2.14583
2004-11-01T09:00:00+09:00,2.20682,2.20682,2.20682,2.20682
2004-12-01T09:00:00+09:00,1.75253,1.75253,1.75253,1.75253
2005-01-01T09:00:00+09:00,2.1406,2.1406,2.1406,2.1406
2005-02-01T09:00:00+09:00,2.13701,2.13701,2.13701,2.13701
2005-03-01T09:00:00+09:00,2.33424,2.33424,2.33424,2.33424
2005-04-01T09:00:00+09:00,2.46229,2.46229,2.46229,2.46229
2005-05-01T09:00:00+09:00,2.57807,2.57807,2.57807,2.57807
2005-06-01T09:00:00+09:00,2.3619,2.3619,2.3619,2.3619
2005-07-01T09:00:00+09:00,2.3318,2.3318,2.3318,2.3318
2005-08-01T09:00:00+09:00,2.46382,2.46382,2.46382,2.46382
2005-09-01T09:00:00+09:00,2.35381,2.35381,2.35381,2.35381
2005-10-01T09:00:00+09:00,2.84746,2.84746,2.84746,2.84746
2005-11-01T09:00:00+09:00,3.05102,3.05102,3.05102,3.05102
2005-12-01T09:00:00+09:00,3.22717,3.22717,3.22717,3.22717
2006-01-01T09:00:00+09:00,2.40278,2.40278,2.40278,2.40278
2006-02-01T09:00:00+09:00,2.50828,2.50828,2.50828,2.50828
2006-03-01T09:00:00+09:00,1.76861,1.76861,1.76861,1.76861
2006-04-01T09:00:00+09:00,2.68304,2.68304,2.68304,2.68304
2006-05-01T09:00:00+09:00,2.88302,2.88302,2.88302,2.88302
2006-06-01T09:00:00+09:00,2.74476,2.74476,2.74476,2.74476
2006-07-01T09:00:00+09:00,2.80052,2.80052,2.80052,2.80052
2006-08-01T09:00:00+09:00,2.86706,2.86706,2.86706,2.86706
2006-09-01T09:00:00+09:00,2.6513,2.6513,2.6513,2.6513
2006-10-01T09:00:00+09:00,2.4007,2.4007,2.4007,2.4007
2006-11-01T09:00:00+09:00,1.88939,1.88939,1.88939,1.88939
2006-12-01T09:00:00+09:00,1.98915,1.98915,1.98915,1.98915
2007-01-01T09:00:00+09:00,2.68381,2.68381,2.68381,2.68381
2007-02-01T09:00:00+09:00,2.63964,2.63964,2.63964,2.63964
2007-03-01T09:00:00+09:00,2.79766,2.79766,2.79766,2.79766
2007-04-01T09:00:00+09:00,2.71845,2.71845,2.71845,2.71845
2007-05-01T09:00:00+09:00,2.92431,2.92431,2.92431,2.92431
2007-06-01T09:00:00+09:00,3.21462,3.21462,3.21462,3.21462
2007-07-01T09:00:00+09:00,2.61441,2.61441,2.61441,2.61441
2007-08-01T09:00:00+09:00,2.65344,2.65344,2.65344,2.65344
2007-09-01T09:00:00+09:00,2.57405,2.57405,2.57405,2.57405
2007-10-01T09:00:00+09:00,2.29205,2.29205,2.29205,2.29205
2007-11-01T09:00:00+09:00,2.632,2.632,2.632,2.632
2007-12-01T09:00:00+09:00,2.54378,2.54378,2.54378,2.54378
2008-01-01T09:00:00+09:00,2.46662,2.46662,2.46662,2.46662
2008-02-01T09:00:00+09:00,2.29779,2.29779,2.29779,2.29779
2008-03-01T09:00:00+09:00,1.93368,1.93368,1.93368,1.93368
2008-04-01T09:00:00+09:00,2.0175,2.0175,2.0175,2.0175
2008-05-01T09:00:00+09:00,2.28684,2.28684,2.28684,2.28684
2008-06-01T09:00:00+09:00,2.72851,2.72851,2.72851,2.72851
2008-07-01T09:00:00+09:00,2.94902,2.94902,2.94902,2.94902
2008-08-01T09:00:00+09:00,3.05254,3.05254,3.05254,3.05254
